Time;CPU
1063; 34.00
2126; 21.00
3183; 20.00
4241; 19.00
5300; 21.00
6363; 31.00
7426; 28.00
8484; 40.00
9551; 26.00
10608; 18.00
11665; 17.00
12724; 17.00
13780; 18.00
14838; 19.00
15901; 22.00
16960; 17.00
18020; 17.00
19081; 18.00
20142; 18.00
21202; 17.00
22261; 17.00
23321; 17.00
24381; 17.00
25441; 17.00
26502; 17.00
27561; 17.00
28621; 17.00
29683; 17.00
30743; 17.00
31803; 17.00
32861; 18.00
33921; 17.00
34978; 17.00
36038; 17.00
37097; 17.00
38155; 17.00
39216; 17.00
40275; 17.00
41335; 17.00
42393; 17.00
43453; 17.00
44514; 19.00
45573; 17.00
46633; 17.00
47692; 17.00
48751; 17.00
49811; 17.00
50871; 17.00
51929; 17.00
52990; 17.00
54049; 17.00
55107; 17.00
56167; 17.00
57226; 17.00
58287; 17.00
59345; 17.00
60405; 17.00
61464; 17.00
62525; 17.00
63584; 17.00
64643; 17.00
65704; 17.00
66764; 17.00
67823; 17.00
68882; 17.00
69942; 17.00
71002; 17.00
72063; 16.00
73122; 17.00
74183; 16.00
75244; 17.00
76302; 16.00
77362; 17.00
78421; 17.00
79482; 17.00
80541; 16.00
81601; 16.00
82660; 16.00
83719; 17.00
84781; 17.00
85842; 16.00
86900; 16.00
87960; 17.00
89019; 17.00
90079; 16.00
91140; 16.00
92199; 17.00
93261; 16.00
94324; 17.00
95384; 17.00
96444; 26.00
97508; 26.00
98575; 31.00
99638; 31.00
100700; 20.00
101763; 25.00
102824; 19.00
103882; 17.00
104944; 17.00
106001; 16.00
107060; 16.00
108120; 19.00
109180; 18.00
110237; 21.00
111298; 23.00
112356; 23.00
113411; 20.00
114469; 20.00
115529; 38.00
116602; 90.00
117670; 86.00
118732; 83.00
119792; 21.00
120850; 23.00
121907; 30.00
122964; 51.00
124026; 65.00
125088; 54.00
126150; 69.00
127211; 54.00
128272; 45.00
129334; 36.00
130394; 16.00
131453; 29.00
132515; 30.00
133575; 40.00
134637; 23.00
135696; 16.00
136755; 17.00
137814; 17.00
138875; 18.00
139932; 19.00
140990; 18.00
142048; 17.00
143107; 17.00
144168; 16.00
145227; 16.00
146286; 17.00
147347; 16.00
148406; 16.00
149465; 16.00
150523; 44.00
151582; 46.00
152641; 72.00
153704; 82.00
154766; 80.00
155832; 81.00
156904; 83.00
157964; 86.00
159028; 78.00
160089; 84.00
161180; 90.00
162241; 96.00
163303; 94.00
164370; 78.00
165437; 86.00
166503; 94.00
167570; 95.00
168634; 98.00
169698; 91.00
170760; 80.00
171820; 81.00
172882; 78.00
173963; 78.00
175029; 83.00
176091; 74.00
177154; 83.00
178220; 91.00
179292; 100.00
180358; 90.00
181428; 81.00
182493; 76.00
183578; 83.00
184641; 96.00
185712; 87.00
186769; 68.00
187830; 68.00
188889; 54.00
189948; 17.00
191007; 16.00
192069; 29.00
193130; 28.00
194189; 31.00
195250; 41.00
196311; 30.00
197372; 36.00
198435; 36.00
199500; 50.00
200560; 34.00
201622; 32.00
202686; 32.00
203746; 40.00
204806; 44.00
205864; 48.00
206921; 49.00
207979; 50.00
209039; 51.00
210097; 51.00
211156; 50.00
212217; 50.00
213275; 50.00
214335; 51.00
215392; 36.00
216451; 27.00
217510; 29.00
218569; 26.00
219629; 27.00
220687; 26.00
221745; 27.00
222803; 32.00
223863; 31.00
224921; 27.00
225979; 27.00
227038; 26.00
228095; 26.00
229153; 26.00
230210; 27.00
231267; 30.00
232325; 26.00
233383; 28.00
234441; 27.00
235500; 25.00
236558; 26.00
237618; 27.00
238676; 26.00
239733; 26.00
240794; 28.00
241856; 28.00
242916; 26.00
243978; 24.00
245037; 48.00
246094; 53.00
247150; 58.00
248208; 70.00
249268; 65.00
250330; 52.00
251387; 52.00
252445; 63.00
253514; 95.00
254578; 91.00
255640; 97.00
256703; 93.00
257765; 94.00
258828; 86.00
259891; 62.00
260956; 96.00
262020; 100.00
263083; 100.00
264147; 100.00
265220; 98.00
266282; 100.00
267349; 100.00
268417; 100.00
269488; 100.00
270561; 101.00
271633; 100.00
272707; 100.00
273778; 100.00
274843; 73.00
275908; 97.00
276981; 104.00
278067; 101.00
279147; 100.00
280235; 98.00
281301; 100.00
282368; 101.00
283474; 70.00
284552; 87.00
285648; 66.00
286711; 19.00
287771; 19.00
288834; 17.00
289894; 47.00
290974; 44.00
292031; 28.00
293088; 38.00
294145; 41.00
295203; 69.00
296280; 102.00
297361; 103.00
298437; 101.00
299509; 101.00
300584; 101.00
301659; 101.00
302736; 101.00
303816; 101.00
304892; 100.00
305963; 101.00
307036; 96.00
308116; 89.00
309193; 96.00
310268; 95.00
311346; 99.00
312414; 96.00
313486; 102.00
314564; 101.00
315638; 101.00
316714; 99.00
317781; 88.00
318859; 81.00
319926; 75.00
320992; 79.00
322058; 98.00
323136; 105.00
324216; 104.00
325295; 102.00
326368; 93.00
327436; 101.00
328507; 102.00
329576; 106.00
330666; 101.00
331741; 103.00
332826; 102.00
333907; 99.00
334978; 101.00
336057; 99.00
337136; 101.00
338213; 100.00
339284; 101.00
340357; 102.00
341430; 101.00
342497; 98.00
343570; 93.00
344646; 102.00
345722; 103.00
346800; 104.00
347881; 102.00
348953; 101.00
350027; 103.00
351104; 101.00
352179; 102.00
353255; 106.00
354341; 105.00
355422; 104.00
356504; 102.00
357582; 102.00
358662; 102.00
359741; 102.00
360820; 101.00
361892; 97.00
362969; 100.00
364042; 103.00
365127; 101.00
366202; 101.00
367274; 101.00
368351; 102.00
369428; 102.00
370499; 101.00
371572; 102.00
372652; 101.00
373730; 101.00
374808; 100.00
375876; 101.00
376950; 101.00
378026; 101.00
379103; 89.00
380175; 102.00
381254; 98.00
382325; 101.00
383398; 48.00
384473; 97.00
385560; 98.00
386633; 97.00
387709; 93.00
388777; 96.00
389848; 100.00
390927; 98.00
392008; 99.00
393079; 98.00
394149; 95.00
395223; 102.00
396297; 96.00
397367; 94.00
398434; 95.00
399504; 99.00
400576; 101.00
401647; 101.00
402715; 101.00
403790; 94.00
404861; 95.00
405934; 100.00
407007; 100.00
408080; 98.00
409154; 90.00
410231; 94.00
411306; 95.00
412387; 100.00
413461; 101.00
414539; 101.00
415624; 98.00
416690; 73.00
417760; 99.00
418834; 100.00
419900; 95.00
420969; 91.00
422038; 98.00
423122; 103.00
424197; 105.00
425287; 97.00
426358; 99.00
427439; 90.00
428518; 98.00
429589; 89.00
430655; 90.00
431728; 93.00
432799; 97.00
433874; 96.00
434947; 96.00
436019; 96.00
437091; 97.00
438166; 95.00
439239; 98.00
440314; 100.00
441386; 100.00
442461; 99.00
443538; 94.00
444616; 100.00
445702; 98.00
446775; 100.00
447855; 99.00
448930; 99.00
450011; 100.00
451082; 98.00
452159; 100.00
453239; 99.00
454328; 99.00
455402; 100.00
456477; 100.00
457571; 99.00
458650; 101.00
459726; 99.00
460795; 102.00
461888; 99.00
462964; 98.00
464037; 97.00
465110; 100.00
466187; 101.00
467259; 100.00
468329; 96.00
469401; 98.00
470471; 100.00
471543; 99.00
472615; 99.00
473685; 94.00
474754; 93.00
475831; 96.00
476914; 99.00
477992; 100.00
479073; 100.00
480142; 101.00
481220; 101.00
482298; 101.00
483372; 100.00
484447; 96.00
485519; 101.00
486609; 100.00
487683; 100.00
488752; 100.00
489829; 100.00
490904; 99.00
491980; 100.00
493066; 99.00
494139; 98.00
495219; 101.00
496295; 102.00
497369; 99.00
498441; 98.00
499511; 96.00
500581; 99.00
501650; 97.00
502718; 100.00
503822; 98.00
504897; 93.00
505987; 99.00
507074; 100.00
508151; 96.00
509228; 100.00
510308; 100.00
511383; 100.00
512455; 101.00
513533; 99.00
514604; 97.00
515683; 99.00
516756; 99.00
517835; 101.00
518912; 100.00
519987; 100.00
521062; 101.00
522141; 97.00
523215; 98.00
524289; 99.00
525364; 96.00
526440; 99.00
527516; 98.00
528587; 99.00
529664; 97.00
530735; 98.00
531805; 101.00
532878; 100.00
533949; 95.00
535018; 100.00
536098; 102.00
537185; 99.00
538259; 98.00
539334; 100.00
540405; 100.00
541481; 100.00
542559; 100.00
543635; 99.00
544709; 101.00
545780; 101.00
546853; 100.00
547923; 101.00
549005; 100.00
550081; 100.00
551151; 100.00
552225; 102.00
553304; 99.00
554368; 51.00
555436; 62.00
556502; 34.00
557579; 37.00
558645; 69.00
559703; 19.00
560764; 18.00
561820; 17.00
562880; 24.00
563942; 17.00
565003; 17.00
566064; 24.00
567125; 18.00
568185; 17.00
569246; 17.00
570307; 25.00
571368; 17.00
572427; 17.00
573489; 24.00
574552; 18.00
575612; 18.00
576672; 24.00
577732; 18.00
578795; 17.00
579855; 17.00
580916; 24.00
581975; 19.00
583036; 17.00
584094; 17.00
585155; 24.00
586216; 17.00
587277; 17.00
588337; 17.00
589397; 24.00
590455; 17.00
591513; 17.00
592572; 19.00
593639; 21.00
594699; 17.00
595757; 17.00
596816; 24.00
597877; 17.00
598940; 17.00
600003; 17.00
601065; 24.00
602125; 17.00
603185; 17.00
604247; 17.00
605307; 24.00
606366; 17.00
607428; 17.00
608490; 23.00
609550; 17.00
610610; 17.00
611670; 17.00
612730; 24.00
613790; 17.00
614849; 17.00
615909; 17.00
616968; 24.00
618028; 17.00
619089; 17.00
620148; 17.00
621212; 24.00
622270; 17.00
623330; 17.00
624388; 24.00
625448; 20.00
626512; 17.00
627570; 17.00
628630; 24.00
629691; 17.00
630749; 17.00
631808; 17.00
632864; 24.00
633920; 17.00
634976; 17.00
636034; 17.00
637093; 23.00
638152; 17.00
639212; 17.00
640270; 17.00
641331; 24.00
642392; 21.00
643463; 98.00
644533; 99.00
645600; 101.00
646669; 100.00
647738; 98.00
648807; 99.00
649881; 100.00
650956; 97.00
652023; 97.00
653093; 98.00
654168; 100.00
655239; 102.00
656320; 99.00
657387; 100.00
658462; 101.00
659558; 98.00
660639; 100.00
661711; 101.00
662795; 100.00
663874; 100.00
664951; 100.00
666023; 101.00
667094; 101.00
668167; 101.00
669245; 101.00
670320; 100.00
671399; 96.00
672474; 101.00
673545; 100.00
674620; 100.00
675708; 100.00
676775; 97.00
677845; 101.00
678915; 100.00
679989; 100.00
681062; 101.00
682163; 99.00
683235; 100.00
684305; 100.00
685381; 99.00
686450; 101.00
687547; 100.00
688629; 99.00
689704; 101.00
690772; 100.00
691842; 100.00
692913; 100.00
693982; 101.00
695058; 99.00
696132; 99.00
697198; 97.00
698273; 100.00
699350; 100.00
700418; 102.00
701496; 100.00
702565; 101.00
703632; 98.00
704702; 101.00
705773; 101.00
706845; 102.00
707915; 99.00
708986; 60.00
710046; 17.00
711110; 20.00
712175; 58.00
713234; 85.00
714303; 99.00
715373; 99.00
716443; 100.00
717515; 100.00
718585; 99.00
719662; 99.00
720734; 100.00
721803; 100.00
722879; 104.00
723955; 97.00
725026; 100.00
726106; 101.00
727187; 104.00
728270; 105.00
729351; 105.00
730443; 102.00
731522; 104.00
732610; 103.00
733701; 99.00
734773; 95.00
735844; 105.00
736948; 105.00
738055; 97.00
739122; 100.00
740208; 103.00
741282; 106.00
742370; 103.00
743452; 97.00
744528; 100.00
745604; 109.00
746702; 101.00
747774; 108.00
748861; 103.00
749937; 105.00
751021; 106.00
752101; 104.00
753184; 104.00
754265; 106.00
755346; 105.00
756430; 97.00
757509; 100.00
758595; 99.00
759664; 91.00
760737; 97.00
761812; 101.00
762888; 100.00
763970; 100.00
765047; 100.00
766113; 102.00
767181; 99.00
768258; 100.00
769332; 103.00
770410; 100.00
771482; 99.00
772557; 101.00
773630; 97.00
774705; 99.00
775781; 97.00
776855; 98.00
