hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",1273391,1271423,1236135750477,970743,0,234090297325,289890924378612,227652719,0,516416341982
"scan with file YARA rules",105597,0,250988319443,2376850,1021209,3177597590,2519865048418,23863036,9709,60284097654
"schedule scan for symlink target",59430,0,117831344181,1982691,11952,16887583244,480243176087,8080820,9709,59984572470
"scan with meta YARA rules",248717,0,61886113376,248821,88529,37433514,3000949400571,12065718,9709,60284097654
"scan with process YARA rules",68,0,57394822352,844041505,36435933,3875164623,1991718003389,29289970638,638133914,60284097654
"scan object with YARA",49763,0,52461021017,1054217,329400,17386429,127176920700932,2555652205,3587,60284097654
"parse GZIP archive",10164,0,46926205222,4616903,95703,2387855037,98682276,9709,9709,9709
"parse ZIP archive",190,0,43960614951,231371657,4050389,16829217272,1844710,9709,9709,9709
"apply Sigma rules",994900,0,39721175702,39924,6843,13097094,127186097036065,127838071,3587,60284097654
"parse log file",135,0,23860681549,176745789,1844,2227834814,1310715,9709,9709,9709
"parse file content",105597,0,9742270363,92258,2575,486808224,2519865048418,23863036,9709,60284097654
"check file excludes",90284,0,4470894203,49520,120,13689836,3349017945599,37094257,9709,60284097654
"compare to ThorDB",156,0,4403370907,28226736,25205690,34354520,372018830271,2384736091,120543747,4667528216
"parse journald format",5,0,2730390526,546078105,30641384,2015168195,48545,9709,9709,9709
"add meta information",45398,0,2478147369,54587,2154,3842823,2998975376400,66059636,9709,60284097654
"check file existence",308417,0,1659418392,5380,190,118136,3351135798896,10865600,9709,60284097654
"scan process for malicious indicators",68,0,1292921294,19013548,184983,165006808,1991718003389,29289970638,638133914,60284097654
"check with STIX IOCs",105597,0,1052659564,9968,912,289392,2519865048418,23863036,9709,60284097654
"extract process environment variables",68,0,888491865,13066056,142673,25888934,1991718003389,29289970638,638133914,60284097654
"check if file was already scanned",308284,0,692274086,2245,110,26874356,3351134507599,10870283,9709,60284097654
"search for Cobalt Strike beacons",179527,0,641045791,3570,801,3317180,4512328807821,25134541,9709,60284097654
"extract process handles",68,0,609303647,8960347,291126,96892143,1991718003389,29289970638,638133914,60284097654
"check if object should be logged",994900,0,599152355,602,220,129467,127186097036065,127838071,3587,60284097654
"apply hash IOCs",105597,0,532523248,5042,1994,49193,2519865048418,23863036,9709,60284097654
"parse TARGZ archive",1,0,438217396,438217396,438217396,438217396,9709,9709,9709,9709
"apply false positive filters",994900,0,371068416,372,190,181987,127186097036065,127838071,3587,60284097654
"deduplicate reasons",248717,0,335698470,1349,160,153814,3000949400571,12065718,9709,60284097654
"limit frequent matches",994900,0,320264826,321,129,3204175,127186097036065,127838071,3587,60284097654
"store time information about deep scan",105597,0,294186759,2785,991,97616,2519865048418,23863036,9709,60284097654
"check if deep scan is needed",248717,0,284150773,1142,170,93749,3000949400571,12065718,9709,60284097654
"check if maximum file size is exceeded",248717,0,151828144,610,191,117544,3000949400571,12065718,9709,60284097654
"fill in interesting content",248717,0,103958562,417,160,111794,3000949400571,12065718,9709,60284097654
"scan object's command line with YARA",68,0,86198705,1267628,935225,8002171,1991718003389,29289970638,638133914,60284097654
"log file",248717,0,59871646,240,120,38232,3000949400571,12065718,9709,60284097654
"parse TAR archive",1,0,56499541,56499541,56499541,56499541,9709,9709,9709,9709
"parse authorized_keys format",1,0,38527683,38527683,38527683,38527683,9709,9709,9709,9709
"parsing Firefox history",1,0,31239355,31239355,31239355,31239355,9709,9709,9709,9709
"initialize process memory reader",68,0,14600410,214711,106873,281308,1991718003389,29289970638,638133914,60284097654
"truncate long values",502,0,10348573,20614,852,3157555,2378280916584,4737611387,3587,60284097654
"parse system crontab",3,0,9176443,3058814,9138,6369816,29127,9709,9709,9709
"enrich finding with file information",45,0,8970751,199350,10971,564697,2256964876,50154775,3587,2227913946
"log object",502,0,8390009,16713,852,718581,2378280916584,4737611387,3587,60284097654
"parse OLE format",14,0,7464086,533149,48914,3452959,135926,9709,9709,9709
"check process excludes",207,0,6314929,30506,230,198188,3474513447667,16785089119,638133914,60413490690
"schedule scan for executable",156,0,3861038,24750,11071,66197,372018830271,2384736091,120543747,4667528216
"analyze process connection",68,0,2276457,33477,2865,1569935,1991718003389,29289970638,638133914,60284097654
"scan eBPF program with file YARA rules",1,0,1848829,1848829,1848829,1848829,13245,13245,13245,13245
"retrieve interesting process memory",68,0,1505741,22143,4008,72358,1991718003389,29289970638,638133914,60284097654
"check for C2 IOCs",8,0,1345920,168240,62410,265146,67884173593,8485521699,9709,53857376146
"unpack UPX",3,0,1155396,385132,343236,423649,29127,9709,9709,9709
"truncate unimportant process memory sections",68,0,1149259,16900,7685,53542,1991718003389,29289970638,638133914,60284097654
"log md5 to csv",38,0,486129,12792,129,74011,28998798,763126,9709,28639565
"check for known evil services",156,0,407234,2610,741,24316,372018830271,2384736091,120543747,4667528216
"check file mode",156,0,252712,1619,902,3577,372018830271,2384736091,120543747,4667528216
"parse mail",5,0,92486,18497,8817,33684,48545,9709,9709,9709
"scan dependent files",35,0,15222,434,220,1333,413440768,11812593,1835111,21344252
"check if profile is recent",1,0,13766,13766,13766,13766,3587,3587,3587,3587
"check for port 0",6,0,7224,1204,661,2204,67884154175,11314025695,407304263,53857376146
"check for network pipes",6,0,3359,559,241,872,67884154175,11314025695,407304263,53857376146
