hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",3414412,2781016,3817375601100,1118018,0,107809256600,1702778032611800,498703153,0,74135438400
"scan with file YARA rules",55745,0,1218279336900,21854504,0,29240621600,688298221763600,12347263822,0,67484188500
"scan with meta YARA rules",95830,0,539659621900,5631426,0,10426599400,1012854948790900,10569288832,0,67484188500
"scan object with YARA",109386,0,320041504200,2925799,0,11257445100,1835661320179600,16781501473,0,74134918200
"scan with process YARA rules",119,0,214150860300,1799587061,0,16668579000,3659932192000,30755732705,0,74133878300
"parse CAB archive",26,0,157041461500,6040056211,0,111920116200,395956349000,15229090346,0,54067519200
"parse Shim database",21,0,83228499300,3963261871,0,31526094300,265133601600,12625409600,0,51641284900
"apply Sigma rules",2920139,0,80801824100,27670,0,61836500,24036020467837100,8231122034,0,74134918200
"parse file content",55745,0,60850394300,1091584,0,6112505700,688298221763600,12347263822,0,67484188500
"parse registry hive",383,0,59687502300,155842042,0,25311894100,1986326005200,5186229778,0,48019387700
"extract process handles",119,0,57850887200,486141909,8411700,8379824800,3659932192000,30755732705,0,74133878300
"parse log file",204,0,55948395100,274256838,0,18569355400,1283387279200,6291114113,0,51475701000
"extract process environment variables",119,0,44778611300,376290851,0,11288541900,3659932192000,30755732705,0,74133878300
"parse ETL file",234,0,44350047900,189530119,0,18108009700,1603312323000,6851762064,0,47873945200
"parse ZIP archive",312,0,40033040300,128311026,0,19253687500,2141777214800,6864670560,0,48218765300
"parse GZIP archive",6632,0,37829820800,5704134,0,994286900,94716847449000,14281792438,0,55516679800
"parse SHIM cache",2,0,31176951500,15588475750,13027972900,18148978600,26159800,13079900,0,26159800
"schedule scan for executed file",884,0,24991888400,28271366,0,4949571800,850825557000,962472349,0,4201167600
"scan process for malicious indicators",119,0,24285573900,204080452,1043800,16651336400,3659932192000,30755732705,0,74133878300
"apply handle IOCs",6414,0,20038286200,3124148,0,4062882800,248604343830900,38759642006,0,74133878300
"parsing Chrome history",5,0,14928975300,2985795060,8580500,14792392800,12755115300,2551023060,0,7650117400
"parse Amcache",4,0,13557960400,3389490100,0,13557960400,23270470900,5817617725,0,23234346200
"check file existence",107715,0,13409792900,124493,0,8266900,1086840924386000,10089968197,0,74135438400
"parse CHM file",23,0,13279282700,577360117,116926100,1880343500,161778223800,7033835817,0,31056652000
"scan object's command line with YARA",119,0,12685609800,106601763,0,3994117800,3659932192000,30755732705,0,74133878300
"check file excludes",24782,0,11962804200,482721,0,4141000400,252689021547800,10196474116,0,74135438400
"check if file was already scanned",106542,0,7145967600,67071,0,6036200,1084332311252500,10177510383,0,74135438400
"add meta information",21113,0,6216602500,294444,0,768182500,244552583724800,11583033378,0,67484188500
"analyze prefetch file",343,0,4761406900,13881652,0,673691200,3008723632800,8771789016,0,17784966000
"check for suspicious locations",885,0,4518958800,5106168,0,3403845400,850825557000,961384810,0,4201167600
"scan SHIM cache entry for executed file",884,0,4370571300,4944085,0,4141519800,850825557000,962472349,0,4201167600
"parse RAR archive",15,0,3541214000,236080933,0,2058845600,59120289400,3941352626,0,19633945200
"enrich finding with file information",335,0,3308744300,9876848,0,1974213400,1887263207300,5633621514,0,40801140100
"parse PowerShell module cache",1,0,2520788000,2520788000,2520788000,2520788000,5201324700,5201324700,5201324700,5201324700
"parse OLE format",22,0,2150863000,97766500,0,937333300,161862278700,7357376304,0,30722689300
"check with STIX IOCs",1149958,0,1645419500,1430,0,10051000,9105920571829800,7918480998,0,67484188500
"check if object should be logged",2920139,0,1459264800,499,0,16144400,24036020467837100,8231122034,0,74134918200
"parse Atjobs file",237,0,1378634200,5817021,0,69622000,2191866744800,9248382889,0,27614903600
"log object",73762,0,1214904800,16470,0,26437800,763032859967100,10344525093,0,74133878300
"apply false positive filters",2920139,0,1148209600,393,0,4543500,24036020467837100,8231122034,0,74134918200
"limit frequent matches",2920139,0,1026991800,351,0,4017700,24036020467837100,8231122034,0,74134918200
"check process excludes",133,0,1018071700,7654674,0,881194600,4192074214800,31519354998,0,74133878300
"parse ESE database",8,0,558043000,69755375,0,356811500,61911473200,7738934150,0,26519453200
"apply hash IOCs",55745,0,494738900,8875,0,2064700,688298221763600,12347263822,0,67484188500
"check size",1094213,0,450316100,411,0,4403800,8417622350066200,7692855367,0,48582427000
"search for Cobalt Strike beacons",81176,0,401309600,4943,0,2241800,902193956326800,11114047949,0,74133878300
"parse SRUM database",1,0,373214100,373214100,373214100,373214100,7177735000,7177735000,7177735000,7177735000
"store time information about deep scan",55745,0,333134700,5976,0,2513500,688298221763600,12347263822,0,67484188500
"deduplicate reasons",95830,0,282914200,2952,0,3393200,1012854948790900,10569288832,0,67484188500
"check for suspicious event ID",297509,0,266223400,894,0,6049900,1328997941031000,4467084831,0,51200574000
"scan entry",726,0,245877900,338674,0,4027600,2357932444500,3247840832,320264500,10344794400
"check if deep scan is needed",95830,0,190979300,1992,0,2054500,1012854948790900,10569288832,0,67484188500
"scan scheduled task image",180,0,141820700,787892,0,2601600,9616774400,53426524,0,112919700
"parse WMI persistence file",1,0,96933300,96933300,96933300,96933300,19019801300,19019801300,19019801300,19019801300
"WER",12,0,94316300,7859691,0,62953200,62035736100,5169644675,0,11640092400
"check if maximum file size is exceeded",95830,0,68766300,717,0,2057500,1012854948790900,10569288832,0,67484188500
"truncate long values",2476,0,58029000,23436,0,2072900,9024395947400,3644747959,0,74133878300
"parse LNK format",184,0,57051100,310060,0,14081400,1075317979800,5844119455,0,18530712300
"log found WER report",12,0,44071900,3672658,1606600,11302500,62035736100,5169644675,0,11640092400
"log file",95830,0,43785100,456,0,2031300,1012854948790900,10569288832,0,67484188500
"fill in interesting content",95830,0,40359600,421,0,2048900,1012854948790900,10569288832,0,67484188500
"parse jumplist file",11,0,35137400,3194309,0,13670200,63551170600,5777379145,0,11595047300
"compare cache to last scan",2,0,29426100,14713050,7805000,21621100,4228893900,2114446950,26159800,4202734100
"check for webserver directory",6414,0,23632000,3684,0,2082000,248604343830900,38759642006,0,74133878300
"compare to ThorDB",1,0,14729200,14729200,14729200,14729200,0,0,0,0
"scan with pipe IOCs",41,0,9399000,229243,0,2089000,374222000,9127365,0,16285500
"initialize process memory reader",119,0,6734900,56595,0,2507700,3659932192000,30755732705,0,74133878300
"analyze process connection",119,0,5329500,44785,0,1704900,3659932192000,30755732705,0,74133878300
"check for service overlap",683,0,5252300,7690,0,2042400,821454217000,1202714812,0,2686610400
"retrieve interesting process memory",119,0,5154900,43318,0,1507800,3659932192000,30755732705,0,74133878300
"check for C2 IOCs",33,0,3733700,113142,0,551200,592626240200,17958370915,0,73824521900
"check service permissions",688,0,2639100,3835,0,553400,5470723300,7951632,0,189195200
"truncate unimportant process memory sections",110,0,2365900,21508,0,1846200,3477901328300,31617284802,0,74133878300
"parse EVTX file",179,0,1584700,8853,0,1053200,5899474884900,32957960250,0,52288450900
"scan network share metadata",3,0,1565400,521800,521800,521800,0,0,0,0
"check for known suspicious indicators",5,0,1559600,311920,0,1043500,2116600,423320,0,2116600
"check for unusual last logon",5,0,527400,105480,0,527400,2116600,423320,0,2116600
"check for golden ticket",1,0,522800,522800,522800,522800,0,0,0,0
"parse Microsoft Defender Protection log",9,0,513100,57011,0,513100,54938998800,6104333200,6104333200,6104333200
"check for suspicious user",1,0,0,0,0,0,0,0,0,0
"check for known malicious patterns",1,0,0,0,0,0,55109293100,55109293100,55109293100,55109293100
