Time_ms;Thor_WorkingSet_MB;Thor_Private_MB;Free_RAM_MB
1;112;112;10294
1030;194;194;10188
2053;240;240;10139
3076;291;291;10090
4103;317;317;10039
5124;318;318;9987
6147;442;442;9969
7175;514;514;9887
8199;335;335;10066
9219;415;415;9967
10240;439;439;9946
11261;464;464;9859
12284;482;482;9841
13305;490;490;9851
14326;510;510;9841
15348;545;545;9797
16369;706;706;9666
17391;733;733;9624
18412;765;765;9591
19437;792;792;9567
20459;814;814;9553
21481;883;883;9484
22502;870;870;9469
23524;951;951;9379
24546;1034;1034;9295
25568;1061;1061;9260
26589;1122;1122;9191
27612;1000;1000;9275
28633;1004;1004;9295
29655;860;860;9445
30674;908;908;9391
31694;976;976;9297
32715;945;945;9338
33735;965;965;9340
34756;933;933;9351
35777;998;998;9301
36800;1081;1081;9315
37821;993;993;9284
38842;1063;1063;9227
39866;996;996;9279
40886;1006;1006;9275
41907;1017;1017;9281
42928;981;981;9281
43950;1030;1030;9269
44971;1040;1040;9272
45991;1030;1030;9249
47012;1035;1035;9249
48034;994;994;9277
49055;1012;1012;9261
50076;1023;1023;9257
51097;993;993;9279
52119;930;930;9329
53139;930;930;9318
54160;925;925;9321
55179;925;925;9327
56199;974;974;9319
57221;953;953;9302
58242;957;957;9303
59264;963;963;9311
60285;941;941;9305
61305;941;941;9312
62325;941;941;9312
63346;958;958;9298
64367;928;928;9308
65387;932;932;9301
66408;942;942;9307
67427;921;921;9326
68446;921;921;9322
69465;924;924;9321
70484;901;901;9335
71503;901;901;9338
72522;909;909;9334
73541;909;909;9335
74560;886;886;9337
75579;873;873;9352
76598;873;873;9348
77617;865;865;9361
78635;867;867;9364
79654;867;867;9366
80674;870;870;9344
81696;870;870;9338
82717;870;870;9330
83738;870;870;9332
84760;870;870;9329
85781;870;870;9331
86803;870;870;9303
87824;870;870;9310
88845;870;870;9310
89867;870;870;9307
90887;870;870;9299
91908;870;870;9302
92930;870;870;9299
93952;870;870;9301
94973;870;870;9296
95995;870;870;9293
97018;870;870;9307
98043;870;870;9296
99066;870;870;9293
100087;870;870;9296
101109;870;870;9327
102131;921;921;9277
103151;935;935;9267
104174;1209;1209;9048
105194;1215;1215;9048
106215;1260;1260;9021
107234;1484;1484;8801
108254;1527;1527;8756
109274;1539;1539;8746
110293;1581;1581;8690
111313;1623;1623;8631
112333;1644;1644;8609
113353;1651;1651;8603
114373;1694;1694;8557
115393;1746;1746;8510
116413;1746;1746;8509
117433;1803;1803;8456
118453;1865;1865;8415
119475;1851;1851;8406
120499;1853;1853;8405
121524;1876;1876;8385
122547;2038;2038;8336
123569;2093;2093;8326
124591;1988;1988;8292
125612;2221;2221;8272
126634;2323;2323;8254
127656;2040;2040;8241
128681;2151;2151;8241
129703;2203;2203;8235
130725;2024;2024;8258
131747;2059;2059;8241
132769;2052;2052;8227
133791;2060;2060;8223
134816;2063;2063;8220
135840;2092;2092;8213
136861;2123;2123;8208
137881;2054;2054;8223
138902;2057;2057;8222
139923;2059;2059;8217
140946;2177;2177;8083
141969;2292;2292;7975
143004;2396;2396;7858
144029;2267;2267;7918
145056;2251;2251;7944
146080;2291;2291;7946
147103;2310;2310;7934
148133;2114;2114;8100
149160;2094;2094;8121
150191;2094;2094;8120
151215;2095;2095;8121
152238;2094;2094;8121
153261;1997;1997;8219
154284;1998;1998;8219
155310;1995;1995;8224
156339;2002;2002;8220
157366;2003;2003;8220
