Time;CPU
1058; 17.00
2113; 26.00
3171; 25.00
4226; 37.00
5282; 26.00
6338; 16.00
7391; 15.00
8447; 15.00
9501; 17.00
10559; 21.00
11611; 15.00
12664; 17.00
13718; 19.00
14771; 20.00
15826; 16.00
16882; 24.00
17943; 23.00
18996; 25.00
20053; 25.00
21108; 31.00
22167; 28.00
23224; 18.00
24277; 15.00
25332; 14.00
26386; 15.00
27442; 15.00
28498; 19.00
29554; 18.00
30609; 23.00
31665; 37.00
32722; 41.00
33778; 30.00
34833; 31.00
35891; 30.00
36946; 29.00
38000; 39.00
39053; 30.00
40109; 29.00
41165; 37.00
42220; 32.00
43277; 32.00
44333; 41.00
45387; 43.00
46441; 44.00
47496; 31.00
48553; 29.00
49607; 43.00
50662; 43.00
51718; 38.00
52775; 40.00
53830; 43.00
54886; 43.00
55941; 41.00
56997; 30.00
58050; 14.00
59103; 10.00
60157; 12.00
61209; 12.00
62262; 14.00
63324; 50.00
64376; 60.00
65429; 61.00
66481; 54.00
67534; 65.00
68587; 70.00
69640; 57.00
70695; 61.00
71746; 66.00
72805; 68.00
73858; 61.00
74911; 47.00
75965; 44.00
77020; 41.00
78075; 18.00
79130; 19.00
80186; 21.00
81240; 20.00
82294; 19.00
83349; 21.00
84405; 23.00
85461; 23.00
86516; 23.00
87572; 22.00
88626; 21.00
89680; 20.00
90734; 19.00
91789; 19.00
92844; 20.00
93899; 19.00
94955; 20.00
96010; 19.00
97066; 18.00
98122; 20.00
99175; 19.00
100231; 28.00
101288; 20.00
102341; 87.00
103397; 80.00
104454; 96.00
105510; 98.00
106566; 97.00
107623; 96.00
108682; 95.00
109740; 96.00
110796; 98.00
111852; 99.00
112911; 99.00
113970; 75.00
115025; 41.00
116093; 61.00
117155; 51.00
118214; 43.00
119269; 33.00
120326; 16.00
121386; 55.00
122446; 58.00
123517; 70.00
124590; 80.00
125675; 61.00
126741; 50.00
127799; 47.00
128866; 55.00
129926; 53.00
130994; 64.00
132071; 67.00
133143; 74.00
134213; 80.00
135277; 83.00
136338; 80.00
137405; 86.00
138466; 75.00
139537; 79.00
140615; 76.00
141686; 78.00
142760; 77.00
143832; 79.00
144917; 78.00
145996; 77.00
147066; 77.00
148143; 77.00
149221; 76.00
150292; 79.00
151363; 77.00
152445; 77.00
153519; 77.00
154598; 76.00
155672; 80.00
156746; 78.00
157814; 72.00
158884; 86.00
159956; 82.00
161036; 79.00
162104; 77.00
163165; 70.00
164225; 54.00
165282; 30.00
166338; 34.00
167396; 56.00
168466; 62.00
169524; 48.00
170592; 77.00
171652; 51.00
172714; 57.00
173770; 52.00
174835; 71.00
175908; 81.00
176964; 78.00
178031; 75.00
179092; 83.00
180161; 90.00
181225; 81.00
182301; 79.00
183381; 79.00
184455; 79.00
185534; 80.00
186612; 78.00
187683; 80.00
188763; 77.00
189837; 79.00
190914; 80.00
191985; 77.00
193058; 72.00
194123; 86.00
195195; 81.00
196265; 80.00
197342; 76.00
198403; 67.00
199470; 53.00
200529; 34.00
201594; 51.00
202664; 57.00
203722; 29.00
204780; 39.00
205843; 50.00
206900; 75.00
207959; 60.00
209015; 50.00
210076; 62.00
211152; 79.00
212216; 87.00
213281; 89.00
214347; 73.00
215417; 82.00
216486; 80.00
217553; 82.00
218639; 80.00
219723; 80.00
220812; 78.00
221882; 81.00
222957; 80.00
224026; 79.00
225095; 76.00
226168; 80.00
227250; 74.00
228328; 75.00
229401; 72.00
230474; 82.00
231556; 76.00
232629; 62.00
233689; 77.00
234760; 71.00
235829; 79.00
236900; 45.00
237957; 57.00
239015; 29.00
240071; 29.00
241128; 50.00
242189; 53.00
243251; 42.00
244310; 52.00
245365; 52.00
246429; 74.00
247505; 67.00
248570; 79.00
249632; 89.00
250690; 83.00
251754; 88.00
252814; 84.00
253879; 83.00
254959; 81.00
256025; 82.00
257107; 80.00
258177; 79.00
259244; 81.00
260316; 84.00
261395; 70.00
262469; 79.00
263543; 76.00
264614; 72.00
265669; 32.00
266724; 34.00
Overall; 55.00
