Time_ms;Thor_WorkingSet_MB;Thor_Private_MB;Free_RAM_MB
1;113;113;10306
1030;208;208;10174
2052;259;259;10117
3075;291;291;10079
4106;320;320;10051
5127;360;360;10021
6149;401;401;9932
7171;476;476;9930
8193;350;350;10068
9214;459;459;9934
10236;484;484;9928
11257;456;456;9920
12279;479;479;9890
13300;492;492;9885
14322;511;511;9840
15343;531;531;9808
16365;697;697;9684
17388;736;736;9644
18410;763;763;9603
19433;792;792;9567
20455;814;814;9551
21477;867;867;9488
22499;871;871;9468
23521;935;935;9496
24543;1002;1002;9421
25566;1042;1042;9376
26589;1094;1094;9326
27611;1082;1082;9314
28632;985;985;9378
29656;790;790;9553
30677;844;844;9526
31699;824;824;9525
32719;839;839;9511
33741;924;924;9503
34762;877;877;9485
35783;891;891;9467
36804;932;932;9402
37825;885;885;9476
38847;949;949;9421
39868;904;904;9433
40888;964;964;9422
41909;1147;1147;9409
42930;960;960;9382
43952;940;940;9393
44974;989;989;9389
45996;963;963;9377
47017;972;972;9381
48039;993;993;9374
49060;1039;1039;9306
50083;975;975;9366
51104;992;992;9360
52125;955;955;9368
53147;968;968;9342
54168;945;945;9352
55189;928;928;9359
56210;979;979;9348
57232;979;979;9342
58253;919;919;9369
59274;916;916;9366
60294;904;904;9375
61315;904;904;9376
62337;904;904;9377
63357;904;904;9378
64378;906;906;9379
65397;906;906;9381
66418;906;906;9389
67439;885;885;9423
68458;885;885;9423
69478;889;889;9418
70498;872;872;9431
71516;872;872;9432
72535;836;836;9470
73554;836;836;9468
74574;819;819;9483
75593;803;803;9488
76613;803;803;9492
77633;793;793;9495
78651;794;794;9495
79670;794;794;9498
80689;794;794;9499
81707;800;800;9488
82729;800;800;9483
83751;800;800;9485
84772;800;800;9483
85794;800;800;9482
86815;800;800;9476
87837;800;800;9454
88859;800;800;9443
89879;800;800;9437
90901;800;800;9441
91922;800;800;9443
92944;800;800;9446
93966;800;800;9439
94988;800;800;9440
96009;800;800;9443
97031;800;800;9443
98052;800;800;9444
99074;800;800;9438
100095;800;800;9434
101116;800;800;9444
102138;800;800;9443
103158;835;835;9451
104178;835;835;9449
105199;1013;1013;9282
106219;1016;1016;9283
107239;1162;1162;9150
108258;1222;1222;9103
109279;1269;1269;9056
110299;1273;1273;9049
111319;1314;1314;9011
112339;1350;1350;8980
113360;1388;1388;8934
114381;1406;1406;8911
115400;1445;1445;8872
116420;1459;1459;8862
117440;1512;1512;8811
118460;1607;1607;8724
119482;1689;1689;8651
120503;1715;1715;8631
121525;2031;2031;8636
122547;2179;2179;8600
123569;1983;1983;8512
124589;2119;2119;8493
125611;2154;2154;8489
126632;2246;2246;8476
127654;2167;2167;8496
128675;1881;1881;8532
129698;1738;1738;8551
130726;1722;1722;8573
131753;1707;1707;8588
132779;1707;1707;8588
133804;1929;1929;8428
134830;1998;1998;8431
135852;2080;2080;8390
136874;2057;2057;8392
137896;2259;2259;8347
138918;2169;2169;8323
139940;2220;2220;8306
140978;2153;2153;8308
141999;2206;2206;8288
143020;2103;2103;8230
144042;2114;2114;8227
145065;2136;2136;8223
146087;2098;2098;8227
147109;2066;2066;8247
148133;2072;2072;8246
149159;2071;2071;8246
