Time;CPU
1055; 17.00
2112; 26.00
3170; 25.00
4229; 37.00
5286; 26.00
6341; 16.00
7396; 15.00
8451; 15.00
9508; 17.00
10567; 20.00
11619; 15.00
12674; 17.00
13727; 19.00
14782; 20.00
15837; 16.00
16892; 26.00
17950; 27.00
19005; 29.00
20064; 31.00
21126; 18.00
22180; 25.00
23236; 19.00
24291; 14.00
25346; 14.00
26401; 15.00
27457; 18.00
28512; 17.00
29567; 16.00
30619; 35.00
31674; 39.00
32729; 34.00
33787; 30.00
34848; 31.00
35904; 32.00
36960; 32.00
38016; 29.00
39071; 33.00
40134; 39.00
41188; 31.00
42243; 29.00
43298; 36.00
44351; 43.00
45407; 43.00
46464; 41.00
47520; 29.00
48579; 29.00
49636; 29.00
50693; 34.00
51748; 33.00
52803; 30.00
53858; 37.00
54913; 44.00
55969; 43.00
57025; 36.00
58079; 36.00
59139; 13.00
60194; 11.00
61250; 11.00
62304; 10.00
63360; 11.00
64418; 11.00
65474; 13.00
66528; 59.00
67582; 59.00
68638; 60.00
69694; 55.00
70747; 69.00
71799; 60.00
72851; 65.00
73905; 65.00
74961; 66.00
76014; 60.00
77066; 54.00
78119; 41.00
79172; 40.00
80225; 28.00
81281; 17.00
82336; 20.00
83395; 20.00
84449; 19.00
85505; 19.00
86560; 22.00
87614; 23.00
88670; 23.00
89726; 23.00
90783; 21.00
91838; 21.00
92895; 20.00
93950; 19.00
95003; 19.00
96059; 19.00
97114; 19.00
98168; 20.00
99225; 19.00
100282; 18.00
101337; 19.00
102392; 18.00
103446; 25.00
104501; 22.00
105564; 76.00
106618; 87.00
107677; 89.00
108736; 95.00
109797; 92.00
110853; 92.00
111907; 91.00
112965; 92.00
114029; 93.00
115088; 95.00
116147; 93.00
117204; 59.00
118259; 53.00
119334; 75.00
120410; 59.00
121468; 43.00
122527; 46.00
123583; 49.00
124640; 35.00
125699; 34.00
126758; 29.00
127816; 53.00
128880; 72.00
129978; 72.00
131056; 75.00
132140; 75.00
133214; 58.00
134270; 31.00
135329; 36.00
136391; 58.00
137454; 42.00
138511; 44.00
139568; 46.00
140625; 39.00
141684; 60.00
142745; 67.00
143818; 77.00
144898; 67.00
145959; 70.00
147035; 74.00
148107; 75.00
149180; 72.00
150265; 68.00
151335; 70.00
152407; 79.00
153474; 77.00
154547; 71.00
155619; 68.00
156688; 52.00
157754; 48.00
158817; 55.00
159882; 55.00
160946; 57.00
162008; 54.00
163071; 50.00
164134; 50.00
165193; 57.00
166249; 53.00
167318; 71.00
168385; 68.00
169457; 70.00
170522; 75.00
171598; 77.00
172663; 77.00
173733; 69.00
174795; 82.00
175859; 77.00
176922; 72.00
177981; 76.00
179046; 75.00
180112; 91.00
181176; 85.00
182253; 86.00
183325; 81.00
184386; 90.00
185472; 86.00
186532; 87.00
187604; 91.00
188664; 93.00
189731; 92.00
190798; 89.00
191869; 86.00
192933; 84.00
194004; 79.00
195077; 81.00
196146; 81.00
197220; 86.00
198293; 80.00
199371; 80.00
200449; 80.00
201519; 83.00
202596; 82.00
203671; 81.00
204739; 83.00
205810; 83.00
206890; 83.00
207971; 81.00
209046; 80.00
210115; 80.00
211186; 81.00
212260; 81.00
213324; 80.00
214395; 86.00
215470; 81.00
216556; 75.00
217633; 81.00
218705; 78.00
219780; 81.00
220849; 84.00
221918; 76.00
223004; 76.00
224080; 81.00
225151; 81.00
226222; 84.00
227299; 75.00
228378; 78.00
229453; 81.00
230523; 82.00
231599; 81.00
232672; 76.00
233749; 79.00
234828; 82.00
235899; 79.00
236970; 79.00
238037; 79.00
239119; 85.00
240182; 86.00
241244; 66.00
242317; 67.00
243384; 71.00
244460; 76.00
245540; 74.00
246630; 77.00
247688; 90.00
248746; 78.00
249821; 77.00
250898; 75.00
251972; 78.00
253041; 78.00
254116; 71.00
255190; 76.00
256260; 88.00
257328; 78.00
258396; 86.00
259456; 59.00
260512; 45.00
261571; 22.00
262626; 38.00
263681; 7.00
Overall; 55.00
