Time;CPU
1060; 34.00
2121; 21.00
3182; 20.00
4241; 18.00
5297; 22.00
6362; 30.00
7427; 29.00
8492; 40.00
9559; 25.00
10619; 18.00
11676; 17.00
12734; 16.00
13792; 18.00
14852; 19.00
15912; 23.00
16971; 17.00
18031; 19.00
19094; 17.00
20153; 17.00
21215; 17.00
22275; 17.00
23336; 17.00
24396; 17.00
25453; 17.00
26514; 17.00
27573; 17.00
28629; 17.00
29688; 17.00
30748; 17.00
31807; 17.00
32866; 18.00
33925; 17.00
34984; 18.00
36044; 17.00
37106; 17.00
38166; 17.00
39228; 17.00
40289; 17.00
41348; 17.00
42408; 17.00
43467; 19.00
44527; 17.00
45586; 17.00
46646; 17.00
47705; 17.00
48766; 17.00
49827; 17.00
50886; 17.00
51946; 17.00
53007; 17.00
54067; 17.00
55128; 17.00
56186; 17.00
57246; 17.00
58305; 17.00
59366; 17.00
60425; 17.00
61484; 17.00
62544; 16.00
63604; 17.00
64665; 17.00
65726; 17.00
66785; 17.00
67846; 17.00
68907; 17.00
69968; 17.00
71028; 17.00
72087; 17.00
73147; 17.00
74207; 17.00
75269; 17.00
76330; 17.00
77390; 17.00
78448; 17.00
79508; 17.00
80568; 17.00
81630; 17.00
82690; 17.00
83750; 17.00
84809; 17.00
85867; 17.00
86928; 17.00
87987; 17.00
89049; 17.00
90110; 17.00
91169; 17.00
92228; 17.00
93287; 17.00
94347; 17.00
95407; 17.00
96464; 23.00
97527; 23.00
98587; 27.00
99647; 25.00
100707; 35.00
101767; 24.00
102827; 19.00
103886; 17.00
104944; 17.00
106004; 17.00
107061; 17.00
108117; 16.00
109174; 21.00
110232; 18.00
111290; 23.00
112350; 20.00
113407; 22.00
114469; 20.00
115529; 20.00
116590; 19.00
117650; 18.00
118712; 18.00
119771; 17.00
120835; 18.00
121893; 18.00
122953; 18.00
124012; 18.00
125072; 18.00
126134; 18.00
127197; 18.00
128258; 17.00
129316; 18.00
130378; 17.00
131436; 18.00
132494; 18.00
133555; 19.00
134613; 19.00
135674; 28.00
136736; 29.00
137797; 32.00
138856; 31.00
139914; 45.00
140976; 35.00
142037; 39.00
143098; 44.00
144158; 42.00
145218; 36.00
146276; 49.00
147334; 34.00
148393; 36.00
149457; 31.00
150515; 34.00
151572; 31.00
152633; 33.00
153694; 33.00
154753; 43.00
155812; 35.00
156874; 31.00
157935; 35.00
158994; 44.00
160055; 39.00
161114; 37.00
162174; 35.00
163233; 44.00
164294; 41.00
165353; 34.00
166413; 37.00
167474; 38.00
168539; 33.00
169609; 37.00
170670; 43.00
171732; 51.00
172792; 40.00
173850; 31.00
174914; 32.00
175980; 42.00
177038; 50.00
178098; 33.00
179159; 39.00
180221; 43.00
181287; 31.00
182347; 43.00
183401; 41.00
184461; 50.00
185520; 33.00
186581; 32.00
187641; 32.00
188701; 45.00
189761; 52.00
190820; 57.00
191879; 35.00
192939; 31.00
194000; 34.00
195060; 40.00
196121; 56.00
197181; 40.00
198240; 42.00
199301; 31.00
200363; 34.00
201424; 31.00
202484; 30.00
203544; 30.00
204604; 30.00
205664; 30.00
