hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",1273520,382973,1366677209061,1073149,3566,21567072605,53795552301126,42241623,0,4981924761
"scan with file YARA rules",105882,0,483886324403,4570052,1355066,5198646067,24920115794244,235357433,12904,1054559933
"scan with meta YARA rules",249149,0,211681149728,849616,91855,3702032799,49026749540388,196776826,12904,1058700174
"scan object with YARA",50094,0,129452765212,2584197,394081,3161556337,15296636745330,305358660,7314,4981924761
"scan with process YARA rules",68,0,68114746251,1001687444,40536117,4736400658,6707344200,98637414,19607,2558057110
"apply Sigma rules",994886,0,63978725399,64307,7263,76860936,157642477702909,158452805,1343,4981924761
"compare to ThorDB",156,0,50431012158,323275718,49066234,353647047,373397126434,2393571323,12413,4981924761
"parse log file",135,0,47475934195,351673586,1792,5031442006,36784280088,272476148,12904,973102355
"parse GZIP archive",10164,0,34256909715,3370416,51709,1689529087,2742751429564,269849609,12904,1039402488
"schedule scan for symlink target",59504,0,34080780765,572747,7466,6675119323,7816827899152,131366427,12904,1052686567
"check file excludes",90358,0,21922271274,242615,109,389927421,20517401106431,227067897,12904,1052309008
"parse ZIP archive",190,0,20922926392,110120665,105661,6642526655,78954402483,415549486,12904,917181629
"parse file content",105882,0,18110954103,171048,2144,764564145,24920115794244,235357433,12904,1054559933
"check process excludes",207,0,10885298963,52585985,200,3435336943,9333910681,45091355,10309,2558057110
"scan object's command line with YARA",68,0,10728735852,157775527,812562,3012314876,6707344200,98637414,19607,2558057110
"add meta information",45730,0,7978150045,174462,2134,1713349644,14582159805268,318875132,12904,1050152133
"parse journald format",5,0,4513886256,902777251,33495340,3957429600,583558433,116711686,41246532,315041734
"check if file was already scanned",308855,0,3667955514,11875,101,36662825,56691586209658,183554050,12904,1058700174
"check file existence",308987,0,2449140398,7926,120,9767609,56738845248250,183628583,12904,1058700174
"scan process for malicious indicators",68,0,1728816592,25423773,85333,401983600,6707344200,98637414,19607,2558057110
"check with STIX IOCs",105882,0,1354280158,12790,761,4630968,24920115794244,235357433,12904,1054559933
"check if object should be logged",994886,0,815353176,819,210,3568390,157642477702909,158452805,1343,4981924761
"search for Cobalt Strike beacons",179868,0,755358583,4199,732,4983560,39188164491302,217871797,12904,2558057110
"apply hash IOCs",105882,0,697534907,6587,2125,5944894,24920115794244,235357433,12904,1054559933
"store time information about deep scan",105882,0,654392708,6180,731,27763061,24920115794244,235357433,12904,1054559933
"apply false positive filters",994886,0,536277687,539,190,4571714,157642477702909,158452805,1343,4981924761
"limit frequent matches",994886,0,502578994,505,140,3183786,157642477702909,158452805,1343,4981924761
"deduplicate reasons",249149,0,493923139,1982,111,3486834,49026749540388,196776826,12904,1058700174
"log object",502,0,405380853,807531,1152,7338945,392139317243,781154018,11402,4981924761
"check if deep scan is needed",249149,0,353336874,1418,190,9472627,49026749540388,196776826,12904,1058700174
"check if maximum file size is exceeded",249149,0,172246922,691,111,2467339,49026749540388,196776826,12904,1058700174
"parse TARGZ archive",1,0,145718741,145718741,145718741,145718741,60452453,60452453,60452453,60452453
"fill in interesting content",249149,0,132304089,531,160,2694181,49026749540388,196776826,12904,1058700174
"log file",249149,0,77109150,309,110,1996449,49026749540388,196776826,12904,1058700174
"extract process handles",68,0,41924685,616539,224179,3432198,6707344200,98637414,19607,2558057110
"parse authorized_keys format",1,0,35237364,35237364,35237364,35237364,330303460,330303460,330303460,330303460
"extract process environment variables",68,0,18990587,279273,119638,895810,6707344200,98637414,19607,2558057110
"parsing Firefox history",1,0,18715304,18715304,18715304,18715304,332535660,332535660,332535660,332535660
"parse OLE format",14,0,17870935,1276495,43964,12126180,6517454725,465532480,88280418,908471999
"parse TAR archive",1,0,17506077,17506077,17506077,17506077,78625232,78625232,78625232,78625232
"enrich finding with file information",45,0,15626316,347251,20740,2498378,7113122452,158069387,11402,536416483
"truncate long values",502,0,15133350,30146,592,3910322,392139317243,781154018,11402,4981924761
"initialize process memory reader",68,0,13259744,194996,88378,483663,6707344200,98637414,19607,2558057110
"schedule scan for executable",156,0,4850835,31095,16984,57970,373397126434,2393571323,12413,4981924761
"check for C2 IOCs",8,0,3387053,423381,100783,1121560,742593287,92824160,132533,332535660
"unpack UPX",3,0,2288900,762966,269615,1646422,681944408,227314802,12904,443417088
"scan eBPF program with file YARA rules",1,0,2027810,2027810,2027810,2027810,23756,23756,23756,23756
"retrieve interesting process memory",68,0,1732942,25484,3466,207867,6707344200,98637414,19607,2558057110
"log md5 to csv",38,0,1691191,44505,150,1228144,5777833022,152048237,12904,533811992
"truncate unimportant process memory sections",68,0,1390163,20443,4830,184452,6707344200,98637414,19607,2558057110
"analyze process connection",68,0,1106576,16273,1022,386658,6707344200,98637414,19607,2558057110
"check file mode",156,0,404341,2591,681,6152,373397126434,2393571323,12413,4981924761
"check for known evil services",156,0,329596,2112,1112,21171,373397126434,2393571323,12413,4981924761
"parse system crontab",3,0,146478,48826,10389,73069,256673831,85557943,58226787,116665938
"parse mail",5,0,119186,23837,8617,56007,1947431178,389486235,231594138,780741075
"scan dependent files",35,0,19615,560,230,1593,19235951,549598,14539,2494300
"check for port 0",6,0,11384,1897,681,2656,77521967,12920327,132533,19821346
"check if profile is recent",1,0,8957,8957,8957,8957,11402,11402,11402,11402
"check for network pipes",6,0,4057,676,230,1272,77521967,12920327,132533,19821346
