Time;CPU
1062; 34.00
2121; 21.00
3182; 20.00
4240; 20.00
5298; 21.00
6362; 31.00
7425; 29.00
8488; 40.00
9550; 26.00
10613; 18.00
11671; 17.00
12730; 17.00
13788; 18.00
14847; 19.00
15912; 23.00
16971; 17.00
18032; 19.00
19090; 17.00
20149; 17.00
21211; 17.00
22270; 17.00
23329; 17.00
24388; 17.00
25447; 17.00
26507; 17.00
27566; 17.00
28626; 17.00
29686; 17.00
30747; 17.00
31806; 17.00
32864; 18.00
33921; 18.00
34980; 18.00
36040; 17.00
37102; 17.00
38162; 17.00
39222; 17.00
40281; 17.00
41341; 17.00
42401; 17.00
43462; 19.00
44524; 17.00
45583; 17.00
46645; 17.00
47706; 18.00
48769; 17.00
49829; 17.00
50889; 17.00
51950; 17.00
53009; 17.00
54069; 17.00
55132; 17.00
56191; 17.00
57251; 17.00
58310; 17.00
59370; 17.00
60431; 17.00
61494; 17.00
62554; 16.00
63615; 17.00
64675; 17.00
65736; 17.00
66799; 17.00
67857; 17.00
68919; 17.00
69979; 17.00
71040; 17.00
72104; 17.00
73165; 17.00
74228; 17.00
75288; 17.00
76348; 17.00
77410; 16.00
78469; 17.00
79528; 17.00
80589; 16.00
81649; 16.00
82709; 16.00
83770; 16.00
84829; 17.00
85891; 17.00
86952; 16.00
88014; 17.00
89074; 17.00
90133; 17.00
91192; 17.00
92252; 17.00
93312; 17.00
94371; 17.00
95432; 23.00
96494; 23.00
97553; 26.00
98614; 26.00
99677; 32.00
100742; 29.00
101800; 18.00
102860; 17.00
103917; 17.00
104975; 16.00
106033; 16.00
107091; 16.00
108148; 21.00
109203; 18.00
110262; 23.00
111320; 21.00
112379; 22.00
113436; 21.00
114494; 20.00
115551; 60.00
116611; 51.00
117677; 96.00
118745; 83.00
119804; 20.00
120862; 25.00
121922; 28.00
122979; 35.00
124037; 17.00
125098; 48.00
126158; 57.00
127218; 59.00
128283; 58.00
129344; 41.00
130401; 16.00
131461; 17.00
132521; 17.00
133579; 32.00
134641; 33.00
135703; 75.00
136770; 79.00
137832; 83.00
138893; 86.00
139955; 93.00
141018; 95.00
142079; 90.00
143147; 84.00
144208; 82.00
145268; 74.00
146331; 83.00
147393; 82.00
148456; 77.00
149522; 91.00
150585; 92.00
151648; 82.00
152711; 86.00
153773; 86.00
154838; 82.00
155901; 73.00
156976; 87.00
158039; 89.00
159100; 81.00
160165; 82.00
161225; 77.00
162286; 75.00
163347; 87.00
164413; 82.00
165480; 76.00
166540; 74.00
167601; 74.00
168664; 86.00
169732; 90.00
170791; 84.00
171852; 82.00
172919; 87.00
174000; 82.00
175061; 79.00
176124; 92.00
177188; 77.00
178247; 48.00
179308; 36.00
180369; 16.00
181428; 26.00
182488; 26.00
183549; 39.00
184609; 31.00
185669; 36.00
186731; 35.00
187791; 35.00
188851; 46.00
189911; 48.00
190974; 30.00
192040; 28.00
193100; 44.00
194160; 35.00
195219; 48.00
196278; 49.00
197334; 50.00
198391; 49.00
199449; 51.00
200508; 50.00
201566; 51.00
202623; 51.00
203682; 50.00
204739; 44.00
205800; 26.00
206860; 30.00
207919; 26.00
208977; 26.00
210037; 26.00
211096; 26.00
212156; 28.00
213215; 26.00
214276; 25.00
215334; 26.00
216391; 27.00
217449; 26.00
218516; 27.00
219575; 27.00
220631; 27.00
221689; 28.00
222748; 28.00
223808; 38.00
224864; 28.00
225923; 25.00
226982; 25.00
228040; 28.00
229098; 26.00
230156; 26.00
231215; 26.00
232274; 28.00
233332; 26.00
234390; 24.00
235448; 48.00
236504; 55.00
237562; 57.00
238618; 69.00
239676; 61.00
240736; 55.00
241795; 50.00
242853; 65.00
243915; 95.00
244980; 90.00
246040; 96.00
247101; 93.00
248162; 94.00
249218; 81.00
250280; 63.00
251346; 94.00
252409; 100.00
253472; 99.00
254536; 100.00
255599; 100.00
256664; 99.00
257732; 92.00
258797; 101.00
259877; 100.00
260951; 100.00
262021; 100.00
263086; 100.00
264155; 100.00
265220; 100.00
266286; 100.00
267362; 101.00
268458; 100.00
269541; 99.00
270610; 99.00
271690; 102.00
272782; 98.00
273859; 32.00
274916; 17.00
275977; 34.00
277038; 66.00
278096; 60.00
279161; 94.00
280252; 43.00
281315; 19.00
282374; 17.00
283430; 18.00
284489; 70.00
285550; 25.00
286609; 38.00
287669; 32.00
288727; 64.00
289783; 81.00
290855; 102.00
291930; 102.00
293000; 101.00
294072; 101.00
295150; 100.00
296222; 101.00
297294; 101.00
298366; 101.00
299440; 101.00
300510; 101.00
301582; 94.00
302643; 91.00
303712; 92.00
304778; 97.00
305853; 97.00
306917; 96.00
307983; 103.00
309057; 102.00
310132; 101.00
311204; 101.00
312269; 86.00
313333; 83.00
314399; 73.00
315462; 76.00
316527; 93.00
317598; 105.00
318675; 104.00
319752; 102.00
320829; 100.00
321904; 93.00
322987; 101.00
324065; 101.00
325146; 104.00
326228; 102.00
327307; 94.00
328377; 96.00
329451; 100.00
330527; 100.00
331606; 99.00
332684; 101.00
333761; 101.00
334830; 101.00
335907; 101.00
336977; 100.00
338041; 98.00
339114; 95.00
340172; 97.00
341246; 105.00
342328; 102.00
343408; 103.00
344479; 101.00
345553; 102.00
346631; 102.00
347709; 101.00
348781; 104.00
349863; 105.00
350942; 104.00
352022; 104.00
353104; 102.00
354183; 102.00
355261; 102.00
356339; 102.00
357416; 99.00
358486; 98.00
359562; 101.00
360643; 102.00
361722; 101.00
362800; 100.00
363874; 102.00
364957; 102.00
366037; 102.00
367121; 101.00
368196; 102.00
369271; 100.00
370342; 102.00
371420; 101.00
372493; 101.00
373571; 101.00
374647; 102.00
375726; 89.00
376811; 101.00
377890; 98.00
378963; 101.00
380037; 46.00
381132; 99.00
382224; 98.00
383302; 97.00
384376; 96.00
385445; 98.00
386519; 97.00
387588; 97.00
388656; 101.00
389729; 94.00
390790; 44.00
391857; 101.00
392930; 97.00
394001; 97.00
395069; 96.00
396140; 99.00
397209; 100.00
398281; 95.00
399349; 94.00
400416; 100.00
401484; 100.00
402558; 97.00
403630; 98.00
404699; 100.00
405767; 97.00
406837; 99.00
407909; 101.00
408985; 101.00
410061; 100.00
411138; 99.00
412215; 99.00
413287; 100.00
414362; 100.00
415442; 83.00
416522; 100.00
417595; 94.00
418660; 98.00
419732; 98.00
420809; 98.00
421878; 98.00
422954; 100.00
424024; 100.00
425092; 100.00
426160; 100.00
427228; 99.00
428297; 100.00
429368; 100.00
430443; 99.00
431516; 100.00
432587; 100.00
433658; 98.00
434725; 101.00
435799; 100.00
436867; 99.00
437938; 101.00
439007; 99.00
440086; 90.00
441170; 100.00
442257; 100.00
443344; 100.00
444432; 100.00
445519; 99.00
446590; 86.00
447668; 100.00
448732; 75.00
449810; 100.00
450882; 101.00
451952; 102.00
453029; 100.00
454103; 97.00
455169; 101.00
456244; 104.00
457329; 102.00
458414; 103.00
459514; 102.00
460591; 99.00
461662; 96.00
462733; 96.00
463809; 100.00
464881; 100.00
465954; 100.00
467033; 99.00
468102; 98.00
469170; 100.00
470240; 98.00
471312; 100.00
472383; 100.00
473459; 98.00
474527; 96.00
475595; 50.00
476660; 46.00
477726; 53.00
478787; 57.00
479855; 43.00
480922; 60.00
481987; 43.00
483049; 32.00
484110; 72.00
485169; 39.00
486228; 32.00
487287; 83.00
488364; 102.00
489436; 100.00
490511; 97.00
491585; 91.00
492652; 97.00
493720; 97.00
494794; 97.00
495867; 100.00
496945; 99.00
498019; 104.00
499099; 102.00
500171; 101.00
501254; 107.00
502332; 102.00
503436; 102.00
504518; 100.00
505586; 100.00
506657; 97.00
507723; 99.00
508793; 101.00
509873; 108.00
510969; 73.00
512047; 86.00
513107; 62.00
514170; 89.00
515249; 66.00
516313; 52.00
517375; 50.00
518442; 85.00
519501; 87.00
520571; 95.00
521639; 100.00
522706; 99.00
523776; 99.00
524850; 100.00
525923; 100.00
526993; 100.00
528067; 71.00
529129; 46.00
530192; 93.00
531268; 101.00
532339; 97.00
533407; 94.00
534476; 97.00
535549; 99.00
536621; 100.00
537702; 101.00
538787; 100.00
539866; 99.00
540940; 101.00
542028; 101.00
543118; 99.00
544208; 101.00
545302; 100.00
546394; 100.00
547461; 101.00
548532; 100.00
549602; 102.00
550673; 100.00
551747; 99.00
552817; 100.00
553887; 100.00
