Time;CPU
1055; 17.00
2111; 27.00
3171; 25.00
4232; 36.00
5286; 25.00
6340; 16.00
7396; 15.00
8452; 15.00
9507; 17.00
10564; 21.00
11619; 15.00
12673; 17.00
13728; 19.00
14783; 20.00
15838; 16.00
16895; 26.00
17952; 22.00
19014; 27.00
20069; 23.00
21125; 35.00
22183; 24.00
23238; 17.00
24294; 14.00
25349; 14.00
26403; 16.00
27455; 15.00
28509; 18.00
29566; 16.00
30621; 15.00
31676; 15.00
32730; 16.00
33784; 15.00
34839; 15.00
35894; 15.00
36948; 14.00
38006; 15.00
39060; 14.00
40115; 15.00
41168; 15.00
42223; 14.00
43279; 14.00
44335; 15.00
45390; 15.00
46446; 14.00
47500; 15.00
48556; 16.00
49612; 14.00
50666; 15.00
51721; 15.00
52775; 14.00
53831; 14.00
54886; 15.00
55941; 16.00
56997; 14.00
58051; 15.00
59106; 16.00
60161; 16.00
61217; 14.00
62273; 15.00
63327; 15.00
64382; 14.00
65437; 15.00
66493; 14.00
67549; 15.00
68603; 14.00
69659; 15.00
70714; 15.00
71770; 15.00
72825; 15.00
73881; 14.00
74936; 15.00
75992; 14.00
77048; 15.00
78102; 14.00
79156; 15.00
80213; 15.00
81269; 15.00
82324; 15.00
83380; 16.00
84434; 15.00
85489; 14.00
86546; 15.00
87601; 14.00
88656; 14.00
89712; 15.00
90769; 14.00
91825; 15.00
92881; 16.00
93935; 15.00
94990; 15.00
96044; 13.00
97097; 11.00
98153; 10.00
99208; 10.00
100261; 10.00
101315; 11.00
102370; 12.00
103423; 60.00
104477; 61.00
105533; 59.00
106586; 53.00
107637; 65.00
108691; 67.00
109745; 63.00
110801; 65.00
111854; 63.00
112908; 59.00
113960; 53.00
115009; 46.00
116064; 35.00
117118; 34.00
118171; 17.00
119224; 20.00
120278; 21.00
121332; 19.00
122385; 18.00
123441; 22.00
124497; 23.00
125552; 23.00
126606; 23.00
127661; 21.00
128718; 21.00
129775; 20.00
130829; 19.00
131882; 19.00
132936; 20.00
133990; 19.00
135045; 20.00
136097; 20.00
137153; 18.00
138208; 19.00
139262; 20.00
140320; 19.00
141374; 23.00
142426; 30.00
143480; 31.00
144534; 32.00
145588; 30.00
146640; 49.00
147693; 50.00
148745; 52.00
149799; 55.00
150854; 53.00
151911; 56.00
152963; 56.00
154016; 57.00
155069; 55.00
156123; 19.00
157180; 22.00
158240; 21.00
159297; 20.00
160353; 20.00
161411; 24.00
162464; 15.00
163517; 15.00
164573; 16.00
165628; 14.00
166681; 15.00
167738; 23.00
168793; 15.00
169850; 16.00
170905; 14.00
171962; 15.00
173017; 15.00
174072; 14.00
175127; 14.00
176181; 15.00
177237; 14.00
178293; 14.00
179349; 15.00
180404; 15.00
181460; 18.00
182519; 19.00
183578; 17.00
184636; 17.00
185694; 18.00
186754; 19.00
187812; 18.00
188873; 16.00
189932; 17.00
190993; 17.00
192053; 17.00
193112; 22.00
194170; 20.00
195227; 20.00
196285; 20.00
197343; 17.00
198400; 19.00
199454; 18.00
200509; 14.00
201565; 15.00
202620; 14.00
203673; 15.00
204727; 15.00
205783; 15.00
206835; 17.00
207890; 14.00
208944; 14.00
210000; 24.00
211053; 16.00
212109; 16.00
213165; 16.00
214221; 16.00
215279; 17.00
216333; 17.00
217384; 19.00
218437; 17.00
219494; 17.00
220550; 16.00
221604; 15.00
222660; 15.00
223715; 17.00
224771; 19.00
225828; 22.00
226885; 30.00
227941; 33.00
228997; 32.00
230053; 25.00
231109; 29.00
232165; 37.00
233221; 33.00
234282; 18.00
235341; 17.00
236399; 18.00
237461; 18.00
238519; 16.00
239578; 17.00
240634; 17.00
241691; 17.00
242749; 18.00
243809; 17.00
244868; 17.00
245926; 17.00
246984; 19.00
248042; 17.00
249102; 16.00
250161; 17.00
251219; 17.00
252278; 18.00
253337; 17.00
254395; 17.00
255453; 18.00
256513; 18.00
257572; 18.00
258630; 17.00
259689; 17.00
260746; 17.00
261803; 19.00
262860; 17.00
263921; 16.00
264979; 17.00
266037; 17.00
267096; 18.00
268156; 19.00
269213; 17.00
270269; 17.00
271330; 17.00
272388; 16.00
273445; 17.00
274503; 20.00
275558; 19.00
276616; 20.00
277673; 31.00
278728; 42.00
279780; 23.00
280836; 21.00
281893; 25.00
282951; 18.00
284008; 25.00
285062; 27.00
286120; 19.00
287179; 20.00
288238; 18.00
289294; 17.00
290351; 16.00
291407; 16.00
292464; 18.00
293520; 16.00
294575; 16.00
295630; 17.00
296684; 17.00
297741; 17.00
298797; 16.00
299855; 17.00
300913; 17.00
301974; 16.00
303030; 17.00
304085; 17.00
305143; 17.00
306199; 17.00
307256; 15.00
308314; 17.00
309370; 16.00
310426; 17.00
311482; 23.00
312537; 17.00
313593; 16.00
314652; 21.00
315711; 18.00
316766; 22.00
317818; 16.00
318878; 16.00
319935; 17.00
320991; 16.00
322049; 16.00
323108; 21.00
324168; 19.00
325226; 35.00
326280; 21.00
327337; 18.00
328397; 22.00
329454; 18.00
330513; 23.00
331570; 21.00
332634; 28.00
333690; 20.00
334746; 31.00
335803; 30.00
336859; 28.00
337912; 37.00
338967; 26.00
340023; 25.00
341078; 25.00
342135; 28.00
343192; 34.00
344245; 30.00
345298; 38.00
346352; 39.00
347407; 29.00
348464; 21.00
349520; 35.00
350575; 26.00
351632; 36.00
352686; 32.00
353740; 28.00
354797; 29.00
355853; 26.00
356910; 26.00
357967; 21.00
359024; 33.00
360080; 32.00
361136; 25.00
362193; 19.00
363249; 29.00
364304; 25.00
365357; 32.00
366414; 28.00
367471; 27.00
368525; 26.00
369580; 23.00
370636; 36.00
371691; 43.00
372744; 36.00
373797; 35.00
374850; 24.00
375903; 34.00
376965; 19.00
378022; 21.00
379077; 20.00
380134; 18.00
381195; 20.00
382256; 18.00
383314; 20.00
384374; 21.00
385430; 18.00
386488; 17.00
387546; 18.00
388604; 25.00
389662; 17.00
390719; 34.00
391771; 25.00
392827; 29.00
393882; 56.00
394936; 56.00
395987; 52.00
397039; 54.00
398091; 54.00
399143; 56.00
400196; 54.00
401248; 53.00
402301; 52.00
403354; 46.00
