Time_ms;Thor_WorkingSet_MB;Thor_Private_MB;Free_RAM_MB
2;116;116;10292
1033;208;208;10185
2056;259;259;10129
3081;300;300;10079
4103;325;325;10033
5125;314;314;10026
6148;412;412;9906
7170;487;487;9924
8192;369;369;10007
9214;454;454;9884
10237;483;483;9850
11258;471;471;9850
12280;460;460;9826
13301;473;473;9832
14322;492;492;9798
15341;524;524;9784
16363;658;658;9669
17388;731;731;9618
18410;749;749;9605
19439;779;779;9569
20460;791;791;9557
21481;857;857;9475
22502;852;852;9474
23525;877;877;9536
24548;950;950;9474
25570;971;971;9452
26591;1025;1025;9389
27613;1029;1029;9365
28635;897;897;9455
29655;898;898;9446
30676;709;709;9618
31697;764;764;9574
32719;765;765;9578
33740;773;773;9570
34762;790;790;9563
35783;786;786;9560
36803;806;806;9559
37824;797;797;9552
38844;793;793;9553
39865;866;866;9549
40886;805;805;9536
41908;819;819;9532
42929;819;819;9527
43951;810;810;9530
44973;873;873;9466
45994;817;817;9523
47015;827;827;9510
48037;793;793;9549
49056;815;815;9548
50078;811;811;9539
51099;815;815;9530
52120;817;817;9513
53142;878;878;9519
54164;832;832;9515
55184;826;826;9519
56205;824;824;9528
57227;931;931;9514
58248;839;839;9499
59268;827;827;9517
60287;810;810;9534
61308;837;837;9530
62330;820;820;9517
63349;831;831;9509
64370;832;832;9505
65391;837;837;9502
66413;868;868;9502
67435;834;834;9501
68455;856;856;9501
69476;834;834;9501
70497;878;878;9450
71517;819;819;9511
72539;843;843;9510
73560;817;817;9508
74581;840;840;9507
75603;829;829;9505
76625;839;839;9501
77646;870;870;9493
78668;854;854;9479
79689;852;852;9484
80711;825;825;9502
81732;825;825;9504
82752;825;825;9500
83774;822;822;9496
84794;851;851;9495
85816;835;835;9490
86837;853;853;9484
87859;842;842;9479
88880;851;851;9473
89902;881;881;9465
90923;865;865;9451
91943;873;873;9448
92965;844;844;9476
93986;840;840;9475
95007;825;825;9481
96028;842;842;9483
97049;827;827;9488
98070;810;810;9497
99091;810;810;9498
100111;795;795;9513
101135;796;796;9514
102156;794;794;9516
103174;794;794;9503
104194;795;795;9507
105212;785;785;9521
106231;784;784;9525
107249;783;783;9520
108268;783;783;9519
109286;775;775;9516
110309;764;764;9507
111327;765;765;9508
112346;712;712;9553
113365;712;712;9551
114384;712;712;9555
115403;714;714;9559
116423;719;719;9543
117445;719;719;9532
118466;719;719;9530
119488;719;719;9526
120510;719;719;9534
121532;719;719;9534
122555;719;719;9505
123576;719;719;9506
124597;719;719;9508
125618;719;719;9507
126639;719;719;9510
127660;719;719;9511
128682;719;719;9508
129704;719;719;9514
130724;719;719;9510
131746;719;719;9509
132768;719;719;9511
133788;719;719;9509
134809;719;719;9505
135832;719;719;9505
136854;719;719;9505
137876;734;734;9490
138896;738;738;9491
139917;770;770;9465
140938;770;770;9467
141957;771;771;9482
142975;798;798;9464
143993;798;798;9470
145013;798;798;9477
146032;811;811;9474
147052;826;826;9479
148071;831;831;9471
149090;845;845;9461
150109;845;845;9462
151127;863;863;9447
152146;863;863;9450
153165;884;884;9433
154183;884;884;9432
155202;936;936;9421
156224;982;982;9380
157247;997;997;9367
158268;998;998;9365
159290;1001;1001;9360
160311;1001;1001;9359
161332;1153;1153;9307
162354;1208;1208;9292
163376;1115;1115;9287
164398;1206;1206;9286
165420;1277;1277;9265
166443;1166;1166;9173
167468;1294;1294;9093
168490;1362;1362;9040
169512;1443;1443;9037
170533;1487;1487;9034
171555;1448;1448;9041
172576;1490;1490;9040
173597;1533;1533;9038
174619;1577;1577;9035
175641;1438;1438;9028
176672;1479;1479;9027
177693;1391;1391;9027
178714;1429;1429;9027
179736;1347;1347;9025
180758;1291;1291;9034
181779;1291;1291;9034
182801;1286;1286;9034
183822;1286;1286;9034
184842;1286;1286;9035
185864;1288;1288;9035
186885;1289;1289;9035
187907;1301;1301;9032
188928;1306;1306;9030
189949;1313;1313;9023
190970;1146;1146;9163
191992;1141;1141;9163
193014;1124;1124;9186
194035;1124;1124;9186
195056;1114;1114;9200
196077;1114;1114;9200
197099;1114;1114;9199
198121;1202;1202;9112
199142;1337;1337;9077
200163;1405;1405;9064
201185;1456;1456;8990
202207;1497;1497;8989
203229;1415;1415;8985
204250;1479;1479;8983
205271;1558;1558;8946
206293;1408;1408;8963
207315;1451;1451;8963
208336;1303;1303;8971
209357;1279;1279;8965
210378;1284;1284;8972
211399;1289;1289;8978
212420;1285;1285;8986
213440;1285;1285;8990
214462;1286;1286;8993
215484;1172;1172;9105
216505;1188;1188;9107
217526;1177;1177;9108
218546;1190;1190;9107
219568;1184;1184;9114
220588;1197;1197;9114
221609;1219;1219;9116
222630;1191;1191;9115
223650;1223;1223;9082
224671;1237;1237;9080
225692;1259;1259;9060
226712;1158;1158;9121
227733;1147;1147;9134
228754;1147;1147;9138
229774;1148;1148;9141
230794;1148;1148;9144
231815;1146;1146;9146
232836;1163;1163;9135
233857;1159;1159;9139
234879;1161;1161;9135
235900;1147;1147;9158
236922;1147;1147;9158
237945;1147;1147;9158
238967;1147;1147;9159
239988;1147;1147;9160
241011;1147;1147;9163
242032;1147;1147;9162
243055;1147;1147;9162
244076;1147;1147;9161
245098;1147;1147;9161
246120;1147;1147;9161
247142;1155;1155;9159
248163;1152;1152;9160
249185;1140;1140;9174
250206;1144;1144;9176
251229;1144;1144;9176
252250;1154;1154;9175
253273;1154;1154;9175
254294;1141;1141;9193
255316;1141;1141;9193
256339;1141;1141;9193
257360;1141;1141;9192
258389;1141;1141;9192
259412;1141;1141;9191
260434;1141;1141;9199
261455;1150;1150;9191
262477;1150;1150;9190
263499;1148;1148;9186
264520;1148;1148;9186
265542;1148;1148;9185
266563;1145;1145;9185
267586;1146;1146;9185
268606;1146;1146;9184
269628;1146;1146;9184
270650;1146;1146;9184
271672;1147;1147;9184
272693;1147;1147;9184
273712;1092;1092;9219
274734;1088;1088;9223
275756;1087;1087;9226
276778;1087;1087;9226
277798;1069;1069;9248
278819;1076;1076;9246
279839;1072;1072;9245
280859;1068;1068;9253
281881;1072;1072;9253
282902;1073;1073;9252
283922;1075;1075;9249
284943;1058;1058;9261
285964;1059;1059;9261
286986;1053;1053;9273
288006;1051;1051;9272
289027;1054;1054;9272
290047;1060;1060;9272
291069;1060;1060;9272
292090;1079;1079;9270
293111;1081;1081;9269
294130;1054;1054;9265
295152;1055;1055;9264
296172;1056;1056;9264
297193;1075;1075;9256
298214;1065;1065;9257
299236;1079;1079;9257
300257;1075;1075;9256
301277;1066;1066;9255
302299;1067;1067;9253
303320;1067;1067;9253
304340;1066;1066;9253
305361;1087;1087;9253
306382;1080;1080;9253
307401;1110;1110;9257
308422;1069;1069;9255
309443;1065;1065;9255
310464;1076;1076;9240
311485;1077;1077;9240
312506;1075;1075;9244
313531;1075;1075;9244
314552;1075;1075;9244
315574;1075;1075;9244
316594;1077;1077;9244
317616;1081;1081;9244
318638;1081;1081;9244
319658;1081;1081;9244
320679;1081;1081;9244
321700;1080;1080;9244
322720;1080;1080;9244
323742;1101;1101;9216
324762;1112;1112;9206
325782;1148;1148;9173
326804;1176;1176;9136
327824;1178;1178;9135
328845;1175;1175;9137
329865;1176;1176;9140
330887;1266;1266;9049
331908;1311;1311;8981
332929;1327;1327;8973
333949;1292;1292;9012
334970;1247;1247;9058
335991;1230;1230;9055
337010;1211;1211;9072
338029;1251;1251;9048
339050;1274;1274;9010
340070;1245;1245;9028
341091;1258;1258;9023
342111;1286;1286;8984
343130;1268;1268;9006
344150;1258;1258;9017
345170;1233;1233;9009
346190;1238;1238;9022
347209;1271;1271;9008
348230;1265;1265;8986
349250;1207;1207;9035
350271;1243;1243;9011
351290;1252;1252;9012
352311;1298;1298;8967
353333;1268;1268;8990
354352;1277;1277;8984
355372;1230;1230;9015
356391;1259;1259;9005
357412;1226;1226;9035
358432;1264;1264;8966
359453;1215;1215;9004
360473;1201;1201;9031
361494;1230;1230;9027
362514;1238;1238;9025
363535;1201;1201;9061
364556;1214;1214;9063
365577;1244;1244;9038
366598;1200;1200;9052
367619;1146;1146;9109
368640;1177;1177;9108
369660;1192;1192;9092
370680;1251;1251;9040
