hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",3414179,1944886,3642493426000,1066872,0,126257881600,155258984744700,45474764,0,58605109600
"scan with file YARA rules",55744,0,1163235373800,20867454,0,10616924400,76682304747500,1375615398,0,50396987500
"scan with meta YARA rules",95830,0,446753569100,4661938,0,10568713600,114814756422000,1198108696,0,50396987500
"scan object with YARA",99628,0,284614616500,2856773,0,10798455000,178998080625300,1796664397,0,57417064600
"scan with process YARA rules",119,0,233967800100,1966115967,0,16900810100,2873181652400,24144383633,0,57417064600
"parse CAB archive",26,0,164840231300,6340008896,508100,120478847800,61901081900,2380810842,0,6729887400
"apply Sigma rules",2919906,0,82228799700,28161,0,49413300,1077309836405600,368953602,0,57417064600
"parse GZIP archive",6632,0,64631174900,9745352,0,3941521800,5114235589100,771145293,0,15225960200
"parse Shim database",21,0,64214872200,3057851057,520800,17496844700,40164464900,1912593566,0,9313859000
"parse file content",55744,0,58489432400,1049250,0,3858878900,76682304747500,1375615398,0,50396987500
"parse registry hive",383,0,53686278200,140173050,0,22288785000,362223378700,945752946,0,9171966500
"parse ZIP archive",312,0,52386345300,167904952,0,28101175300,608280270800,1949616252,0,16163083600
"parse log file",205,0,43091439900,210202145,0,14313884600,198227834100,966965044,0,9199020700
"parse ETL file",233,0,41678121800,178876059,7421000,18774628000,285549206800,1225533076,0,8650874500
"scan process for malicious indicators",119,0,38177647200,320820564,1526400,16890980600,2873181652400,24144383633,0,57417064600
"parse SHIM cache",2,0,28855560300,14427780150,9404103900,19451456400,18940300,9470150,4563700,14376600
"schedule scan for executed file",884,0,28325334800,32042233,0,9189690700,698509207600,790168786,4563700,3568241800
"extract process handles",119,0,18744802800,157519351,8071900,2406838400,2873181652400,24144383633,0,57417064600
"parse CHM file",23,0,18660530600,811327417,96325600,2926416700,36922834100,1605340613,0,8470957700
"parsing Chrome history",5,0,14996245400,2999249080,8477200,14888520800,978255900,195651180,0,495828500
"scan object's command line with YARA",119,0,13385627600,112484265,0,2805226600,2873181652400,24144383633,0,57417064600
"parse Amcache",4,0,12875945400,3218986350,0,12875945400,3682443000,920610750,0,2110740500
"check file existence",107715,0,11959939800,111033,0,11868200,124103831308800,1152149944,0,56651734000
"extract process environment variables",119,0,10455848300,87864271,0,4346993900,2873181652400,24144383633,0,57417064600
"check file excludes",24782,0,7317003200,295254,0,1680262700,30838607854100,1244395442,0,56651734000
"add meta information",21027,0,7150041000,340040,0,925215600,28987574094000,1378588200,0,50396987500
"parse OLE format",22,0,7058046200,320820281,0,6003368100,27308923600,1241314709,0,5415649900
"check if file was already scanned",106542,0,6847531100,64270,0,6922500,123683414037500,1160888795,0,56651734000
"parse RAR archive",15,0,6010944600,400729640,0,3245890800,35184615400,2345641026,4563700,15311819700
"apply handle IOCs",6380,0,5776034100,905334,0,2283810600,56408314215500,8841428560,0,53527910600
"analyze prefetch file",343,0,5556492600,16199686,0,1612618000,382955189300,1116487432,0,3140986300
"enrich finding with file information",335,0,1917498300,5723875,0,531490900,72565728000,216614113,0,4361416300
"check with STIX IOCs",1149956,0,1741192600,1514,0,2542600,418669666270200,364074509,0,50396987500
"check if object should be logged",2919906,0,1548672000,530,0,10862500,1077309836405600,368953602,0,57417064600
"parse Atjobs file",237,0,1273604300,5373857,0,218541500,228903367500,965836993,0,2203925000
"parse PowerShell module cache",1,0,1157379000,1157379000,1157379000,1157379000,0,0,0,0
"apply false positive filters",2919906,0,1120570900,383,0,4839600,1077309836405600,368953602,0,57417064600
"log object",73762,0,1118803100,15167,0,11251100,87737683497000,1189469964,0,57417064600
"limit frequent matches",2919906,0,976857800,334,0,2549200,1077309836405600,368953602,0,57417064600
"scan SHIM cache entry for executed file",884,0,885649900,1001866,0,529063000,698509207600,790168786,4563700,3568241800
"check for suspicious locations",885,0,696614300,787134,0,156880500,698509207600,789275940,0,3568241800
"parse ESE database",8,0,561375800,70171975,0,404639300,22029787600,2753723450,0,9218439800
"scan entry",726,0,504697000,695174,0,50323200,252366664800,347612485,0,4291727100
"apply hash IOCs",55744,0,452598600,8119,0,2512900,76682304747500,1375615398,0,50396987500
"parse SRUM database",1,0,423064800,423064800,423064800,423064800,0,0,0,0
"check size",1094212,0,413425200,377,0,2506800,341987361522700,312542141,0,6697361800
"search for Cobalt Strike beacons",81176,0,392115800,4830,0,2541100,105355207820900,1297861533,0,57417064600
"store time information about deep scan",55744,0,372931300,6690,0,2517600,76682304747500,1375615398,0,50396987500
"deduplicate reasons",95830,0,307771900,3211,0,2513800,114814756422000,1198108696,0,50396987500
