hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",1273796,1273103,1241685526375,974791,0,233928912101,58416625763251,45860267,0,516960468778
"scan with file YARA rules",105803,0,251782302899,2379727,1007413,3407904063,4842684309,45770,9157,2578504039
"schedule scan for symlink target",59432,0,118485751244,1993635,17113,17155113921,881067968,14824,9157,13028573
"scan with meta YARA rules",248984,0,61612829818,247456,86766,29099551,6970256727,27994,9157,2578504039
"scan with process YARA rules",68,0,58328063416,857765638,35653979,4064316468,1129616,16612,16612,16612
"scan object with YARA",49633,0,51837333980,1044412,322757,27558921,483144678078,9734343,4369,6709475325
"parse GZIP archive",10164,0,47024167007,4626541,117353,2496851749,147876036,14549,14549,14549
"parse ZIP archive",190,0,44556792757,234509435,3476835,17091075505,2764310,14549,14549,14549
"apply Sigma rules",995169,0,39629090689,39821,7093,41856556,496901281342,499313,4369,6709475325
"parse log file",135,0,24445257654,181075982,1633,2334316238,1964115,14549,14549,14549
"parse file content",105803,0,9701527206,91694,2616,480783515,4842684309,45770,9157,2578504039
"compare to ThorDB",156,0,5099302202,32687834,28785371,44932095,467536640218,2997029744,9157,6709475325
"check file excludes",90286,0,4469421093,49502,120,12733219,4676225941,51793,9157,2578504039
"parse journald format",5,0,2743473758,548694751,29182782,2028110796,72745,14549,14549,14549
"add meta information",45268,0,2448141809,54081,2194,4888459,4006392643,88503,9157,2578504039
"check file existence",308815,0,1609046474,5210,191,207737,7855604362,25437,9157,2578504039
"scan process for malicious indicators",68,0,1388142679,20413862,208388,161128276,1129616,16612,16612,16612
"check with STIX IOCs",105803,0,1057640392,9996,881,104228,4842684309,45770,9157,2578504039
"extract process environment variables",68,0,934683193,13745341,151158,24546242,1129616,16612,16612,16612
"extract process handles",68,0,823140062,12105000,2128592,102183680,1129616,16612,16612,16612
"check if file was already scanned",308682,0,666261905,2158,120,27487074,7853669345,25442,9157,2578504039
"search for Cobalt Strike beacons",179781,0,617255811,3433,772,3298705,5947170764,33080,9157,2578504039
"check if object should be logged",995169,0,581464672,584,210,176257,496901281342,499313,4369,6709475325
"apply hash IOCs",105803,0,560535724,5297,2093,162530,4842684309,45770,9157,2578504039
"schedule scan for executable",156,0,504599441,3234611,22983,21273647,467536640218,2997029744,9157,6709475325
"parse TARGZ archive",1,0,442375150,442375150,442375150,442375150,14549,14549,14549,14549
"apply false positive filters",995169,0,364918628,366,190,161328,496901281342,499313,4369,6709475325
"deduplicate reasons",248984,0,332292293,1334,150,126091,6970256727,27994,9157,2578504039
"limit frequent matches",995169,0,327686738,329,130,3203264,496901281342,499313,4369,6709475325
"store time information about deep scan",105803,0,301799224,2852,942,98288,4842684309,45770,9157,2578504039
"check if deep scan is needed",248984,0,262636876,1054,150,85294,6970256727,27994,9157,2578504039
"check if maximum file size is exceeded",248984,0,153161843,615,180,76065,6970256727,27994,9157,2578504039
"fill in interesting content",248984,0,105766423,424,160,61588,6970256727,27994,9157,2578504039
"scan object's command line with YARA",68,0,80767505,1187757,890811,3323212,1129616,16612,16612,16612
"log file",248984,0,60731952,243,120,65477,6970256727,27994,9157,2578504039
"parse TAR archive",1,0,49476999,49476999,49476999,49476999,14549,14549,14549,14549
"parse authorized_keys format",1,0,27640388,27640388,27640388,27640388,14549,14549,14549,14549
"parsing Firefox history",1,0,27423935,27423935,27423935,27423935,14549,14549,14549,14549
"parse system crontab",3,0,12191786,4063928,6843,9929088,43647,14549,14549,14549
"initialize process memory reader",68,0,9560763,140599,80214,226342,1129616,16612,16612,16612
"log object",502,0,9306169,18538,822,626627,479072677932,954328043,4369,6709475325
"enrich finding with file information",45,0,8832230,196271,11381,478863,28784804,639662,4369,28054798
"check process excludes",207,0,8774837,42390,150,517238,6243892958993,30163734101,16612,62476277858
"truncate long values",502,0,7690070,15318,821,369625,479072677932,954328043,4369,6709475325
"analyze process connection",68,0,7636715,112304,2686,2470423,1129616,16612,16612,16612
"parse OLE format",14,0,5932109,423722,47159,1874958,203686,14549,14549,14549
"scan eBPF program with file YARA rules",1,0,1934692,1934692,1934692,1934692,12134,12134,12134,12134
"retrieve interesting process memory",68,0,1678840,24688,3126,95603,1129616,16612,16612,16612
"check for C2 IOCs",8,0,1278338,159792,85243,322977,128770,16096,14549,16612
"truncate unimportant process memory sections",68,0,1186581,17449,7444,45948,1129616,16612,16612,16612
"unpack UPX",3,0,1055872,351957,315000,386527,43647,14549,14549,14549
"log md5 to csv",38,0,453564,11935,120,71728,28593111,752450,14549,28054798
"check file mode",156,0,441166,2827,1243,6283,467536640218,2997029744,9157,6709475325
"check for known evil services",156,0,381435,2445,1272,16962,467536640218,2997029744,9157,6709475325
"parse mail",5,0,88679,17735,7264,32201,72745,14549,14549,14549
"scan dependent files",35,0,13692,391,200,982,386137985,11032513,820476,22557117
"check for port 0",6,0,9888,1648,891,2575,99672,16612,16612,16612
"check if profile is recent",1,0,7173,7173,7173,7173,4369,4369,4369,4369
"check for network pipes",6,0,4488,748,290,1233,99672,16612,16612,16612
