Time;CPU
1058; 17.00
2113; 26.00
3172; 25.00
4230; 37.00
5286; 27.00
6340; 16.00
7393; 15.00
8446; 15.00
9501; 18.00
10559; 20.00
11611; 15.00
12665; 18.00
13718; 19.00
14771; 19.00
15826; 17.00
16881; 26.00
17938; 26.00
18997; 31.00
20056; 29.00
21114; 17.00
22174; 23.00
23230; 21.00
24284; 14.00
25338; 14.00
26393; 15.00
27446; 15.00
28500; 19.00
29555; 17.00
30610; 13.00
31665; 15.00
32719; 16.00
33773; 15.00
34828; 15.00
35882; 15.00
36937; 14.00
37990; 15.00
39044; 14.00
40099; 14.00
41154; 15.00
42209; 14.00
43263; 15.00
44315; 15.00
45370; 14.00
46424; 14.00
47478; 15.00
48533; 15.00
49588; 14.00
50642; 15.00
51698; 15.00
52752; 14.00
53806; 14.00
54861; 15.00
55915; 15.00
56969; 14.00
58024; 15.00
59077; 16.00
60131; 15.00
61184; 14.00
62240; 16.00
63294; 15.00
64349; 14.00
65403; 15.00
66457; 15.00
67511; 15.00
68566; 14.00
69621; 15.00
70675; 15.00
71729; 15.00
72783; 15.00
73839; 15.00
74893; 14.00
75949; 15.00
77003; 15.00
78058; 15.00
79112; 15.00
80164; 15.00
81218; 16.00
82275; 16.00
83328; 15.00
84384; 14.00
85437; 15.00
86492; 14.00
87546; 15.00
88603; 14.00
89657; 15.00
90713; 15.00
91767; 15.00
92821; 16.00
93876; 15.00
94929; 13.00
95985; 12.00
97045; 10.00
98097; 10.00
99153; 11.00
100206; 10.00
101260; 35.00
102312; 60.00
103365; 59.00
104416; 54.00
105471; 51.00
106524; 63.00
107576; 66.00
108628; 53.00
109681; 56.00
110733; 57.00
111786; 57.00
112841; 46.00
113895; 60.00
114946; 32.00
115995; 18.00
117047; 21.00
118101; 20.00
119153; 19.00
120204; 19.00
121260; 23.00
122313; 23.00
123367; 23.00
124420; 24.00
125474; 20.00
126529; 19.00
127582; 20.00
128635; 19.00
129689; 20.00
130743; 19.00
131796; 20.00
132851; 20.00
133905; 18.00
134958; 19.00
136013; 19.00
137072; 18.00
138126; 26.00
139180; 22.00
140232; 32.00
141287; 33.00
142338; 31.00
143393; 36.00
144449; 55.00
145502; 56.00
146556; 54.00
147608; 55.00
148662; 51.00
149714; 54.00
150768; 54.00
151822; 53.00
152875; 33.00
153930; 23.00
154989; 19.00
156044; 18.00
157102; 20.00
158158; 24.00
159214; 17.00
160270; 14.00
161326; 15.00
162379; 15.00
163433; 15.00
164488; 22.00
165544; 16.00
166600; 16.00
167654; 15.00
168710; 14.00
169765; 16.00
170821; 14.00
171875; 14.00
172932; 15.00
173986; 15.00
175040; 14.00
176095; 15.00
177149; 15.00
178203; 18.00
179262; 18.00
180322; 20.00
181380; 20.00
182436; 20.00
183496; 17.00
184556; 17.00
185614; 17.00
186672; 17.00
187731; 17.00
188791; 19.00
189847; 17.00
190906; 17.00
191964; 19.00
193024; 17.00
194080; 17.00
195139; 17.00
196199; 18.00
197256; 15.00
198311; 15.00
199364; 16.00
200419; 14.00
201475; 15.00
202528; 14.00
203583; 14.00
204635; 17.00
205690; 14.00
206746; 16.00
207804; 25.00
208862; 17.00
209917; 16.00
210975; 16.00
212029; 17.00
213086; 17.00
214145; 20.00
215201; 17.00
216257; 16.00
217310; 16.00
218363; 15.00
219412; 15.00
220463; 16.00
221520; 19.00
222578; 17.00
223634; 26.00
224689; 33.00
225746; 23.00
226802; 29.00
227859; 29.00
228916; 26.00
229977; 31.00
231034; 31.00
232094; 17.00
233151; 18.00
234207; 18.00
235266; 17.00
236325; 17.00
237384; 17.00
238440; 17.00
239497; 17.00
240552; 18.00
241610; 18.00
242667; 17.00
243725; 17.00
244782; 19.00
245841; 17.00
246900; 17.00
247957; 17.00
249016; 17.00
250074; 18.00
251131; 17.00
252189; 17.00
253246; 17.00
254308; 18.00
255368; 18.00
256424; 17.00
257481; 17.00
258539; 20.00
259597; 17.00
260655; 17.00
261715; 17.00
262773; 17.00
263831; 17.00
264889; 19.00
265945; 16.00
267000; 16.00
268056; 17.00
269111; 17.00
270165; 17.00
271223; 19.00
272279; 20.00
273335; 21.00
274393; 30.00
275445; 44.00
276497; 24.00
277550; 22.00
278606; 25.00
279663; 18.00
280717; 19.00
281770; 27.00
282824; 20.00
283881; 17.00
284938; 20.00
285992; 17.00
287046; 16.00
288099; 16.00
289156; 19.00
290213; 16.00
291266; 17.00
292320; 17.00
293377; 17.00
294431; 17.00
295488; 16.00
296543; 17.00
297601; 17.00
298654; 16.00
299709; 17.00
300763; 16.00
301820; 17.00
302875; 17.00
303929; 15.00
304987; 16.00
306044; 16.00
307103; 16.00
308157; 23.00
309213; 17.00
310270; 17.00
311327; 22.00
312385; 24.00
313442; 20.00
314498; 16.00
315555; 17.00
316611; 16.00
317667; 15.00
318725; 17.00
319783; 22.00
320841; 20.00
321893; 36.00
322952; 18.00
324013; 18.00
325071; 20.00
326129; 20.00
327185; 24.00
328240; 21.00
329294; 29.00
330351; 21.00
331407; 30.00
332461; 30.00
333517; 35.00
334569; 35.00
335627; 24.00
336681; 23.00
337738; 28.00
338793; 28.00
339844; 35.00
340898; 33.00
341951; 37.00
343004; 31.00
344058; 28.00
345120; 21.00
346177; 38.00
347234; 24.00
348288; 40.00
349341; 29.00
350400; 24.00
351454; 33.00
352510; 26.00
353566; 22.00
354622; 25.00
355674; 33.00
356727; 28.00
357782; 22.00
358837; 21.00
359892; 31.00
360948; 25.00
362006; 27.00
363062; 31.00
364115; 29.00
365172; 24.00
366226; 22.00
367277; 43.00
368329; 40.00
369386; 37.00
370439; 32.00
371494; 28.00
372548; 25.00
373604; 19.00
374658; 18.00
375715; 18.00
376772; 20.00
377827; 18.00
378887; 20.00
379944; 20.00
381001; 22.00
382057; 22.00
383114; 17.00
384172; 18.00
385229; 25.00
386288; 21.00
387346; 39.00
388399; 20.00
389456; 32.00
390510; 55.00
391563; 53.00
392616; 52.00
393668; 56.00
394722; 55.00
395776; 54.00
396828; 55.00
397881; 56.00
398936; 54.00
399988; 37.00
401042; 21.00
402097; 25.00
403151; 25.00
404209; 22.00
405264; 23.00
406321; 24.00
407379; 23.00
408437; 24.00
409493; 24.00
410549; 22.00
411605; 23.00
412662; 22.00
413720; 24.00
414780; 25.00
415836; 30.00
416892; 25.00
417949; 23.00
419008; 20.00
420067; 25.00
421124; 23.00
422182; 27.00
423240; 21.00
424297; 20.00
425356; 23.00
426413; 23.00
427471; 21.00
428527; 20.00
429583; 21.00
430642; 21.00
431702; 21.00
432758; 21.00
433816; 19.00
434875; 23.00
435930; 21.00
436987; 24.00
438043; 25.00
439099; 29.00
440156; 27.00
441216; 24.00
442271; 29.00
443330; 20.00
444386; 27.00
445444; 26.00
446501; 19.00
447555; 18.00
448611; 17.00
449668; 18.00
450726; 23.00
451783; 25.00
452841; 22.00
453898; 26.00
454955; 26.00
456011; 20.00
457067; 21.00
458125; 20.00
459180; 21.00
460236; 21.00
461296; 20.00
462353; 22.00
463410; 25.00
464465; 24.00
465519; 22.00
466575; 25.00
467637; 23.00
468693; 28.00
469749; 27.00
470805; 24.00
471860; 19.00
472919; 25.00
473978; 21.00
475036; 21.00
476095; 21.00
477153; 18.00
478211; 22.00
479265; 21.00
480322; 22.00
481381; 20.00
482437; 21.00
483494; 21.00
484555; 21.00
485611; 20.00
486670; 20.00
487728; 25.00
488786; 23.00
489843; 24.00
490901; 25.00
491957; 25.00
493014; 28.00
494071; 41.00
495124; 53.00
496177; 53.00
497229; 52.00
498282; 54.00
499334; 54.00
500390; 54.00
501441; 56.00
502494; 55.00
503548; 56.00
504601; 41.00
505656; 20.00
506713; 24.00
507769; 19.00
508826; 18.00
509883; 21.00
510941; 22.00
511998; 21.00
513056; 20.00
514113; 20.00
515170; 21.00
516228; 20.00
517286; 23.00
518344; 21.00
519401; 24.00
520457; 27.00
521514; 22.00
522571; 27.00
523626; 24.00
524683; 27.00
525739; 27.00
526797; 28.00
527853; 21.00
528911; 21.00
529969; 21.00
531028; 19.00
532085; 19.00
533141; 21.00
534197; 20.00
535255; 20.00
536314; 21.00
537369; 23.00
538425; 22.00
539480; 21.00
540534; 23.00
541589; 22.00
