Time_ms;Thor_WorkingSet_MB;Thor_Private_MB;Free_RAM_MB
2;114;114;10294
1031;211;211;10185
2053;246;246;10135
3075;302;302;10079
4098;327;327;10011
5118;313;313;10004
6140;433;433;9981
7162;505;505;9892
8182;376;376;10067
9205;434;434;9954
10227;468;468;9930
11248;431;431;9906
12269;482;482;9853
13291;493;493;9863
14312;510;510;9815
15334;510;510;9825
16356;672;672;9674
17377;707;707;9637
18399;749;749;9559
19421;771;771;9558
20442;797;797;9550
21464;842;842;9516
22485;882;882;9466
23506;840;840;9593
24527;919;919;9507
25548;950;950;9474
26570;1009;1009;9401
27593;946;946;9422
28613;1013;1013;9356
29635;871;871;9479
30657;880;880;9476
31677;868;868;9472
32697;879;879;9450
33718;909;909;9442
34739;941;941;9423
35759;925;925;9417
36780;1015;1015;9399
37803;972;972;9378
38825;905;905;9390
39845;900;900;9391
40867;883;883;9408
41887;934;934;9401
42909;907;907;9383
43930;921;921;9383
44952;918;918;9378
45972;909;909;9351
46992;932;932;9371
48014;944;944;9363
49036;898;898;9384
50056;895;895;9406
51076;946;946;9344
52098;902;902;9390
53119;949;949;9320
54140;882;882;9393
55162;937;937;9383
56183;898;898;9371
57204;908;908;9371
58227;900;900;9371
59248;960;960;9311
60270;896;896;9373
61291;912;912;9373
62313;899;899;9374
63334;903;903;9374
64356;907;907;9377
65376;907;907;9386
66396;892;892;9390
67416;900;900;9393
68436;901;901;9395
69457;892;892;9398
70476;863;863;9429
71494;861;861;9426
72513;835;835;9458
73531;821;821;9470
74549;761;761;9523
75568;761;761;9527
76586;769;769;9509
77604;735;735;9525
78624;735;735;9524
79643;701;701;9555
80662;701;701;9557
81679;701;701;9564
82699;701;701;9563
83717;708;708;9560
84738;708;708;9558
85759;708;708;9557
86781;708;708;9536
87802;708;708;9533
88823;708;708;9532
89845;708;708;9513
90867;708;708;9520
91888;708;708;9512
92909;708;708;9510
93930;708;708;9513
94950;708;708;9511
95972;708;708;9515
96993;708;708;9519
98015;708;708;9512
99036;708;708;9505
100058;708;708;9507
101081;708;708;9507
102102;708;708;9508
103124;708;708;9507
104146;708;708;9508
105166;764;764;9459
106186;780;780;9460
107207;915;915;9370
108227;964;964;9315
109247;1061;1061;9234
110268;1176;1176;9148
111287;1201;1201;9121
112307;1250;1250;9072
113326;1287;1287;9016
114346;1318;1318;8989
115366;1345;1345;8963
116385;1393;1393;8917
117408;1437;1437;8870
118428;1485;1485;8827
119452;1582;1582;8748
120482;1613;1613;8720
121506;1724;1724;8718
122526;1772;1772;8700
123548;1946;1946;8666
124570;1862;1862;8601
125592;2114;2114;8586
126614;2020;2020;8559
127635;2083;2083;8515
128655;2018;2018;8497
129677;2028;2028;8490
130698;1988;1988;8487
131721;2026;2026;8481
132743;2061;2061;8477
133765;2083;2083;8477
134786;1917;1917;8478
135806;1943;1943;8484
136828;1985;1985;8470
137848;1918;1918;8422
138871;2087;2087;8333
139900;2089;2089;8361
140921;2249;2249;8347
141943;2124;2124;8348
142963;2137;2137;8362
143983;2001;2001;8332
145004;2001;2001;8328
146025;2007;2007;8331
147046;2000;2000;8328
148068;1950;1950;8357
149089;1958;1958;8356
150112;1958;1958;8356
