Time;CPU
1063; 34.00
2127; 21.00
3187; 19.00
4245; 19.00
5301; 21.00
6363; 31.00
7430; 28.00
8493; 41.00
9553; 27.00
10613; 18.00
11671; 17.00
12731; 16.00
13791; 18.00
14853; 19.00
15917; 22.00
16977; 17.00
18036; 18.00
19096; 19.00
20160; 18.00
21221; 17.00
22282; 17.00
23344; 17.00
24403; 17.00
25463; 17.00
26524; 17.00
27585; 17.00
28646; 17.00
29708; 17.00
30767; 17.00
31827; 17.00
32885; 18.00
33943; 17.00
35000; 18.00
36058; 17.00
37118; 17.00
38180; 17.00
39240; 17.00
40301; 17.00
41360; 17.00
42421; 19.00
43483; 17.00
44545; 17.00
45605; 17.00
46666; 17.00
47725; 17.00
48785; 17.00
49846; 17.00
50906; 17.00
51966; 17.00
53027; 17.00
54085; 17.00
55147; 17.00
56209; 17.00
57269; 17.00
58331; 17.00
59392; 17.00
60453; 17.00
61513; 17.00
62571; 17.00
63634; 17.00
64695; 17.00
65755; 17.00
66813; 17.00
67871; 17.00
68933; 17.00
69991; 17.00
71050; 17.00
72110; 16.00
73171; 17.00
74230; 16.00
75289; 17.00
76350; 17.00
77412; 17.00
78472; 17.00
79532; 17.00
80590; 17.00
81651; 16.00
82711; 16.00
83771; 17.00
84829; 16.00
85888; 17.00
86949; 17.00
88010; 17.00
89070; 17.00
90131; 17.00
91191; 18.00
92251; 17.00
93311; 17.00
94371; 17.00
95431; 23.00
96489; 27.00
97552; 29.00
98616; 34.00
99682; 22.00
100741; 23.00
101800; 22.00
102860; 17.00
103916; 16.00
104976; 16.00
106034; 16.00
107094; 16.00
108151; 21.00
109209; 17.00
110265; 23.00
111324; 22.00
112383; 23.00
113442; 19.00
114500; 21.00
115557; 39.00
116620; 47.00
117692; 47.00
118753; 43.00
119815; 50.00
120881; 49.00
121942; 25.00
123000; 21.00
124058; 29.00
125117; 39.00
126175; 31.00
127235; 28.00
128293; 16.00
129352; 16.00
130411; 30.00
131471; 38.00
132529; 48.00
133588; 53.00
134650; 46.00
135715; 37.00
136777; 30.00
137837; 31.00
138899; 38.00
139967; 41.00
141027; 35.00
142090; 33.00
143152; 34.00
144212; 31.00
145277; 34.00
146339; 33.00
147401; 34.00
148462; 35.00
149522; 43.00
150580; 33.00
151642; 35.00
152704; 30.00
153762; 38.00
154828; 43.00
155890; 36.00
156952; 48.00
158011; 32.00
159070; 31.00
160128; 45.00
161186; 50.00
162245; 34.00
163303; 43.00
164362; 34.00
165422; 34.00
166487; 32.00
167548; 36.00
168608; 30.00
169668; 38.00
170728; 32.00
171789; 32.00
172847; 34.00
173908; 39.00
174967; 44.00
176026; 32.00
177086; 36.00
178146; 42.00
179203; 51.00
180262; 37.00
181321; 37.00
182378; 43.00
183435; 35.00
184494; 31.00
185553; 33.00
186614; 36.00
187672; 39.00
188732; 33.00
189794; 40.00
