hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",3414491,2099869,3763170699200,1102117,0,197263104300,299681849592300,87767649,0,316365961700
"scan with file YARA rules",55739,0,1125294270700,20188634,0,10816864500,85540740827000,1534665868,0,275584374700
"scan with meta YARA rules",95822,0,520364182800,5430529,0,10827226400,156488799906500,1633119741,0,275584374700
"scan object with YARA",109270,0,252587181800,2311587,0,5750915100,549276792040200,5026784955,0,156463492100
"scan with process YARA rules",119,0,212952558100,1789517294,0,16291091500,4098979602200,34445206741,0,90873081400
"parse CAB archive",26,0,132631388800,5101207261,523700,99855559700,42960947100,1652344119,0,36261187700
"apply Sigma rules",2920210,0,80081491100,27423,0,22857900,4082933242608900,1398164256,0,275584374700
"parse Shim database",21,0,58664208200,2793533723,0,19105323100,187615591500,8934075785,0,69745110400
"parse registry hive",383,0,52706649600,137615273,0,20087343000,1705287210500,4452447024,0,119417377400
"parse file content",55739,0,51079507900,916405,0,1088960100,85540740827000,1534665868,0,275584374700
"parse log file",201,0,50635429500,251917559,0,17378007300,642522959100,3196631637,0,78218544000
"parse ETL file",234,0,41347721100,176699662,6868000,19045456900,1749296744500,7475627113,0,119207529000
"scan process for malicious indicators",119,0,39195945000,329377689,1063800,15423615600,4098979602200,34445206741,0,90873081400
"parse GZIP archive",6632,0,38331571200,5779790,0,285577100,7871438819700,1186887638,0,156183930000
"parse ZIP archive",312,0,36823440600,118023848,0,14955950100,163229599400,523171792,0,25936792100
"scan object's command line with YARA",119,0,35586454500,299045836,0,10579140600,4098979602200,34445206741,0,90873081400
"parse SHIM cache",2,0,30371267400,15185633700,9785564200,20585703200,0,0,0,0
"schedule scan for executed file",884,0,26381160900,29842942,0,4915869800,3784356304400,4280946045,0,14111915400
"check file excludes",24782,0,21768226400,878388,0,7428933700,10453150685000,421804159,0,156463492100
"parse Amcache",4,0,15121488400,3780372100,0,15121488400,98516500,24629125,12367400,43451900
"parsing Chrome history",5,0,14514451400,2902890280,15712700,14410726600,237756600,47551320,0,121708800
"check file existence",107715,0,13866592900,128734,0,122834400,169701534038200,1575467985,0,275584374700
"parse CHM file",23,0,13328353300,579493621,138371300,1801025800,44056976000,1915520695,0,25944651500
"apply handle IOCs",6381,0,10051775900,1575266,0,2324689300,9787894461000,1533912311,0,59585793200
"add meta information",21098,0,7325427700,347209,0,1050934100,8626980344400,408900386,0,156463492100
"check if file was already scanned",106537,0,6821946000,64033,0,6211000,169106931680800,1587307054,0,275584374700
"scan SHIM cache entry for executed file",884,0,6602304100,7468669,0,4063538700,3784356304400,4280946045,0,14111915400
"scan entry",726,0,5645542000,7776228,0,919897100,1185267810800,1632600290,43451900,18167787400
"check process excludes",133,0,5344855400,40186882,0,1742013600,4305559011300,32372624145,0,90873081400
"analyze prefetch file",343,0,5050306900,14723926,0,1604105000,2829553570800,8249427320,0,85067037800
"parse RAR archive",15,0,2961844400,197456293,0,1881776700,303395171100,20226344740,0,128721389300
"parse PowerShell module cache",1,0,2181067900,2181067900,2181067900,2181067900,317695700,317695700,317695700,317695700
"parse OLE format",22,0,2074711200,94305054,534800,934593000,202684358300,9212925377,0,181521033100
"check with STIX IOCs",1150041,0,1782904400,1550,0,2542600,1000456880265600,869931489,0,275584374700
"extract process handles",119,0,1770563400,14878684,6570000,182437000,4098979602200,34445206741,0,90873081400
"check if object should be logged",2920210,0,1378082000,471,0,4315200,4082933242608900,1398164256,0,275584374700
"enrich finding with file information",336,0,1265836100,3767369,0,204261600,180696320900,537786669,0,69745110400
"log object",73759,0,1195302200,16205,0,19108500,143553812272800,1946254860,0,275584374700
"apply false positive filters",2920210,0,1166063400,399,0,2560400,4082933242608900,1398164256,0,275584374700
"parse Atjobs file",237,0,999395100,4216856,0,81724300,1767575744900,7458125505,0,56970523400
"limit frequent matches",2920210,0,976482300,334,0,12733700,4082933242608900,1398164256,0,275584374700
"check for suspicious locations",885,0,879611800,993911,0,269800200,3784356304400,4276108818,0,14111915400
"parse ESE database",8,0,546512900,68314112,0,442707800,40508060200,5063507525,0,35251989200
"apply hash IOCs",55739,0,511688700,9180,0,2514600,85540740827000,1534665868,0,275584374700
"scan scheduled task image",180,0,498928200,2771823,0,177377500,51502053400,286122518,0,626633400
"check size",1094302,0,480902300,439,0,12080700,914916139438600,836072802,0,101382848200
"search for Cobalt Strike beacons",81168,0,435947800,5370,0,2512900,134525205390000,1657367501,0,275584374700
"store time information about deep scan",55739,0,403656400,7241,0,2524300,85540740827000,1534665868,0,275584374700
"parse SRUM database",1,0,304254800,304254800,304254800,304254800,35251989200,35251989200,35251989200,35251989200
"deduplicate reasons",95822,0,300667600,3137,0,2545200,156488799906500,1633119741,0,275584374700
"check for suspicious event ID",297509,0,249534200,838,0,2526500,2033676500403900,6835680602,0,196512986900
"check if deep scan is needed",95822,0,177421500,1851,0,2082400,156488799906500,1633119741,0,275584374700
"parse jumplist file",11,0,119115000,10828636,0,109629500,11733500400,1066681854,0,10244127800
"parse WMI persistence file",1,0,104975900,104975900,104975900,104975900,0,0,0,0
"extract process environment variables",119,0,95827200,805270,0,22847900,4098979602200,34445206741,0,90873081400
"check if maximum file size is exceeded",95822,0,71642200,747,0,2511200,156488799906500,1633119741,0,275584374700
"parse LNK format",184,0,69953900,380184,0,42264700,763954821800,4151928379,0,79378980200
"truncate long values",2477,0,65959200,26628,0,2508300,8150402648600,3290433043,0,90873081400
"log found WER report",12,0,62676900,5223075,524100,14870300,2449343000,204111916,0,714051800
"fill in interesting content",95822,0,53894200,562,0,2045400,156488799906500,1633119741,0,275584374700
"log file",95822,0,31562400,329,0,2540400,156488799906500,1633119741,0,275584374700
"check for webserver directory",6381,0,29732600,4659,0,2506900,9787894461000,1533912311,0,59585793200
"compare cache to last scan",2,0,15055500,7527750,6764700,8290800,0,0,0,0
"scan with pipe IOCs",41,0,14335400,349643,0,1063600,580092900,14148607,0,25341600
"compare to ThorDB",1,0,14309800,14309800,14309800,14309800,0,0,0,0
"WER",12,0,10832200,902683,0,5810400,2449343000,204111916,0,714051800
"initialize process memory reader",119,0,8161800,68586,0,2033700,4098979602200,34445206741,0,90873081400
"parse EVTX file",179,0,7720600,43131,0,3391500,828709827900,4629663843,0,23199996300
"retrieve interesting process memory",119,0,6733700,56585,0,2008700,4098979602200,34445206741,0,90873081400
"check service permissions",688,0,5564900,8088,0,2011700,1926106400,2799573,0,210832500
"check for C2 IOCs",33,0,5254200,159218,0,2007200,2580573400,78199193,0,1113141000
"analyze process connection",119,0,3170500,26642,0,548200,4098979602200,34445206741,0,90873081400
"scan network share metadata",3,0,2128600,709533,522000,1064300,0,0,0,0
"check for known suspicious indicators",5,0,2104800,420960,0,526200,2113400,422680,0,2113400
"check for service overlap",683,0,1057500,1548,0,532600,68816406800,100756086,0,2699048900
"truncate unimportant process memory sections",110,0,1032000,9381,0,516900,3962450698900,36022279080,0,90873081400
"check for golden ticket",1,0,522800,522800,522800,522800,0,0,0,0
"check for suspicious user",1,0,0,0,0,0,0,0,0,0
"check for port 0",15,0,0,0,0,0,2323282800,154885520,0,1113141000
"check permissions on file",1,0,0,0,0,0,0,0,0,0
"scan started image",9,0,0,0,0,0,886535000,98503888,77882700,116691000
"check for known malicious patterns",1,0,0,0,0,0,91949100,91949100,91949100,91949100
"check for network pipes",15,0,0,0,0,0,2323282800,154885520,0,1113141000
"log md5 to csv",7,0,0,0,0,0,1129157700,161308242,0,1019075500
"check for empty SHIM cache",2,0,0,0,0,0,0,0,0,0
"check for unusual last logon",5,0,0,0,0,0,2113400,422680,0,2113400
"check if profile is recent",3,0,0,0,0,0,0,0,0,0
"parse Microsoft Defender Protection log",9,0,0,0,0,0,601833600,66870400,0,75229200
