hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",1273544,693648,1412553065716,1109151,0,21279511153,540385308658572,424316167,0,5569718498
"scan with file YARA rules",105882,0,498513599307,4708199,1394571,4914744338,192427243942374,1817374472,9729,5569718498
"scan with meta YARA rules",249151,0,226000268726,907081,102947,4910234702,418204949391747,1678520051,9729,5569718498
"scan object with YARA",50203,0,143895822118,2866279,366069,4614743085,102831848181761,2048320781,3928,5552512504
"scan with process YARA rules",68,0,69824973586,1026837846,38449555,4631530802,23935685197,351995370,17945,2585585323
"parse log file",135,0,62038437566,459543981,1442,5191576857,284791236471,2109564714,11913,5093501698
"apply Sigma rules",994909,0,60992345453,61304,7074,48571992,2221626950913198,2232995129,1352,5569718498
"schedule scan for symlink target",59507,0,56290878634,945953,6984,7694789044,91488360292717,1537438625,11913,5524713043
"compare to ThorDB",156,0,51527085472,330301829,47045238,368179280,368967333087,2365175212,10199,4957985736
"parse GZIP archive",10164,0,47271996303,4650924,48624,5488056430,20939726887340,2060185644,11913,5552512504
"parse ZIP archive",190,0,26044848173,137078148,211804,8996860112,324561051793,1708216062,11913,5010479874
"check file excludes",90361,0,25953815422,287223,120,728058479,167181279886594,1850148624,9729,5552512504
"parse file content",105882,0,16111544326,152165,1603,667832197,192427243942374,1817374472,9729,5569718498
"add meta information",45842,0,9221466962,201157,2284,2403919885,100719607687982,2197103260,9729,5552512504
"check process excludes",207,0,6249049445,30188644,210,2422905265,33141446036,160103604,12445,2585585323
"scan object's command line with YARA",68,0,4610270698,67798098,861914,2400071750,23935685197,351995370,17945,2585585323
"parse journald format",5,0,4490355121,898071024,51384248,3655156524,5612161925,1122432385,11913,2114265057
"check file existence",308990,0,2450105677,7929,120,6028724,506049580947016,1637753910,9729,5569718498
"check if file was already scanned",308857,0,2089590759,6765,100,31323627,505673178856407,1637240466,9729,5569718498
"check with STIX IOCs",105882,0,1506289877,14226,641,4594036,192427243942374,1817374472,9729,5569718498
"scan process for malicious indicators",68,0,1166108124,17148648,70424,772208643,23935685197,351995370,17945,2585585323
"check if object should be logged",994909,0,825378165,829,201,3585312,2221626950913198,2232995129,1352,5569718498
"apply hash IOCs",105882,0,784926967,7413,2454,5513100,192427243942374,1817374472,9729,5569718498
"search for Cobalt Strike beacons",179867,0,760133460,4226,721,3975979,309909912465177,1722994837,9729,5569718498
"store time information about deep scan",105882,0,669495194,6323,631,16793837,192427243942374,1817374472,9729,5569718498
"apply false positive filters",994909,0,548666948,551,191,3067814,2221626950913198,2232995129,1352,5569718498
"deduplicate reasons",249151,0,512414309,2056,121,12994338,418204949391747,1678520051,9729,5569718498
"limit frequent matches",994909,0,509304680,511,140,6033774,2221626950913198,2232995129,1352,5569718498
"check if deep scan is needed",249151,0,385655856,1547,160,8732915,418204949391747,1678520051,9729,5569718498
"log object",502,0,360951575,719027,1202,6957567,491022065800,978131605,9768,4957985736
"check if maximum file size is exceeded",249151,0,173747436,697,120,3378147,418204949391747,1678520051,9729,5569718498
"fill in interesting content",249151,0,138182905,554,160,3342108,418204949391747,1678520051,9729,5569718498
"log file",249151,0,79496552,319,109,2176683,418204949391747,1678520051,9729,5569718498
"extract process handles",68,0,40510396,595741,215973,9742342,23935685197,351995370,17945,2585585323
"parse authorized_keys format",1,0,22906904,22906904,22906904,22906904,1444185349,1444185349,1444185349,1444185349
"parsing Firefox history",1,0,22706842,22706842,22706842,22706842,670964344,670964344,670964344,670964344
"enrich finding with file information",45,0,17439239,387538,14379,3656698,70490494999,1566455444,9768,3907802527
"parse TARGZ archive",1,0,16952591,16952591,16952591,16952591,2398583991,2398583991,2398583991,2398583991
"extract process environment variables",68,0,16611449,244286,118557,421965,23935685197,351995370,17945,2585585323
"initialize process memory reader",68,0,14968439,220124,89330,2925743,23935685197,351995370,17945,2585585323
"parse TAR archive",1,0,10045440,10045440,10045440,10045440,662414750,662414750,662414750,662414750
"parse OLE format",14,0,9856417,704029,55105,4271140,21949451300,1567817950,11913,2477533766
"truncate long values",502,0,9645220,19213,611,1981902,491022065800,978131605,9768,4957985736
"schedule scan for executable",156,0,3995195,25610,13606,48882,368967333087,2365175212,10199,4957985736
"log md5 to csv",38,0,3063287,80612,140,2103755,56703991520,1492210303,11913,3662566432
"unpack UPX",3,0,2332973,777657,533138,1237954,3555936869,1185312289,933039682,1331523423
"truncate unimportant process memory sections",68,0,2020351,29711,4199,737018,23935685197,351995370,17945,2585585323
"scan eBPF program with file YARA rules",1,0,2008542,2008542,2008542,2008542,27974,27974,27974,27974
"check for C2 IOCs",8,0,1784195,223024,49776,519841,6930806235,866350779,4568,2544066420
"retrieve interesting process memory",68,0,1489934,21910,4539,97035,23935685197,351995370,17945,2585585323
"analyze process connection",68,0,1280391,18829,1323,551543,23935685197,351995370,17945,2585585323
"check for known evil services",156,0,258273,1655,1012,5159,368967333087,2365175212,10199,4957985736
"check file mode",156,0,253821,1627,841,4328,368967333087,2365175212,10199,4957985736
"parse system crontab",3,0,143664,47888,17394,72948,3586798901,1195599633,702724643,1794149387
"parse mail",5,0,113155,22631,13074,36780,12912172619,2582434523,496816362,4276980841
"scan dependent files",35,0,24051,687,140,2175,38749487,1107128,9898,3632512
"check if profile is recent",1,0,18135,18135,18135,18135,9768,9768,9768,9768
"check for port 0",6,0,14088,2348,1153,3376,1843163140,307193856,4568,838326347
"check for network pipes",6,0,4990,831,420,1012,1843163140,307193856,4568,838326347
