Time;CPU
1089; 32.00
2148; 21.00
3206; 20.00
4264; 20.00
5320; 25.00
6375; 30.00
7435; 33.00
8499; 37.00
9557; 23.00
10613; 17.00
11670; 17.00
12725; 16.00
13782; 18.00
14841; 22.00
15900; 19.00
16957; 17.00
18016; 18.00
19074; 18.00
20133; 17.00
21192; 17.00
22249; 17.00
23308; 17.00
24365; 17.00
25422; 17.00
26477; 17.00
27532; 17.00
28588; 17.00
29645; 17.00
30703; 17.00
31761; 17.00
32819; 18.00
33879; 18.00
34938; 17.00
35997; 17.00
37057; 17.00
38117; 17.00
39176; 17.00
40236; 17.00
41297; 17.00
42356; 17.00
43416; 18.00
44475; 17.00
45534; 17.00
46592; 17.00
47650; 17.00
48709; 17.00
49767; 17.00
50825; 17.00
51885; 17.00
52944; 16.00
54003; 17.00
55062; 17.00
56120; 17.00
57179; 17.00
58238; 17.00
59297; 17.00
60355; 17.00
61415; 16.00
62473; 17.00
63533; 17.00
64594; 17.00
65654; 17.00
66714; 17.00
67772; 17.00
68831; 17.00
69891; 17.00
70948; 17.00
72006; 16.00
73064; 16.00
74122; 16.00
75181; 17.00
76240; 16.00
77300; 16.00
78360; 17.00
79420; 17.00
80482; 16.00
81541; 16.00
82601; 16.00
83661; 16.00
84722; 16.00
85782; 17.00
86841; 16.00
87902; 17.00
88961; 16.00
90020; 17.00
91081; 16.00
92140; 17.00
93197; 16.00
94256; 22.00
95314; 24.00
96371; 26.00
97435; 26.00
98494; 33.00
99558; 29.00
100619; 19.00
101676; 17.00
102734; 17.00
103791; 16.00
104849; 16.00
105906; 16.00
106960; 21.00
108012; 17.00
109068; 22.00
110126; 23.00
111181; 23.00
112238; 19.00
113295; 21.00
114354; 58.00
115413; 84.00
116480; 71.00
117538; 55.00
118602; 32.00
119659; 20.00
120715; 30.00
121771; 40.00
122830; 31.00
123887; 42.00
124945; 66.00
126011; 53.00
127072; 68.00
128130; 48.00
129191; 46.00
130248; 59.00
131312; 75.00
132373; 79.00
133434; 87.00
134496; 91.00
135557; 89.00
136621; 84.00
137684; 82.00
138751; 93.00
139818; 90.00
140885; 85.00
141955; 77.00
143021; 94.00
144082; 89.00
145143; 90.00
146206; 85.00
147269; 82.00
148332; 79.00
149427; 84.00
150492; 89.00
151553; 90.00
152615; 97.00
153677; 85.00
154740; 87.00
155805; 72.00
156866; 84.00
157929; 85.00
158995; 83.00
160056; 74.00
161117; 85.00
162177; 93.00
163252; 92.00
164327; 86.00
165389; 83.00
166451; 95.00
167513; 94.00
168578; 93.00
169656; 102.00
170757; 49.00
171815; 40.00
172875; 22.00
173932; 30.00
