Time;CPU
1058; 17.00
2113; 26.00
3170; 25.00
4227; 36.00
5282; 26.00
6337; 16.00
7391; 15.00
8444; 15.00
9498; 17.00
10557; 20.00
11610; 15.00
12663; 18.00
13714; 19.00
14768; 19.00
15823; 17.00
16879; 25.00
17935; 26.00
18991; 27.00
20050; 32.00
21106; 19.00
22160; 24.00
23218; 20.00
24273; 14.00
25327; 14.00
26384; 15.00
27440; 16.00
28497; 17.00
29551; 16.00
30604; 30.00
31658; 38.00
32713; 35.00
33769; 29.00
34824; 31.00
35878; 36.00
36932; 33.00
37988; 28.00
39041; 31.00
40096; 35.00
41149; 29.00
42203; 28.00
43257; 35.00
44313; 32.00
45369; 29.00
46423; 29.00
47480; 29.00
48536; 40.00
49592; 29.00
50646; 30.00
51702; 29.00
52758; 32.00
53812; 37.00
54867; 36.00
55923; 43.00
56978; 40.00
58032; 40.00
59084; 59.00
60148; 18.00
61202; 9.00
62255; 9.00
63309; 9.00
64362; 9.00
65417; 30.00
66472; 56.00
67525; 59.00
68578; 60.00
69629; 54.00
70682; 64.00
71735; 62.00
72793; 63.00
73846; 62.00
74900; 66.00
75952; 58.00
77006; 58.00
78058; 43.00
79110; 42.00
80163; 38.00
81219; 17.00
82274; 20.00
83330; 21.00
84385; 19.00
85440; 19.00
86494; 22.00
87547; 23.00
88603; 23.00
89658; 23.00
90713; 20.00
91769; 21.00
92827; 20.00
93882; 19.00
94937; 19.00
95993; 20.00
97047; 19.00
98103; 20.00
99158; 19.00
100214; 18.00
101269; 20.00
102324; 19.00
103377; 30.00
104431; 16.00
105485; 85.00
106542; 78.00
107596; 99.00
108651; 99.00
109706; 99.00
110762; 99.00
111818; 99.00
112874; 99.00
113929; 98.00
114985; 99.00
116042; 97.00
117101; 92.00
118183; 64.00
119253; 71.00
120329; 54.00
121385; 29.00
122441; 36.00
123501; 53.00
124563; 66.00
125630; 69.00
126686; 43.00
127745; 63.00
128809; 71.00
129872; 73.00
130939; 54.00
132003; 50.00
133061; 63.00
134120; 62.00
135180; 62.00
136246; 80.00
137309; 88.00
138378; 87.00
139439; 82.00
140517; 78.00
141588; 76.00
142660; 78.00
143731; 80.00
144798; 76.00
145869; 77.00
146938; 78.00
148019; 76.00
149095; 77.00
150169; 79.00
151239; 77.00
152311; 77.00
153380; 77.00
154457; 76.00
155528; 82.00
156599; 77.00
157671; 73.00
158742; 80.00
159822; 83.00
160885; 79.00
161966; 79.00
163032; 66.00
164098; 67.00
165155; 57.00
166212; 50.00
167266; 57.00
168338; 75.00
169398; 48.00
170458; 36.00
171514; 54.00
172574; 70.00
173632; 59.00
174696; 57.00
175758; 56.00
176820; 69.00
177890; 71.00
178955; 63.00
180018; 67.00
181074; 67.00
182139; 89.00
183217; 85.00
184285; 91.00
185352; 75.00
186424; 72.00
187490; 92.00
188559; 92.00
189633; 83.00
190702; 79.00
191778; 79.00
192851; 82.00
193933; 78.00
195006; 78.00
196078; 76.00
197147; 79.00
198215; 83.00
199286; 79.00
200356; 73.00
201445; 66.00
202518; 71.00
203593; 64.00
204663; 76.00
205740; 70.00
206808; 71.00
207876; 81.00
208940; 71.00
210001; 65.00
211059; 66.00
212127; 72.00
213190; 46.00
214245; 29.00
215302; 51.00
216368; 59.00
217427; 64.00
218495; 70.00
219565; 65.00
220631; 72.00
221701; 70.00
222766; 89.00
223829; 90.00
224896; 83.00
225963; 83.00
227030; 82.00
228098; 83.00
229181; 79.00
230250; 80.00
231322; 80.00
232391; 82.00
233462; 79.00
234537; 84.00
235601; 74.00
236672; 79.00
237762; 78.00
238829; 77.00
239901; 67.00
240968; 61.00
242027; 46.00
243089; 76.00
244164; 64.00
245225; 64.00
246289; 58.00
247350; 65.00
248423; 78.00
249486; 90.00
250545; 87.00
251608; 92.00
252682; 84.00
253753; 85.00
254821; 80.00
255895; 82.00
256967; 81.00
258039; 79.00
259112; 83.00
260187; 82.00
261253; 77.00
262323; 77.00
263392; 82.00
264467; 76.00
265533; 38.00
266586; 7.00
Overall; 56.00
