hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",3414588,2577209,3842634612800,1125358,0,206230739000,1608400544307200,471037953,0,53212802600
"scan with file YARA rules",55743,0,1140649092100,20462642,0,11775020800,571018509818300,10243770694,0,52157698200
"scan with meta YARA rules",95828,0,477692398400,4984893,0,11731145900,860170757196000,8976194402,0,52157698200
"scan object with YARA",107958,0,313999531000,2908534,0,10463871500,732626822292800,6786220773,0,53212802600
"scan with process YARA rules",119,0,217887041700,1830983543,0,15911005000,2059553902900,17307175654,0,52870441800
"parse CAB archive",26,0,149512145400,5750467130,0,101349793300,280938529600,10805328061,0,36141342400
"parse Shim database",21,0,92999368200,4428541342,0,35567517900,138641978000,6601998952,0,12835724800
"apply Sigma rules",2920313,0,80071938700,27418,0,43176200,13234009621901700,4531709314,0,53212802600
"parse registry hive",383,0,62703554400,163716852,0,25734508900,2048920856200,5349662809,0,35763675900
"parse GZIP archive",6632,0,56327893400,8493349,0,2044717200,85833896480600,12942384873,0,37885998200
"parse file content",55743,0,50542221400,906700,0,1242023100,571018509818300,10243770694,0,52157698200
"parse log file",204,0,49277558600,241556659,0,17049264700,1053365779800,5163557744,0,36623103000
"parse ETL file",234,0,47944894500,204892711,4192000,21708562000,1357211391800,5800048682,0,36136097500
"extract process handles",119,0,38161764800,320687099,7638000,10883679000,2059553902900,17307175654,0,52870441800
"parse SHIM cache",2,0,29706645800,14853322900,11857058200,17849587600,94950500,47475250,0,94950500
"schedule scan for executed file",884,0,29077325900,32892902,0,6766595400,1824478553200,2063889766,0,7358587700
"parse ZIP archive",312,0,28974488500,92866950,0,7051321100,1854905719400,5945210639,0,38539226700
"scan process for malicious indicators",119,0,27561068400,231605616,1030000,6974306800,2059553902900,17307175654,0,52870441800
"apply handle IOCs",6415,0,23012079300,3587229,0,10810771800,140036591201600,21829554357,0,53196238000
"parse CHM file",23,0,22941388200,997451660,25678400,4837744500,162319408200,7057365573,94950500,15522575500
"parse Amcache",4,0,18096695200,4524173800,0,18096695200,33760904000,8440226000,0,21707026400
"extract process environment variables",119,0,17616728100,148039731,0,4208765200,2059553902900,17307175654,0,52870441800
"check file excludes",24782,0,14646362200,591008,0,5393541100,181313419215500,7316335211,0,53212802600
"parsing Chrome history",5,0,14641589800,2928317960,10261300,14548805800,31496715300,6299343060,178792700,14344654000
"check file existence",107715,0,12072256900,112075,0,26800200,937954949776900,8707746829,0,53212802600
"parse RAR archive",15,0,11723207700,781547180,0,6640812900,151602091000,10106806066,0,36111554000
"parse OLE format",22,0,8622640700,391938213,1014600,7799183000,140058152200,6366279645,0,20538023800
"scan object's command line with YARA",119,0,8061612900,67744646,516100,1353462300,2059553902900,17307175654,0,52870441800
"check if file was already scanned",106540,0,6766087500,63507,0,3716900,934135420025600,8767931481,0,53212802600
"add meta information",21049,0,6577791700,312499,0,837904400,160732457364600,7636108953,0,52157698200
"analyze prefetch file",343,0,6533385500,19047771,0,1986565000,3360435344500,9797187593,0,22481931600
"scan entry",726,0,3645769300,5021720,0,1025898500,7310023953800,10068903517,0,24008182500
"check process excludes",133,0,2158692700,16230772,0,1254204100,2402968072800,18067429118,0,52870441800
"enrich finding with file information",335,0,2065262000,6164961,0,284113300,624538382800,1864293680,0,31800670500
"parse PowerShell module cache",1,0,1798260000,1798260000,1798260000,1798260000,2417747400,2417747400,2417747400,2417747400
"check with STIX IOCs",1149955,0,1687101800,1467,0,4805100,7953785354384100,6916605740,0,52157698200
"check if object should be logged",2920313,0,1562118100,534,0,5566400,13234009621901700,4531709314,0,53212802600
"parse Atjobs file",237,0,1173750200,4952532,0,75296400,2813224360300,11870144980,0,27666760100
