Time_ms;Thor_WorkingSet_MB;Thor_Private_MB;Free_RAM_MB
1;112;112;10296
1030;206;206;10174
2051;241;241;10109
3077;294;294;10057
4098;319;319;10018
5127;318;318;9998
6148;433;433;9867
7170;501;501;9895
8190;418;418;9974
9210;445;445;9937
10231;498;498;9880
11252;459;459;9859
12272;476;476;9813
13293;489;489;9818
14314;505;505;9797
15335;521;521;9778
16356;692;692;9637
17377;730;730;9602
18398;759;759;9561
19421;779;779;9541
20443;802;802;9520
21463;865;865;9470
22485;860;860;9442
23506;963;963;9449
24551;1039;1039;9369
25572;1074;1074;9332
26593;1125;1125;9269
27613;1042;1042;9310
28634;1077;1077;9267
29655;810;810;9505
30675;820;820;9505
31696;786;786;9526
32717;798;798;9520
33738;797;797;9521
34759;808;808;9513
35780;826;826;9509
36802;817;817;9505
37822;816;816;9481
38843;880;880;9483
39863;828;828;9472
40883;828;828;9467
41905;829;829;9462
42926;826;826;9465
43947;891;891;9416
44967;832;832;9468
45988;880;880;9419
47010;850;850;9464
48031;879;879;9456
49052;867;867;9444
50074;874;874;9439
51095;887;887;9436
52119;946;946;9442
53140;896;896;9428
54170;891;891;9419
55191;927;927;9431
56212;905;905;9426
57232;887;887;9417
58253;869;869;9439
59273;880;880;9429
60294;881;881;9420
61314;861;861;9436
62334;893;893;9436
63355;877;877;9422
64375;900;900;9420
65396;889;889;9420
66417;905;905;9417
67438;889;889;9417
68458;949;949;9362
69478;877;877;9433
70499;906;906;9425
71521;919;919;9385
72542;899;899;9425
73562;898;898;9420
74582;906;906;9412
75603;923;923;9420
76624;892;892;9423
77644;872;872;9436
78664;856;856;9443
79685;855;855;9446
80706;846;846;9460
81726;853;853;9459
82747;884;884;9455
83767;860;860;9452
84788;888;888;9448
85809;872;872;9444
86830;893;893;9441
87851;887;887;9433
88872;878;878;9439
89893;878;878;9442
90914;870;870;9448
91933;869;869;9449
92954;883;883;9447
93975;883;883;9448
94995;882;882;9449
96015;882;882;9448
97035;885;885;9444
98055;890;890;9437
99074;890;890;9436
100093;849;849;9450
101111;849;849;9446
102129;831;831;9459
103148;831;831;9453
104166;789;789;9486
105185;768;768;9503
106203;768;768;9496
107222;769;769;9497
108241;730;730;9509
109260;728;728;9518
110279;728;728;9517
111297;726;726;9521
112315;726;726;9521
113334;732;732;9508
114356;732;732;9510
115377;732;732;9496
116399;732;732;9497
117419;732;732;9505
118441;732;732;9484
119461;732;732;9487
120482;732;732;9485
121503;732;732;9483
122524;732;732;9486
123545;732;732;9480
124566;732;732;9473
125587;732;732;9480
126608;732;732;9474
127628;732;732;9493
128649;732;732;9487
129670;732;732;9484
130692;732;732;9491
131713;732;732;9487
132733;732;732;9485
133753;769;769;9453
134771;758;758;9471
135791;814;814;9433
136809;814;814;9435
137828;816;816;9440
138846;816;816;9443
139865;842;842;9415
140884;856;856;9424
141904;855;855;9431
142922;876;876;9455
143941;876;876;9454
144961;873;873;9438
145979;879;879;9432
146997;893;893;9420
148015;900;900;9417
149033;892;892;9416
150051;897;897;9411
151070;937;937;9376
152091;968;968;9352
153112;992;992;9333
154132;998;998;9337
155153;1004;1004;9331
156174;1005;1005;9328
157194;1125;1125;9281
158215;1180;1180;9280
159238;1254;1254;9245
160258;1192;1192;9242
161280;1238;1238;9241
162300;1158;1158;9173
163320;1244;1244;9067
164341;1341;1341;9059
165363;1389;1389;9058
166383;1438;1438;9049
167406;1357;1357;9047
168427;1452;1452;9042
169447;1500;1500;9039
170469;1534;1534;9038
171491;1394;1394;9036
172512;1437;1437;9035
173533;1497;1497;9017
174554;1405;1405;9016
175574;1442;1442;9016
176595;1320;1320;8996
177616;1226;1226;9034
178637;1234;1234;9034
179658;1242;1242;9032
180679;1253;1253;9032
181700;1238;1238;9058
182722;1253;1253;9054
183744;1269;1269;9042
184766;1283;1283;9018
185787;1284;1284;9017
186808;1254;1254;9024
187830;1206;1206;9072
188851;1201;1201;9079
189871;1201;1201;9081
190893;1201;1201;9082
191914;1203;1203;9079
192935;1203;1203;9078
193957;1201;1201;9089
194978;1334;1334;9017
196000;1383;1383;9013
197021;1447;1447;8964
198043;1490;1490;8962
199065;1549;1549;8936
200086;1491;1491;8939
201106;1539;1539;8929
202127;1376;1376;8918
203149;1483;1483;8932
204170;1533;1533;8926
205190;1359;1359;8931
206208;1380;1380;8927
207229;1376;1376;8926
208250;1386;1386;8915
209271;1387;1387;8914
210292;1388;1388;8913
211314;1388;1388;8913
212335;1388;1388;8912
213355;1389;1389;8911
214376;1402;1402;8900
215396;1408;1408;8899
216418;1434;1434;8898
217439;1426;1426;8897
218461;1394;1394;8895
219482;1434;1434;8859
220502;1442;1442;8867
221523;1453;1453;8857
222544;1222;1222;9052
223564;1226;1226;9051
224583;1218;1218;9065
225603;1221;1221;9061
226624;1221;1221;9061
227643;1221;1221;9061
228664;1150;1150;9111
229685;1141;1141;9127
230711;1149;1149;9119
231732;1149;1149;9119
232754;1119;1119;9158
233775;1119;1119;9158
234795;1119;1119;9157
235816;1119;1119;9157
236838;1119;1119;9157
237859;1119;1119;9157
238880;1120;1120;9157
239901;1120;1120;9155
240922;1120;1120;9156
241944;1120;1120;9156
242966;1117;1117;9162
243988;1116;1116;9166
245010;1116;1116;9165
246031;1116;1116;9165
247052;1120;1120;9165
248073;1120;1120;9165
249094;1120;1120;9165
250116;1120;1120;9170
251137;1120;1120;9171
252159;1120;1120;9171
253180;1120;1120;9171
254203;1120;1120;9171
255230;1120;1120;9172
256255;1120;1120;9172
257276;1120;1120;9172
258297;1122;1122;9177
259318;1130;1130;9177
260340;1131;1131;9179
261360;1132;1132;9178
262381;1132;1132;9178
263402;1130;1130;9178
264422;1130;1130;9177
265443;1130;1130;9176
266464;1130;1130;9176
267485;1130;1130;9176
268506;1130;1130;9175
269527;1130;1130;9175
270548;1133;1133;9167
271569;1131;1131;9167
272589;1133;1133;9171
273609;1137;1137;9169
274628;1129;1129;9174
275647;1139;1139;9163
276666;1135;1135;9162
277686;1136;1136;9162
278706;1141;1141;9160
279726;1137;1137;9161
280745;1153;1153;9149
281764;1160;1160;9141
282785;1163;1163;9141
283806;1163;1163;9140
284827;1174;1174;9139
285848;1173;1173;9139
286869;1166;1166;9138
287889;1164;1164;9138
288910;1177;1177;9138
289932;1160;1160;9138
290953;1169;1169;9134
291974;1177;1177;9133
292995;1168;1168;9134
294015;1177;1177;9134
295036;1175;1175;9129
296056;1172;1172;9129
297078;1173;1173;9129
298099;1180;1180;9125
299119;1176;1176;9125
300140;1178;1178;9124
301160;1175;1175;9124
302183;1207;1207;9124
303205;1174;1174;9124
304226;1175;1175;9124
305246;1174;1174;9123
306268;1200;1200;9123
307289;1157;1157;9147
308310;1161;1161;9142
309332;1163;1163;9141
310352;1169;1169;9135
311372;1174;1174;9131
312394;1165;1165;9132
313413;1169;1169;9132
314434;1170;1170;9132
315455;1169;1169;9132
316476;1170;1170;9132
317498;1170;1170;9131
318519;1170;1170;9131
319539;1170;1170;9130
320560;1129;1129;9160
321578;1121;1121;9173
322599;1142;1142;9163
323620;1182;1182;9114
324640;1177;1177;9114
325661;1178;1178;9114
326679;1179;1179;9114
327700;1266;1266;9031
328720;1304;1304;8966
329741;1317;1317;8967
330760;1326;1326;8948
331780;1277;1277;8982
332801;1261;1261;8977
333819;1242;1242;9004
334840;1308;1308;8917
335861;1272;1272;8937
336882;1244;1244;8971
337902;1238;1238;8987
338921;1311;1311;8955
339941;1292;1292;8985
340960;1273;1273;8978
341979;1252;1252;8964
342998;1252;1252;8981
344019;1267;1267;8978
345040;1290;1290;8938
346058;1255;1255;8993
347079;1239;1239;9011
348098;1263;1263;8976
349117;1283;1283;8943
350137;1223;1223;9013
351159;1247;1247;8990
352179;1258;1258;8969
353199;1214;1214;8981
354219;1225;1225;8978
355238;1283;1283;8924
356261;1261;1261;8962
357290;1258;1258;8965
358310;1272;1272;8976
359331;1273;1273;8974
360351;1236;1236;8996
361369;1276;1276;8976
362390;1282;1282;8948
363410;1205;1205;8990
364431;1218;1218;8995
365450;1263;1263;8965
366470;1325;1325;8909
367489;1306;1306;8911
368507;1316;1316;8878
369528;1311;1311;8917
370548;1307;1307;8919
371567;1337;1337;8919
372589;1264;1264;8927
373609;1266;1266;8943
374630;1283;1283;8947
375651;1174;1174;9044
376672;1175;1175;9052
377697;1165;1165;9078
378718;1177;1177;9076
379738;1183;1183;9077
380759;1184;1184;9081
381781;1186;1186;9085
382802;1166;1166;9109
383823;1168;1168;9115
384841;1153;1153;9141
385861;1153;1153;9142
386879;1163;1163;9139
387901;1163;1163;9141
388921;1169;1169;9136
389939;1092;1092;9194
390957;1093;1093;9195
391975;1086;1086;9203
392993;1086;1086;9202
394011;1055;1055;9237
395029;1055;1055;9237
396048;1042;1042;9252
397066;1042;1042;9252
398086;1021;1021;9271
399104;1045;1045;9247
400124;1081;1081;9222
401149;1073;1073;9219
402169;1077;1077;9219
403190;1077;1077;9219
404211;1078;1078;9220
405231;1078;1078;9222
406252;1078;1078;9222
407274;1078;1078;9222
408294;1079;1079;9221
409315;1079;1079;9221
410336;1082;1082;9218
411357;1082;1082;9217
412378;1086;1086;9210
413399;1082;1082;9213
414419;1082;1082;9215
415439;1082;1082;9215
416460;1088;1088;9205
417480;1096;1096;9197
418501;1092;1092;9202
419523;1092;1092;9202
420544;1093;1093;9204
421565;1093;1093;9204
422587;1093;1093;9204
423608;1090;1090;9215
424628;1093;1093;9213
425649;1093;1093;9213
426669;1093;1093;9213
427690;1093;1093;9213
