Time;CPU
1054; 17.00
2111; 26.00
3173; 25.00
4229; 36.00
5287; 27.00
6341; 17.00
7395; 15.00
8449; 15.00
9503; 17.00
10559; 21.00
11612; 15.00
12667; 16.00
13717; 16.00
14771; 18.00
15826; 17.00
16882; 19.00
17941; 26.00
18995; 24.00
20054; 26.00
21109; 27.00
22167; 32.00
23231; 19.00
24287; 15.00
25340; 14.00
26393; 15.00
27449; 15.00
28502; 18.00
29558; 16.00
30614; 25.00
31668; 83.00
32725; 77.00
33782; 74.00
34838; 81.00
35893; 77.00
36952; 85.00
38007; 83.00
39068; 77.00
40125; 78.00
41184; 78.00
42242; 81.00
43298; 82.00
44357; 20.00
45413; 15.00
46466; 11.00
47518; 11.00
48572; 11.00
49626; 11.00
50680; 11.00
51734; 10.00
52789; 17.00
53841; 60.00
54893; 61.00
55946; 58.00
56999; 55.00
58056; 66.00
59110; 64.00
60164; 63.00
61219; 61.00
62273; 69.00
63324; 62.00
64377; 49.00
65429; 50.00
66485; 39.00
67539; 29.00
68593; 17.00
69647; 20.00
70702; 21.00
71757; 19.00
72813; 19.00
73869; 23.00
74924; 23.00
75980; 23.00
77036; 24.00
78090; 21.00
79145; 19.00
80200; 20.00
81255; 19.00
82309; 19.00
83364; 19.00
84419; 20.00
85473; 19.00
86525; 19.00
87579; 18.00
88632; 19.00
89687; 19.00
90741; 26.00
91792; 31.00
92858; 62.00
93913; 93.00
94969; 92.00
96028; 93.00
97083; 92.00
98138; 92.00
99193; 91.00
100247; 93.00
101304; 93.00
102365; 94.00
103423; 91.00
104479; 90.00
105556; 89.00
106630; 86.00
107686; 76.00
108755; 86.00
109824; 92.00
110893; 89.00
111958; 90.00
113028; 92.00
114098; 89.00
115176; 89.00
116248; 92.00
117321; 88.00
118387; 91.00
119466; 91.00
120543; 91.00
121625; 93.00
122704; 90.00
123774; 89.00
124851; 89.00
125928; 89.00
126998; 89.00
128071; 88.00
129141; 90.00
130210; 90.00
131295; 86.00
132372; 90.00
133449; 87.00
134518; 87.00
135589; 89.00
136657; 87.00
137723; 91.00
138801; 86.00
139865; 89.00
140936; 88.00
142001; 90.00
143075; 88.00
144154; 88.00
145223; 87.00
146304; 87.00
147376; 89.00
148450; 88.00
149532; 87.00
150613; 89.00
151686; 88.00
152760; 89.00
153857; 88.00
154932; 86.00
156005; 86.00
157077; 86.00
158141; 87.00
159225; 86.00
160298; 86.00
161368; 88.00
162449; 88.00
163517; 88.00
164594; 87.00
165673; 87.00
166748; 86.00
167831; 87.00
168925; 87.00
169994; 84.00
171069; 86.00
172137; 89.00
173212; 87.00
174300; 85.00
175377; 88.00
176460; 84.00
177536; 87.00
178624; 85.00
179708; 86.00
180787; 87.00
181873; 83.00
182955; 86.00
184026; 89.00
185111; 87.00
186200; 85.00
187281; 87.00
188361; 87.00
189434; 86.00
190506; 88.00
191582; 86.00
192666; 84.00
193753; 84.00
194840; 85.00
195921; 86.00
196996; 87.00
198083; 87.00
199148; 89.00
200220; 87.00
201292; 89.00
202382; 85.00
203461; 88.00
204556; 85.00
205629; 88.00
206707; 86.00
207783; 87.00
208869; 86.00
209955; 87.00
211042; 87.00
212119; 85.00
213184; 88.00
214257; 86.00
215325; 87.00
216396; 64.00
217461; 61.00
218522; 52.00
219584; 50.00
220642; 30.00
221697; 8.00
Overall; 64.00
