Time_ms;Thor_WorkingSet_MB;Thor_Private_MB;Free_RAM_MB
2;114;114;10290
1031;207;207;10196
2055;258;258;10135
3076;297;297;10099
4097;326;326;10021
5118;353;353;10004
6144;413;413;9986
7166;486;486;9912
8187;388;388;10032
9211;459;459;9945
10232;471;471;9935
11253;475;475;9872
12275;474;474;9871
13295;476;476;9878
14325;506;506;9852
15346;577;577;9755
16367;746;746;9613
17387;770;770;9590
18408;798;798;9560
19429;835;835;9535
20452;855;855;9511
21477;889;889;9496
22498;925;925;9456
23520;1032;1032;9375
24542;1108;1108;9304
25564;1121;1121;9292
26585;1188;1188;9217
27607;1079;1079;9286
28626;1053;1053;9293
29647;875;875;9461
30666;829;829;9501
31687;781;781;9524
32709;798;798;9510
33729;796;796;9512
34751;800;800;9505
35772;812;812;9503
36794;815;815;9490
37816;812;812;9463
38837;856;856;9488
39858;815;815;9480
40879;818;818;9457
41901;848;848;9455
42922;832;832;9474
43943;881;881;9421
44963;818;818;9486
45984;895;895;9402
47004;831;831;9469
48025;830;830;9488
49046;817;817;9489
50068;812;812;9492
51088;807;807;9488
52109;855;855;9487
53131;835;835;9484
54155;824;824;9462
55176;831;831;9465
56197;900;900;9463
57217;846;846;9450
58239;836;836;9452
59259;839;839;9450
60279;874;874;9447
61299;863;863;9432
62319;884;884;9428
63340;877;877;9428
64360;876;876;9424
65382;905;905;9422
66403;884;884;9421
67422;909;909;9416
68444;897;897;9408
69465;968;968;9336
70486;908;908;9400
71508;930;930;9400
72529;940;940;9357
73551;918;918;9395
74572;920;920;9383
75593;922;922;9379
76615;951;951;9388
77636;930;930;9379
78656;922;922;9392
79676;914;914;9398
80697;902;902;9406
81719;886;886;9415
82740;891;891;9411
83761;916;916;9412
84782;902;902;9404
85804;920;920;9404
86826;909;909;9402
87847;918;918;9393
88868;941;941;9393
89890;920;920;9385
90910;914;914;9388
91932;913;913;9389
92952;911;911;9389
93971;901;901;9399
94991;906;906;9398
96012;860;860;9455
97032;860;860;9460
98052;859;859;9461
99073;859;859;9462
100102;855;855;9461
101123;854;854;9464
102147;855;855;9465
103165;856;856;9468
104184;822;822;9481
105203;822;822;9478
106222;790;790;9511
107240;790;790;9514
108259;717;717;9590
109278;717;717;9590
110296;720;720;9583
111314;720;720;9567
112334;720;720;9570
113353;720;720;9570
114372;720;720;9572
115391;723;723;9546
116412;723;723;9546
117433;723;723;9522
118454;723;723;9523
119475;723;723;9524
120496;723;723;9528
121517;723;723;9507
122538;723;723;9511
123560;723;723;9508
124581;723;723;9507
125602;723;723;9512
126623;723;723;9513
127645;723;723;9510
128667;723;723;9510
129689;723;723;9509
130709;723;723;9508
131731;723;723;9511
132751;723;723;9514
133772;723;723;9509
134793;723;723;9511
135814;723;723;9506
136838;765;765;9469
