Time;CPU
1061; 33.00
2119; 22.00
3179; 20.00
4237; 19.00
5296; 22.00
6356; 32.00
7419; 28.00
8478; 40.00
9538; 25.00
10598; 18.00
11655; 17.00
12714; 16.00
13771; 17.00
14828; 19.00
15894; 22.00
16955; 17.00
18014; 18.00
19073; 18.00
20135; 17.00
21195; 18.00
22257; 18.00
23318; 17.00
24378; 17.00
25438; 17.00
26499; 17.00
27559; 17.00
28619; 17.00
29682; 17.00
30742; 17.00
31798; 17.00
32856; 18.00
33915; 17.00
34973; 18.00
36036; 17.00
37097; 17.00
38157; 17.00
39218; 17.00
40278; 17.00
41336; 17.00
42394; 17.00
43455; 17.00
44516; 19.00
45577; 17.00
46636; 17.00
47698; 17.00
48757; 17.00
49817; 17.00
50877; 17.00
51938; 17.00
53000; 17.00
54060; 17.00
55120; 17.00
56180; 17.00
57242; 17.00
58301; 17.00
59362; 17.00
60421; 17.00
61482; 16.00
62538; 17.00
63598; 17.00
64660; 17.00
65720; 17.00
66782; 17.00
67842; 17.00
68902; 17.00
69963; 16.00
71023; 17.00
72083; 17.00
73143; 17.00
74203; 17.00
75262; 17.00
76323; 17.00
77384; 17.00
78444; 17.00
79503; 17.00
80562; 17.00
81621; 16.00
82680; 16.00
83737; 17.00
84798; 17.00
85859; 17.00
86920; 17.00
87978; 17.00
89039; 17.00
90100; 17.00
91160; 17.00
92221; 17.00
93280; 17.00
94340; 17.00
95398; 22.00
96456; 24.00
97517; 25.00
98585; 26.00
99645; 32.00
100708; 31.00
101768; 20.00
102832; 17.00
103891; 16.00
104950; 16.00
106009; 16.00
107068; 16.00
108125; 21.00
109179; 17.00
110235; 24.00
111296; 21.00
112353; 23.00
113413; 20.00
114473; 21.00
115531; 19.00
116590; 19.00
117649; 19.00
118711; 16.00
119768; 18.00
120829; 17.00
121887; 18.00
122947; 17.00
124005; 18.00
125063; 18.00
126121; 18.00
127181; 17.00
128238; 18.00
129300; 17.00
130360; 18.00
131421; 18.00
132483; 20.00
133541; 19.00
134602; 25.00
135660; 29.00
136720; 31.00
137780; 31.00
138841; 34.00
139903; 31.00
140962; 34.00
142023; 39.00
143088; 45.00
144147; 36.00
145205; 31.00
146267; 46.00
147327; 41.00
148391; 49.00
149456; 39.00
150517; 42.00
151575; 44.00
152633; 47.00
153694; 41.00
154752; 33.00
155810; 35.00
156869; 32.00
157929; 33.00
158990; 33.00
160056; 32.00
161117; 32.00
162180; 37.00
163239; 45.00
164300; 45.00
165358; 39.00
166418; 41.00
167478; 34.00
168537; 36.00
169596; 35.00
170655; 41.00
171714; 32.00
172776; 45.00
173836; 39.00
174895; 41.00
175955; 47.00
177017; 52.00
178078; 40.00
179139; 43.00
180204; 40.00
181265; 34.00
182334; 40.00
183394; 33.00
184455; 40.00
185517; 35.00
186577; 38.00
187638; 40.00
188698; 39.00
189760; 42.00
190818; 52.00
191876; 47.00
192937; 45.00
193997; 34.00
195057; 44.00
196118; 38.00
197177; 51.00
198240; 32.00
199299; 31.00
200362; 34.00
201422; 31.00
202484; 31.00
203542; 30.00
204602; 30.00
205663; 31.00
206727; 32.00
207789; 31.00
208848; 32.00
209908; 31.00
210969; 35.00
212028; 34.00
213088; 31.00
214149; 36.00
215209; 32.00
216270; 42.00
217329; 39.00
218396; 32.00
219458; 37.00
220519; 36.00
221581; 45.00
222638; 41.00
223703; 39.00
224763; 34.00
225820; 34.00
226879; 45.00
227938; 56.00
228995; 45.00
230056; 45.00
231116; 36.00
232182; 46.00
233243; 46.00
234302; 34.00
235364; 51.00
236424; 42.00
237486; 37.00
238543; 45.00
239608; 31.00
240672; 30.00
241735; 20.00
242793; 19.00
243851; 18.00
244912; 19.00
245971; 19.00
247029; 18.00
248088; 19.00
249148; 20.00
250210; 20.00
251268; 21.00
252327; 20.00
253388; 18.00
254450; 19.00
255510; 20.00
256570; 19.00
257625; 20.00
258682; 21.00
259739; 22.00
260794; 21.00
261851; 18.00
262908; 18.00
263968; 29.00
265024; 49.00
266084; 49.00
267143; 51.00
268201; 51.00
269262; 50.00
270320; 51.00
271378; 49.00
272438; 33.00
273498; 30.00
274554; 26.00
275614; 26.00
276673; 26.00
277732; 27.00
278791; 26.00
279850; 26.00
280909; 26.00
281969; 26.00
283027; 27.00
284083; 25.00
