Time_ms;Thor_WorkingSet_MB;Thor_Private_MB;Free_RAM_MB
2;113;113;10289
1031;202;202;10174
2053;241;241;10126
3074;302;302;10072
4095;326;326;9995
5118;331;331;9968
6140;416;416;9986
7163;490;490;9900
8184;442;442;9944
9204;396;396;10015
10225;468;468;9963
11248;493;493;9914
12270;443;443;9897
13290;465;465;9888
14313;479;479;9870
15335;525;525;9832
16355;664;664;9694
17377;731;731;9629
18399;769;769;9583
19421;770;770;9557
20443;801;801;9520
21465;880;880;9445
22486;822;822;9464
23507;940;940;9456
24529;1012;1012;9385
25551;1039;1039;9355
26572;1072;1072;9305
27593;1138;1138;9238
28614;1062;1062;9295
29635;935;935;9438
30656;884;884;9458
31677;878;878;9441
32700;869;869;9465
33720;948;948;9450
34742;972;972;9425
35765;997;997;9370
36786;1001;1001;9364
37807;1194;1194;9290
38827;1073;1073;9314
39849;1114;1114;9245
40870;1051;1051;9294
41891;1110;1110;9283
42913;1038;1038;9283
43936;969;969;9337
44957;1003;1003;9342
45978;972;972;9333
46998;980;980;9323
48020;1008;1008;9319
49042;985;985;9309
50063;995;995;9314
51084;997;997;9312
52104;985;985;9320
53125;985;985;9321
54145;993;993;9317
55165;985;985;9325
56184;984;984;9324
57202;907;907;9360
58221;893;893;9387
59240;893;893;9390
60258;882;882;9400
61277;882;882;9399
62297;861;861;9406
63316;861;861;9402
64335;816;816;9432
65355;815;815;9427
66373;815;815;9429
67392;806;806;9439
68410;808;808;9428
69432;808;808;9419
70453;808;808;9402
71474;808;808;9418
72496;808;808;9408
73517;808;808;9410
74539;808;808;9387
75560;808;808;9388
76581;808;808;9406
77602;808;808;9398
78623;808;808;9396
79644;808;808;9404
80665;808;808;9404
81687;808;808;9401
82709;808;808;9398
83730;808;808;9395
84752;808;808;9394
85773;808;808;9393
86795;808;808;9389
87817;808;808;9388
88839;808;808;9391
89859;858;858;9355
90880;862;862;9348
91909;1056;1056;9211
92928;1056;1056;9216
93950;1095;1095;9173
94970;1393;1393;8893
95990;1410;1410;8883
97009;1464;1464;8819
98028;1487;1487;8800
99048;1520;1520;8779
100068;1564;1564;8741
101089;1568;1568;8739
102108;1741;1741;8591
103127;1746;1746;8585
104147;1863;1863;8477
105167;1959;1959;8385
106190;2149;2149;8225
107220;2314;2314;8197
108243;2321;2321;8176
109271;2435;2435;8057
110300;2384;2384;7948
111330;2385;2385;7946
112358;2386;2386;7944
113385;2386;2386;7944
114411;2386;2386;7943
115438;2387;2387;7942
116466;2417;2417;7910
117495;2418;2418;7888
118523;2435;2435;7880
119551;2531;2531;7796
120581;2698;2698;7774
121617;2762;2762;7769
122640;2871;2871;7663
123665;3001;3001;7547
124694;3038;3038;7542
125728;2786;2786;7537
126757;2644;2644;7636
127784;2562;2562;7710
128813;2511;2511;7762
129848;2468;2468;7779
130877;2473;2473;7777
131905;2496;2496;7776
132932;2539;2539;7754
133964;2561;2561;7736
134993;2554;2554;7733
136025;2586;2586;7730
137067;2559;2559;7728
138099;2735;2735;7545
139123;2728;2728;7545
140154;2717;2717;7567
141185;2725;2725;7555
142211;2716;2716;7571
143243;2751;2751;7542
144267;2762;2762;7536
145303;2772;2772;7526
146333;2803;2803;7498
147371;2818;2818;7484
148397;2972;2972;7368
149430;3190;3190;7339
150460;3132;3132;7439
151493;3033;3033;7586
152518;2704;2704;7558
153545;2688;2688;7602
154572;2669;2669;7616
155603;2660;2660;7622
156638;2660;2660;7621
157664;2737;2737;7557
158693;2788;2788;7495
159726;2866;2866;7421
160757;2783;2783;7470
161780;2852;2852;7415
162807;2880;2880;7419
163830;2967;2967;7318
164857;2963;2963;7322
165882;2978;2978;7304
166907;2858;2858;7387
167934;2753;2753;7488
168965;2699;2699;7545
169991;2723;2723;7541
171021;2791;2791;7518
172045;2746;2746;7522
173074;2758;2758;7515
174104;2751;2751;7511
175130;2780;2780;7505
176159;2841;2841;7449
177181;2849;2849;7444
178208;2837;2837;7450
179236;2838;2838;7451
180261;2884;2884;7412
181293;2652;2652;7548
182317;2674;2674;7572
183344;2777;2777;7603
184376;2819;2819;7600
185412;2884;2884;7581
186446;2824;2824;7458
187482;2944;2944;7326
188510;2968;2968;7305
189549;2945;2945;7321
190576;2946;2946;7321
191602;2947;2947;7320
192627;2944;2944;7320
193655;2945;2945;7320
194684;3004;3004;7286
195716;2876;2876;7387
196755;2916;2916;7398
197782;2984;2984;7382
198808;2939;2939;7360
199837;3091;3091;7201
200875;3099;3099;7188
201908;3098;3098;7187
202934;3098;3098;7186
203962;3091;3091;7190
204992;2989;2989;7275
206015;3134;3134;7333
207041;3313;3313;7526
208069;3335;3335;7464
209091;3044;3044;7436
210118;3018;3018;7446
211152;3039;3039;7420
212177;3030;3030;7419
213203;3030;3030;7418
214231;3019;3019;7440
215266;3025;3025;7435
216294;2846;2846;7676
217321;3052;3052;7627
218357;3114;3114;7621
219389;3013;3013;7546
220416;3094;3094;7337
221442;3089;3089;7341
222467;3089;3089;7341
223498;3091;3091;7339
224527;3148;3148;7252
225556;3052;3052;7339
226576;3055;3055;7347
227599;0;0;10403
