Time;CPU
1056; 17.00
2113; 26.00
3168; 25.00
4224; 36.00
5281; 27.00
6336; 17.00
7390; 15.00
8444; 15.00
9500; 16.00
10555; 22.00
11607; 15.00
12657; 17.00
13710; 19.00
14766; 19.00
15820; 17.00
16879; 20.00
17938; 27.00
18994; 25.00
20053; 33.00
21113; 24.00
22166; 19.00
23226; 25.00
24282; 16.00
25337; 14.00
26389; 15.00
27445; 15.00
28498; 18.00
29552; 15.00
30608; 19.00
31665; 64.00
32720; 33.00
33777; 31.00
34835; 22.00
35889; 21.00
36945; 17.00
38000; 31.00
39057; 45.00
40113; 31.00
41178; 58.00
42236; 34.00
43292; 39.00
44350; 72.00
45408; 57.00
46464; 70.00
47529; 69.00
48585; 76.00
49649; 75.00
50707; 76.00
51764; 63.00
52818; 19.00
53871; 14.00
54924; 14.00
55980; 14.00
57037; 13.00
58091; 41.00
59143; 56.00
60207; 53.00
61259; 53.00
62310; 63.00
63363; 65.00
64415; 64.00
65469; 65.00
66523; 63.00
67577; 64.00
68630; 61.00
69682; 49.00
70734; 46.00
71788; 38.00
72843; 30.00
73898; 18.00
74953; 21.00
76009; 20.00
77063; 19.00
78118; 19.00
79173; 23.00
80230; 23.00
81285; 23.00
82341; 23.00
83397; 21.00
84452; 19.00
85508; 20.00
86561; 19.00
87615; 19.00
88668; 19.00
89724; 20.00
90780; 19.00
91835; 19.00
92892; 19.00
93947; 21.00
95002; 21.00
96055; 27.00
97109; 56.00
98174; 59.00
99230; 95.00
100285; 92.00
101343; 91.00
102402; 91.00
103458; 94.00
104515; 92.00
105572; 92.00
106635; 93.00
107693; 94.00
108750; 90.00
109817; 69.00
110902; 89.00
111975; 32.00
113030; 64.00
114091; 90.00
115167; 86.00
116232; 87.00
117314; 86.00
118404; 85.00
119487; 86.00
120571; 85.00
121647; 86.00
122728; 86.00
123805; 88.00
124900; 63.00
125959; 84.00
127027; 90.00
128104; 89.00
129169; 90.00
130252; 88.00
131342; 88.00
132423; 86.00
133505; 87.00
134591; 86.00
135674; 86.00
136756; 87.00
137852; 86.00
138945; 85.00
140026; 87.00
141119; 81.00
142212; 91.00
143294; 88.00
144359; 91.00
145426; 94.00
146492; 89.00
147569; 87.00
148656; 86.00
149736; 86.00
150806; 88.00
151891; 85.00
152974; 81.00
154057; 89.00
155137; 91.00
156202; 91.00
157275; 92.00
158348; 84.00
159433; 83.00
160513; 87.00
161606; 84.00
162687; 85.00
163794; 71.00
164879; 89.00
165961; 89.00
167031; 88.00
168100; 87.00
169169; 86.00
170245; 88.00
171315; 85.00
172388; 85.00
173468; 86.00
174549; 85.00
175615; 89.00
176703; 87.00
177785; 88.00
178857; 91.00
179931; 92.00
181007; 89.00
182091; 86.00
183171; 88.00
184243; 85.00
185333; 84.00
186414; 85.00
187493; 86.00
188568; 85.00
189649; 86.00
190738; 86.00
191812; 73.00
192891; 56.00
193948; 43.00
195007; 49.00
196073; 89.00
197143; 86.00
198212; 87.00
199280; 85.00
200355; 85.00
201458; 83.00
202544; 86.00
203636; 86.00
204716; 88.00
205781; 88.00
206855; 90.00
207931; 83.00
209013; 83.00
210093; 83.00
211171; 86.00
212253; 77.00
213332; 88.00
214406; 90.00
215469; 29.00
216523; 14.00
217576; 85.00
218652; 83.00
219728; 83.00
220800; 84.00
221887; 84.00
222965; 86.00
224031; 85.00
225101; 81.00
226179; 86.00
227260; 85.00
228365; 81.00
229441; 86.00
230524; 66.00
231579; 16.00
232633; 5.00
Overall; 61.00
