hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",3413675,1275673,4822660463300,1412747,0,107117852100,162149798392100,47500069,0,14316404600
"scan with file YARA rules",55746,0,1491567537300,26756494,0,28265621600,86301184235200,1548114380,0,7467721400
"scan with meta YARA rules",95832,0,846613536000,8834351,0,15882659900,137576590131500,1435601783,0,7467721400
"scan object with YARA",107902,0,377665893900,3500082,0,28239704400,57695792760900,534705499,0,14294657000
"scan with process YARA rules",119,0,241724415600,2031297610,508300,15653983400,313566832900,2635015402,0,14294657000
"parse CAB archive",26,0,150616497600,5792942215,0,108618961100,38469723900,1479604765,0,4270360800
"apply Sigma rules",2919362,0,96344705600,33001,0,245784200,962529945149200,329705581,0,14294657000
"parse file content",55746,0,95366301900,1710729,0,8089680500,86301184235200,1548114380,0,7467721400
"parse GZIP archive",6632,0,90156064800,13594099,0,28314188500,11104276553100,1674348093,0,6067175800
"parse ETL file",234,0,56408235700,241060836,7078000,23944826400,327262254000,1398556641,0,3058677100
"parse registry hive",383,0,56301191900,147000501,0,20933531000,442889457400,1156369340,0,3617349100
"parse log file",204,0,47499462300,232840501,0,17835361900,279198235000,1368618799,0,4545660800
"scan process for malicious indicators",119,0,45810027300,384958212,1079700,11472512200,313566832900,2635015402,0,14294657000
"parse ZIP archive",312,0,42011371700,134651832,0,23865826600,503966847800,1615278358,0,3145454900
"parse Shim database",21,0,36271628500,1727220404,0,9174225900,28955415400,1378829304,0,2662321500
"scan object's command line with YARA",119,0,27686424900,232659032,0,8703417200,313566832900,2635015402,0,14294657000
"analyze prefetch file",343,0,24109847600,70291100,0,6104028600,721933016800,2104760981,0,4661767000
"parse SHIM cache",2,0,23934466300,11967233150,9006929700,14927536600,3791000,1895500,1321600,2469400
"schedule scan for executed file",884,0,23535048900,26623358,0,6295232600,3627126565100,4103084349,1321600,7985199200
"check process excludes",133,0,18575854700,139668080,0,7784414900,342167192100,2572685654,0,14316404600
"check file existence",107716,0,16416621200,152406,0,10335500,148379405502900,1377505714,0,7985199200
"parse CHM file",23,0,15307249200,665532573,21777700,1667736600,23598002100,1026000091,0,3118302000
"parsing Chrome history",5,0,14934962300,2986992460,1644700,14777501300,4001104200,800220840,0,1987973600
"parse Amcache",4,0,11996394600,2999098650,0,11996394600,7086900800,1771725200,1420430100,2077032900
"check file excludes",24782,0,11106475100,448167,0,1898011000,32821274785100,1324399757,0,7985199200
"check if file was already scanned",106544,0,9482262600,88998,0,13462300,147334034753100,1382846849,0,7985199200
"log object",73764,0,8852851200,120015,0,61664700,102797302744200,1393597184,0,14294657000
"parse Atjobs file",237,0,8629049500,36409491,0,6242607500,242299621100,1022361270,0,1824012400
"add meta information",21028,0,8499449100,404196,0,1415724300,31112721873500,1479585403,0,7467721400
"check for suspicious locations",885,0,5627206700,6358425,0,3579453700,3627126565100,4098448096,0,7985199200
"apply handle IOCs",6415,0,3855468000,601008,0,1839328800,2340781718500,364891928,0,9452942700
"scan SHIM cache entry for executed file",884,0,3129038800,3539636,0,739888700,3627126565100,4103084349,1321600,7985199200
"parse RAR archive",15,0,2477771800,165184786,0,1297962000,13382798300,892186553,2469400,2873359300
"check with STIX IOCs",1150083,0,2051528900,1783,0,42430200,311110972909800,270511756,0,7467721400
"parse ESE database",8,0,1960413600,245051700,0,900539300,9450733600,1181341700,0,2183900500
"parse OLE format",22,0,1906093700,86640622,0,901154900,34269221100,1557691868,0,6769459300
"extract process handles",119,0,1778674000,14946840,8426200,57112700,313566832900,2635015402,0,14294657000
"check if object should be logged",2919362,0,1548366800,530,0,3369600,962529945149200,329705581,0,14294657000
"enrich finding with file information",335,0,1440657400,4300469,0,218771800,62405416000,186284823,0,7527004100
"apply false positive filters",2919362,0,1394601200,477,0,47286200,962529945149200,329705581,0,14294657000
"limit frequent matches",2919362,0,1164930200,399,0,45621100,962529945149200,329705581,0,14294657000
"parse PowerShell module cache",1,0,689378100,689378100,689378100,689378100,0,0,0,0
"scan scheduled task image",180,0,685985400,3811030,0,183463700,27645170800,153584282,0,302592900
"apply hash IOCs",55746,0,514937500,9237,0,2030100,86301184235200,1548114380,0,7467721400
