hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",1273854,1273463,626361660214,491706,3396,21148650387,29958783094385,23518223,0,518652882156
"scan with file YARA rules",105848,0,253207211405,2392177,1033924,3405944112,11967312406,113061,6353,4703792060
"schedule scan for symlink target",59432,0,118253827921,1989733,17854,16718249098,772558023,12999,6353,35706740
"scan with meta YARA rules",249033,0,60733935417,243879,83028,15923868,13745973320,55197,6353,4703792060
"scan with process YARA rules",68,0,58751067720,863986290,37180023,4029013547,801924,11793,11793,11793
"scan object with YARA",49633,0,52038611876,1048467,329279,12948880,302546382221,6095669,6353,6482857703
"parse GZIP archive",10164,0,47668267407,4689912,106874,2486780158,117109608,11522,11522,11522
"parse ZIP archive",190,0,43936429755,231244367,3686295,16658886384,2189180,11522,11522,11522
"apply Sigma rules",995226,0,39460571849,39649,6963,1084008,313441504767,314945,6353,6482857703
"parse log file",135,0,24673960251,182770075,1433,2327629826,1555470,11522,11522,11522
"parse file content",105848,0,9824194087,92814,2104,490016696,11967312406,113061,6353,4703792060
"compare to ThorDB",156,0,4763798513,30537169,26139804,41034448,284268053572,1822231112,6353,6482857703
"check file excludes",90286,0,4571118771,50629,121,5482943,12738152625,141086,6353,4703792060
"parse journald format",5,0,2761686301,552337260,30405513,2049955672,57610,11522,11522,11522
"add meta information",45268,0,2507506829,55392,2063,4497383,11398192990,251793,6353,4703792060
"check file existence",308864,0,1645993484,5329,210,377641,15256608341,49395,6353,4703792060
"scan process for malicious indicators",68,0,1528460185,22477355,270686,170122660,801924,11793,11793,11793
"schedule scan for executable",156,0,1116948933,7159929,18015,160544283,284268053572,1822231112,6353,6482857703
"check with STIX IOCs",105848,0,1057997760,9995,951,88569,11967312406,113061,6353,4703792060
"extract process environment variables",68,0,957400500,14079419,144124,28681283,801924,11793,11793,11793
"extract process handles",68,0,810255629,11915523,2102853,90909325,801924,11793,11793,11793
"check if file was already scanned",308731,0,642216354,2080,110,26604310,15255075915,49412,6353,4703792060
"search for Cobalt Strike beacons",179830,0,628829466,3496,812,152561,12860852263,71516,6353,4703792060
"check if object should be logged",995226,0,560753823,563,220,166549,313441504767,314945,6353,6482857703
"apply hash IOCs",105848,0,534770577,5052,1783,59323,11967312406,113061,6353,4703792060
"parse TARGZ archive",1,0,442210244,442210244,442210244,442210244,11522,11522,11522,11522
"apply false positive filters",995226,0,358951723,360,189,743669,313441504767,314945,6353,6482857703
"deduplicate reasons",249033,0,335782527,1348,161,230599,13745973320,55197,6353,4703792060
"limit frequent matches",995226,0,316476246,317,129,201986,313441504767,314945,6353,6482857703
"store time information about deep scan",105848,0,295099367,2787,1042,50317,11967312406,113061,6353,4703792060
"check if deep scan is needed",249033,0,290817124,1167,191,122113,13745973320,55197,6353,4703792060
"check if maximum file size is exceeded",249033,0,149067381,598,170,53703,13745973320,55197,6353,4703792060
"fill in interesting content",249033,0,105044838,421,160,47311,13745973320,55197,6353,4703792060
"scan object's command line with YARA",68,0,94369219,1387782,926939,19939601,801924,11793,11793,11793
"log file",249033,0,62259313,250,120,90272,13745973320,55197,6353,4703792060
"parse TAR archive",1,0,49316403,49316403,49316403,49316403,11522,11522,11522,11522
"parse authorized_keys format",1,0,28066098,28066098,28066098,28066098,11522,11522,11522,11522
"parsing Firefox history",1,0,26645859,26645859,26645859,26645859,11522,11522,11522,11522
"truncate long values",502,0,10383910,20685,541,3174048,291108373296,579897157,6353,6482857703
"check process excludes",208,0,9738971,46821,200,622206,3214360714419,15453657280,11793,63039788296
"initialize process memory reader",68,0,9550033,140441,89440,203178,801924,11793,11793,11793
"enrich finding with file information",45,0,8823259,196072,20680,648949,41614526,924767,6353,41117516
"analyze process connection",68,0,8227871,120998,2435,2827946,801924,11793,11793,11793
"parse system crontab",3,0,8153740,2717913,8035,5684859,34566,11522,11522,11522
"log object",502,0,6545466,13038,792,557504,291108373296,579897157,6353,6482857703
"parse OLE format",14,0,4093942,292424,52521,659629,161308,11522,11522,11522
"scan eBPF program with file YARA rules",1,0,2083697,2083697,2083697,2083697,13867,13867,13867,13867
"retrieve interesting process memory",68,0,1724423,25359,3256,83670,801924,11793,11793,11793
"check for C2 IOCs",8,0,1282526,160315,95822,280665,93802,11725,11522,11793
"truncate unimportant process memory sections",68,0,1211757,17819,6794,62468,801924,11793,11793,11793
"unpack UPX",3,0,1065584,355194,331733,395054,34566,11522,11522,11522
"log md5 to csv",38,0,434430,11432,130,50257,41543830,1093258,11522,41117516
"check for known evil services",156,0,418856,2684,1272,24337,284268053572,1822231112,6353,6482857703
"check file mode",156,0,416441,2669,1302,10841,284268053572,1822231112,6353,6482857703
"parse mail",5,0,83213,16642,9179,32943,57610,11522,11522,11522
"scan dependent files",35,0,17291,494,231,1132,559214801,15977565,1466960,27982800
"check for port 0",6,0,12823,2137,1343,3286,70758,11793,11793,11793
"check if profile is recent",1,0,7263,7263,7263,7263,6733,6733,6733,6733
"check for network pipes",6,0,3978,663,341,1051,70758,11793,11793,11793
