Time;CPU
1059; 33.00
2120; 21.00
3179; 20.00
4238; 19.00
5298; 21.00
6358; 32.00
7421; 29.00
8487; 40.00
9550; 25.00
10610; 17.00
11669; 17.00
12728; 16.00
13786; 18.00
14844; 20.00
15907; 22.00
16969; 17.00
18030; 18.00
19091; 18.00
20153; 17.00
21211; 17.00
22270; 17.00
23328; 17.00
24387; 17.00
25447; 17.00
26507; 17.00
27567; 17.00
28628; 17.00
29685; 17.00
30742; 17.00
31801; 17.00
32857; 18.00
33918; 18.00
34979; 17.00
36038; 17.00
37097; 17.00
38158; 17.00
39217; 17.00
40274; 17.00
41334; 17.00
42393; 17.00
43452; 18.00
44510; 17.00
45569; 17.00
46629; 17.00
47688; 17.00
48746; 17.00
49804; 17.00
50861; 17.00
51917; 17.00
52976; 17.00
54036; 17.00
55096; 17.00
56157; 17.00
57215; 17.00
58275; 17.00
59336; 17.00
60397; 17.00
61456; 17.00
62516; 17.00
63578; 17.00
64638; 17.00
65698; 17.00
66758; 17.00
67817; 17.00
68875; 17.00
69937; 17.00
70998; 17.00
72059; 17.00
73120; 17.00
74180; 17.00
75239; 17.00
76299; 17.00
77359; 17.00
78419; 17.00
79478; 17.00
80539; 17.00
81600; 17.00
82660; 17.00
83720; 17.00
84779; 17.00
85839; 17.00
86897; 17.00
87957; 17.00
89015; 17.00
90077; 17.00
91135; 17.00
92196; 17.00
93256; 17.00
94315; 17.00
95375; 27.00
96442; 26.00
97501; 34.00
98562; 29.00
99621; 20.00
100682; 26.00
101745; 19.00
102803; 17.00
103860; 17.00
104918; 16.00
105976; 16.00
107033; 17.00
108092; 21.00
109150; 18.00
110209; 23.00
111266; 21.00
112325; 20.00
113381; 21.00
114439; 21.00
115499; 53.00
116562; 43.00
117626; 48.00
118685; 51.00
119754; 48.00
120813; 41.00
121870; 20.00
122930; 26.00
123989; 28.00
125045; 40.00
126105; 31.00
127165; 23.00
128223; 16.00
129281; 23.00
130347; 31.00
131406; 37.00
132464; 49.00
133524; 41.00
134584; 31.00
135647; 31.00
136707; 42.00
137767; 31.00
138828; 49.00
139893; 44.00
140954; 43.00
142014; 39.00
143076; 33.00
144140; 41.00
145199; 32.00
