Time_ms;Thor_WorkingSet_MB;Thor_Private_MB;Free_RAM_MB
1;114;114;10300
1032;207;207;10191
2055;257;257;10095
3078;293;293;10058
4100;324;324;10039
5124;315;315;10013
6146;437;437;9981
7170;518;518;9893
8192;358;358;10077
9214;436;436;9968
10237;469;469;9949
11258;452;452;9895
12280;468;468;9903
13301;466;466;9902
14322;496;496;9864
15343;522;522;9821
16366;700;700;9617
17388;751;751;9577
18410;755;755;9564
19431;824;824;9513
20451;768;768;9531
21473;745;745;9544
22499;759;759;9539
23520;826;826;9581
24542;902;902;9490
25564;930;930;9463
26584;989;989;9391
27606;948;948;9391
28627;980;980;9358
29648;824;824;9506
30672;915;915;9439
31696;1018;1018;9333
32717;1092;1092;9352
33738;1033;1033;9317
34763;997;997;9326
35790;1089;1089;9318
36812;1044;1044;9301
37833;1072;1072;9263
38857;1071;1071;9252
39878;1133;1133;9165
40899;1121;1121;9220
41921;1067;1067;9242
42943;1025;1025;9251
43963;1050;1050;9241
44985;1064;1064;9235
46006;1024;1024;9245
47026;1028;1028;9257
48048;1023;1023;9250
49069;1010;1010;9262
50090;1010;1010;9265
51109;1011;1011;9270
52130;1012;1012;9272
53152;1012;1012;9274
54173;1013;1013;9276
55192;1013;1013;9277
56211;944;944;9333
57230;944;944;9337
58248;950;950;9332
59267;952;952;9322
60288;952;952;9325
61307;959;959;9315
62326;959;959;9316
63344;915;915;9334
64363;914;914;9329
65383;914;914;9325
66401;855;855;9381
67421;861;861;9383
68441;861;861;9371
69462;861;861;9371
70487;861;861;9354
71509;861;861;9351
72531;861;861;9357
73552;861;861;9337
74574;861;861;9338
75595;861;861;9337
76616;861;861;9350
77638;861;861;9352
78660;861;861;9347
79682;861;861;9347
80704;861;861;9357
81726;861;861;9358
82748;861;861;9356
83769;861;861;9353
84790;861;861;9355
85811;861;861;9349
86833;861;861;9345
87855;861;861;9347
88876;948;948;9358
89895;948;948;9333
90915;1213;1213;9057
91935;1213;1213;9057
92955;1342;1342;8941
93976;1500;1500;8762
95001;1502;1502;8763
96020;1555;1555;8723
97039;1573;1573;8714
98060;1612;1612;8677
99080;1628;1628;8659
100099;1811;1811;8482
101120;1856;1856;8440
102148;1865;1865;8433
103168;1945;1945;8353
104188;1947;1947;8351
105208;2105;2105;8276
106238;2218;2218;8198
107265;2316;2316;8149
108297;2246;2246;8127
109325;2263;2263;8101
110356;2406;2406;7967
111398;2365;2365;7942
112425;2370;2370;7939
113454;2370;2370;7938
114485;2366;2366;7938
115512;2363;2363;7940
116539;2366;2366;7936
117575;2420;2420;7880
118604;2344;2344;7938
119636;2366;2366;7927
120672;2619;2619;7697
121700;2772;2772;7567
122725;2901;2901;7441
123750;2990;2990;7457
124793;2975;2975;7476
125821;3004;3004;7473
126856;3071;3071;7444
127886;2939;2939;7547
128912;2839;2839;7665
129938;2501;2501;7744
130969;2446;2446;7796
131999;2440;2440;7831
133021;2510;2510;7769
134048;2477;2477;7788
135080;2509;2509;7769
136109;2540;2540;7729
137135;2567;2567;7720
138160;2616;2616;7657
139186;2618;2618;7655
140215;2623;2623;7652
141249;2686;2686;7575
142274;2619;2619;7627
143311;2619;2619;7623
144338;2623;2623;7632
145364;2654;2654;7612
146390;2637;2637;7613
147417;2658;2658;7633
148444;2781;2781;7476
149475;2846;2846;7510
150512;2897;2897;7506
151545;2698;2698;7655
152576;2734;2734;7656
153604;2566;2566;7659
154637;2551;2551;7690
155664;2544;2544;7703
156690;2561;2561;7802
157719;2596;2596;7795
158743;2647;2647;7771
159769;2808;2808;7488
160810;2842;2842;7451
161836;2783;2783;7473
162865;2723;2723;7533
163900;2719;2719;7538
164927;2680;2680;7592
165958;2683;2683;7592
166983;2739;2739;7546
168019;2755;2755;7545
169047;2754;2754;7525
170076;2751;2751;7525
171111;2745;2745;7524
172144;2753;2753;7514
173179;2754;2754;7514
174208;2793;2793;7506
175240;2896;2896;7395
176262;2954;2954;7335
177286;3067;3067;7207
178314;2922;2922;7271
179343;2861;2861;7345
180380;2879;2879;7357
181409;2986;2986;7302
182442;2690;2690;7532
183465;2770;2770;7678
184489;2851;2851;7634
185512;2818;2818;7675
186538;2726;2726;7507
187574;2715;2715;7506
188598;2724;2724;7505
189628;2733;2733;7503
190657;2800;2800;7463
191701;2887;2887;7382
192730;2956;2956;7407
193760;3244;3244;7375
194784;3365;3365;7306
195821;3231;3231;7335
196847;2909;2909;7279
197870;2892;2892;7290
198892;2951;2951;7287
199921;3057;3057;7191
200946;2879;2879;7334
201976;2878;2878;7365
203005;2900;2900;7357
204032;3057;3057;7189
205060;3049;3049;7198
206089;3055;3055;7197
207119;3041;3041;7203
208154;3119;3119;7123
209187;3123;3123;7129
210212;3125;3125;7122
211244;3126;3126;7125
212279;3127;3127;7129
213304;3127;3127;7132
214330;3128;3128;7138
215365;2774;2774;7464
216398;2756;2756;7548
217422;2854;2854;7555
218444;2930;2930;7519
219466;2767;2767;7507
220487;0;0;10431
221506;0;0;10438
