hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",3413992,1211077,4930972601900,1444342,0,107572672500,327722267526100,95993859,0,121284806600
"scan with file YARA rules",55746,0,1499225685400,26893870,0,23801089900,154877505208200,2778271180,0,121283203800
"scan with meta YARA rules",95832,0,907680174800,9471577,0,10697279800,250815488439800,2617241510,0,121284806600
"scan object with YARA",108551,0,441081870000,4063360,0,17947297300,162197289707100,1494203551,0,94337046100
"scan with process YARA rules",119,0,231800489800,1947903275,0,17955807400,304240585000,2556643571,0,20580103400
"parse CAB archive",26,0,147442875200,5670879815,0,107661459800,26734296000,1028242153,0,11137921500
"apply Sigma rules",2919679,0,95791823600,32809,0,120948900,2153027109623600,737419116,0,121284806600
"parse file content",55746,0,91302644200,1637833,0,6653446100,154877505208200,2778271180,0,121283203800
"parse registry hive",383,0,58984741900,154007159,0,22586260600,1172735107900,3061971561,0,59438663900
"parse ETL file",234,0,55180636100,235814684,7721700,24581186200,1030906645600,4405583955,0,49744147200
"parse log file",205,0,48882397300,238450718,0,16397575400,510277613800,2489159091,0,44577881700
"parse Shim database",21,0,36790237300,1751916061,0,9519155600,130564205300,6217343109,2038900,35587620200
"parse GZIP archive",6632,0,36409483500,5489970,0,1013865500,31210506521200,4706047424,0,111713817700
"scan process for malicious indicators",119,0,26751470000,224802268,1041100,8750053400,304240585000,2556643571,0,20580103400
"apply handle IOCs",6415,0,25532276800,3980089,0,10334437300,1942911438600,302870060,0,10009149500
"parse Amcache",4,0,24811815700,6202953925,0,24811815700,4185424100,1046356025,81396100,2135611600
"check file excludes",24782,0,22134750000,893178,0,4784564300,16384317464100,661137820,0,94337046100
"parse ZIP archive",312,0,21569374100,69132609,0,10591846400,507312867000,1626002778,0,78108506200
"analyze prefetch file",343,0,19360440500,56444432,0,5090391400,2121377437000,6184773868,0,69966047800
"check file existence",107716,0,17883725000,166026,0,254377700,270367708550400,2510005092,0,121284806600
"parse SHIM cache",2,0,15505334600,7752667300,7665759800,7839574800,0,0,0,0
"check process excludes",133,0,14902978200,112052467,0,3011112400,332240143600,2498046192,0,20580103400
"parsing Chrome history",5,0,14872754300,2974550860,13384300,14776909500,2409571400,481914280,0,2291777200
"schedule scan for executed file",884,0,12952319100,14651944,0,5960434500,2982335649500,3373682861,0,7706405800
"scan object's command line with YARA",119,0,11688078400,98219146,0,4347283400,304240585000,2556643571,0,20580103400
"add meta information",21080,0,10585859900,502175,0,1924283200,15529653780700,736700843,0,94337046100
"check if file was already scanned",106544,0,9284587700,87143,0,8563700,269956112422100,2533752369,0,121284806600
"log object",73764,0,8541309000,115792,0,90453000,244097677567100,3309170836,0,121284806600
"parse CHM file",23,0,7709678000,335203391,21983700,736258200,39780316200,1729578965,0,36825780800
"scan SHIM cache entry for executed file",884,0,7086668100,8016592,0,2177881500,2982335649500,3373682861,0,7706405800
"scan entry",726,0,5845643400,8051850,0,690737000,18582483416400,25595707185,884900,68469787300
"parse Atjobs file",237,0,2525804900,10657404,506400,345489200,609432179500,2571443795,0,39230106200
"enrich finding with file information",335,0,2496459300,7452117,0,345147700,277950151400,829701944,0,35993449200
"check for suspicious locations",885,0,1953928300,2207828,0,610137400,2982336215700,3369871430,0,7706405800
"check with STIX IOCs",1150044,0,1839633800,1599,0,40085100,572765748847600,498038117,0,121283203800
"extract process handles",119,0,1674014400,14067347,7067200,43179800,304240585000,2556643571,0,20580103400
"check if object should be logged",2919679,0,1575952200,539,0,6236200,2153027109623600,737419116,0,121284806600
"apply false positive filters",2919679,0,1312687000,449,0,4417400,2153027109623600,737419116,0,121284806600
"limit frequent matches",2919679,0,1182111700,404,0,6783600,2153027109623600,737419116,0,121284806600
"parse ESE database",8,0,1016837300,127104662,0,819422900,7849704800,981213100,0,5567593900
"parse RAR archive",15,0,825731800,55048786,0,478410300,145862286000,9724152400,1594200,110232220900
"scan scheduled task image",180,0,806071100,4478172,505100,291720900,30930499100,171836106,0,342504800
"apply hash IOCs",55746,0,555414500,9963,0,2038200,154877505208200,2778271180,0,121283203800
"parse SRUM database",1,0,531839700,531839700,531839700,531839700,163180000,163180000,163180000,163180000
"search for Cobalt Strike beacons",81178,0,515880500,6354,0,3194900,213687732014000,2632335509,0,121284806600
"check size",1094298,0,501774400,458,0,2801300,417888243639400,381877919,0,83124017400
"parse OLE format",22,0,496524400,22569290,0,109125000,27896567300,1268025786,0,11293740900
"parse PowerShell module cache",1,0,438301300,438301300,438301300,438301300,15448168300,15448168300,15448168300,15448168300
"store time information about deep scan",55746,0,435589100,7813,0,7509100,154877505208200,2778271180,0,121283203800
"deduplicate reasons",95832,0,320468700,3344,0,2406700,250815488439800,2617241510,0,121284806600
"check for suspicious event ID",297449,0,306475800,1030,0,4023300,205185335651300,689816861,0,49744147200
"check if deep scan is needed",95832,0,224332100,2340,0,4359200,250815488439800,2617241510,0,121284806600
"parse WMI persistence file",1,0,105278300,105278300,105278300,105278300,757844900,757844900,757844900,757844900
"log found WER report",12,0,99323000,8276916,2377600,39428400,2083362400,173613533,0,744008700
"check if maximum file size is exceeded",95832,0,99205700,1035,0,4641000,250815488439800,2617241510,0,121284806600
"WER",12,0,77843300,6486941,0,56940200,2083362400,173613533,0,744008700
"fill in interesting content",95832,0,62724100,654,0,5528500,250815488439800,2617241510,0,121284806600
"truncate long values",2476,0,61733400,24932,0,2011200,3776819558700,1525371388,0,35993449200
"log file",95832,0,40797300,425,0,2032800,250815488439800,2617241510,0,121284806600
"extract process environment variables",119,0,35659400,299658,0,2048300,304240585000,2556643571,0,20580103400
"parse LNK format",184,0,31474300,171055,0,2321200,644117904800,3500640786,0,60462811300
"check for webserver directory",6415,0,26887800,4191,0,2041500,1942911438600,302870060,0,10009149500
