Time;CPU
1054; 17.00
2110; 27.00
3170; 25.00
4226; 36.00
5290; 26.00
6345; 16.00
7401; 14.00
8453; 15.00
9507; 18.00
10563; 20.00
11617; 15.00
12670; 18.00
13723; 19.00
14776; 19.00
15829; 17.00
16883; 24.00
17938; 22.00
18998; 27.00
20052; 24.00
21109; 33.00
22166; 24.00
23220; 17.00
24276; 14.00
25330; 14.00
26385; 15.00
27441; 19.00
28495; 16.00
29551; 14.00
30603; 16.00
31658; 16.00
32711; 16.00
33767; 15.00
34820; 15.00
35874; 14.00
36929; 15.00
37984; 15.00
39039; 14.00
40094; 15.00
41148; 15.00
42202; 14.00
43258; 15.00
44312; 14.00
45366; 14.00
46420; 15.00
47474; 16.00
48529; 14.00
49584; 15.00
50638; 15.00
51693; 14.00
52747; 14.00
53803; 15.00
54858; 15.00
55913; 15.00
56969; 15.00
58023; 16.00
59077; 15.00
60134; 14.00
61189; 15.00
62245; 14.00
63301; 15.00
64356; 15.00
65410; 15.00
66466; 15.00
67522; 15.00
68576; 15.00
69631; 14.00
70686; 15.00
71743; 14.00
72798; 15.00
73855; 14.00
74910; 15.00
75965; 14.00
77021; 15.00
78077; 15.00
79133; 16.00
80188; 15.00
81245; 16.00
82298; 15.00
83354; 14.00
84410; 15.00
85465; 14.00
86519; 15.00
87574; 14.00
88629; 14.00
89683; 16.00
90738; 15.00
91791; 16.00
92847; 15.00
93901; 10.00
94955; 10.00
96008; 11.00
97062; 10.00
98117; 11.00
99174; 10.00
100228; 44.00
101280; 56.00
102331; 60.00
103384; 52.00
104437; 67.00
105499; 62.00
106552; 65.00
107605; 61.00
108661; 70.00
109715; 64.00
110767; 59.00
111818; 48.00
112867; 59.00
113918; 26.00
114971; 19.00
116025; 21.00
117076; 20.00
118130; 19.00
119182; 20.00
120236; 23.00
121289; 23.00
122344; 23.00
123398; 23.00
124451; 21.00
125506; 19.00
126558; 20.00
127610; 19.00
128665; 20.00
129718; 19.00
130771; 20.00
131825; 19.00
132877; 18.00
133930; 20.00
134982; 19.00
136036; 20.00
137092; 22.00
138147; 25.00
139199; 31.00
140252; 32.00
141306; 31.00
142361; 37.00
143414; 54.00
144465; 51.00
145517; 54.00
146570; 55.00
147626; 52.00
148678; 56.00
149729; 57.00
150782; 55.00
151835; 31.00
152893; 22.00
153951; 22.00
155010; 18.00
156065; 22.00
157122; 22.00
158176; 16.00
159230; 15.00
160284; 15.00
161338; 14.00
162394; 18.00
163451; 19.00
164504; 15.00
165559; 16.00
166614; 15.00
167669; 15.00
168724; 15.00
169779; 15.00
170835; 14.00
171891; 15.00
172945; 14.00
174001; 15.00
175054; 15.00
176108; 15.00
177160; 21.00
178218; 19.00
179278; 17.00
180338; 18.00
181394; 20.00
182451; 18.00
183511; 17.00
184567; 17.00
185627; 17.00
186685; 19.00
187745; 17.00
188804; 17.00
189861; 19.00
190918; 20.00
191977; 20.00
193032; 19.00
194089; 18.00
195141; 15.00
196198; 15.00
197254; 15.00
198309; 14.00
199363; 15.00
200418; 14.00
201473; 17.00
202526; 15.00
203579; 14.00
204632; 25.00
205694; 16.00
206751; 16.00
207807; 16.00
208861; 17.00
209918; 16.00
210972; 19.00
212025; 18.00
213082; 18.00
214134; 16.00
215186; 15.00
216241; 15.00
217293; 17.00
218345; 21.00
219401; 22.00
220455; 23.00
221510; 33.00
222565; 29.00
223624; 30.00
224681; 32.00
225736; 31.00
226792; 30.00
227849; 22.00
228907; 16.00
229966; 16.00
231023; 16.00
232082; 18.00
233140; 18.00
234199; 17.00
235257; 17.00
236313; 17.00
237369; 17.00
238425; 17.00
239483; 17.00
240540; 19.00
241601; 17.00
242659; 17.00
243718; 17.00
244775; 17.00
245832; 16.00
246888; 16.00
247945; 16.00
249004; 17.00
250064; 17.00
251121; 17.00
252178; 17.00
253236; 16.00
254294; 17.00
255352; 19.00
256410; 17.00
257467; 17.00
258525; 17.00
259584; 17.00
260643; 17.00
261701; 19.00
262757; 16.00
263814; 16.00
264871; 17.00
265927; 17.00
266980; 16.00
268037; 18.00
269095; 20.00
270152; 22.00
271209; 30.00
272262; 42.00
273314; 25.00
274369; 24.00
275426; 26.00
276483; 17.00
277539; 20.00
278591; 31.00
279644; 20.00
280701; 19.00
281757; 18.00
282813; 16.00
283868; 16.00
284925; 16.00
285978; 19.00
287035; 16.00
288088; 17.00
289144; 17.00
290198; 17.00
291257; 17.00
292315; 16.00
293369; 17.00
294424; 17.00
295480; 16.00
296533; 17.00
297587; 16.00
298643; 17.00
299698; 16.00
300754; 15.00
301812; 16.00
302865; 16.00
303922; 20.00
304977; 19.00
306034; 16.00
307089; 16.00
308146; 21.00
309204; 22.00
310260; 19.00
311317; 16.00
312372; 17.00
313426; 17.00
314483; 16.00
315539; 17.00
316594; 22.00
317653; 26.00
318714; 31.00
319771; 18.00
320828; 20.00
321882; 19.00
322936; 17.00
323990; 23.00
325041; 22.00
326097; 28.00
327153; 24.00
328209; 28.00
329260; 30.00
330314; 38.00
331370; 33.00
332423; 25.00
333484; 27.00
334540; 29.00
335594; 28.00
336649; 38.00
337706; 37.00
338760; 35.00
339811; 29.00
340868; 26.00
341926; 28.00
342979; 34.00
344037; 28.00
345093; 32.00
346149; 34.00
347206; 29.00
348264; 26.00
349321; 27.00
350376; 21.00
351433; 33.00
352488; 32.00
353545; 25.00
354604; 20.00
355658; 29.00
356712; 25.00
357766; 31.00
358827; 30.00
359881; 27.00
360935; 27.00
361991; 22.00
363046; 40.00
364099; 45.00
365153; 35.00
366209; 36.00
367264; 24.00
368317; 29.00
369373; 19.00
370428; 20.00
371484; 19.00
372541; 19.00
373597; 19.00
374654; 23.00
375713; 19.00
376771; 22.00
377825; 17.00
378882; 17.00
379940; 20.00
380998; 22.00
382055; 17.00
383112; 35.00
384168; 26.00
385223; 23.00
386276; 55.00
387329; 57.00
388383; 54.00
389437; 56.00
390488; 55.00
391542; 54.00
392594; 58.00
393645; 54.00
394699; 55.00
395753; 40.00
396807; 19.00
397863; 22.00
398920; 25.00
399975; 22.00
401033; 22.00
402092; 20.00
403147; 22.00
404204; 24.00
405264; 23.00
406322; 26.00
407378; 26.00
408434; 24.00
409490; 25.00
410547; 24.00
411607; 27.00
412662; 26.00
