hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",1273469,1024698,1176756118330,924055,0,164876419786,75325778012238,59150068,0,163859720166
"scan with file YARA rules",105796,0,289583042865,2737183,1194659,4120518610,13434733223504,126987156,8206,162033351270
"schedule scan for symlink target",59503,0,133031023082,2235702,8546,22351643288,4932437533071,82893930,8206,162043790724
"scan object with YARA",50021,0,82991594699,1659135,348465,2667217865,4465859773226,89279697,3887,25487822801
"scan with meta YARA rules",249056,0,81867961748,328713,93378,4106452877,22859631832850,91785107,8206,162043790724
"scan with process YARA rules",68,0,64142541056,943272662,39334333,4304884691,616447367047,9065402456,27763,25487822801
"parse ZIP archive",190,0,63564281840,334548851,4665853,22284906502,22044997210,116026301,297709,244613534
"parse GZIP archive",10164,0,47703298587,4693358,60856,2725370529,539457948820,53075358,8206,4964658972
"apply Sigma rules",994843,0,39709132465,39914,7313,22282883,94233255981570,94721735,1353,162043790724
"parse log file",135,0,29061768056,215272355,2805,2535625553,31527546644,233537382,105721,1928294152
"compare to ThorDB",156,0,20073034373,128673297,36955844,194925674,413676444312,2651772078,18225,5358898544
"scan object's command line with YARA",68,0,15935138744,234340275,887304,4167446234,616447367047,9065402456,27763,25487822801
"parse file content",105796,0,9952652955,94074,1774,519912697,13434733223504,126987156,8206,162033351270
"check file excludes",90357,0,7067937960,78222,130,2614576206,5348833775799,59196672,8206,4847889886
"check process excludes",207,0,6439286913,31107666,261,3363154956,712886707462,3443897137,11162,25487822801
"parse journald format",5,0,2654652395,530930479,52886554,1865230434,2829377933,565875586,77408982,1734027206
"add meta information",45655,0,2004269887,43900,2584,24288380,2693723084079,59001710,8206,4847889886
"scan process for malicious indicators",68,0,1661234185,24429914,94770,554518286,616447367047,9065402456,27763,25487822801
"check file existence",308886,0,1645441837,5327,190,534471,33979122616169,110005382,8206,162044324673
"check with STIX IOCs",105796,0,961217584,9085,841,2484211,13434733223504,126987156,8206,162033351270
"check if file was already scanned",308754,0,853613332,2764,120,30010380,33967842311875,110015877,8206,162044324673
"check if object should be logged",994843,0,631997598,635,210,373322,94233255981570,94721735,1353,162043790724
"search for Cobalt Strike beacons",179782,0,621270522,3455,891,3293816,17607402051718,97937513,8206,162033351270
"apply hash IOCs",105796,0,572964603,5415,2475,959000,13434733223504,126987156,8206,162033351270
"parse TARGZ archive",1,0,502931010,502931010,502931010,502931010,7209899,7209899,7209899,7209899
"apply false positive filters",994843,0,400193878,402,200,383431,94233255981570,94721735,1353,162043790724
"deduplicate reasons",249056,0,383299852,1539,160,302989,22859631832850,91785107,8206,162043790724
"limit frequent matches",994843,0,355352498,357,140,3795534,94233255981570,94721735,1353,162043790724
"store time information about deep scan",105796,0,283975174,2684,752,96193,13434733223504,126987156,8206,162033351270
"check if deep scan is needed",249056,0,250340334,1005,160,399152,22859631832850,91785107,8206,162043790724
"check if maximum file size is exceeded",249056,0,136756234,549,140,42051,22859631832850,91785107,8206,162043790724
"fill in interesting content",249056,0,103344720,414,170,104508,22859631832850,91785107,8206,162043790724
"log object",502,0,79488819,158344,971,1531122,1039534730502,2070786315,3887,25487822801
"log file",249056,0,58025715,232,120,37631,22859631832850,91785107,8206,162043790724
"parsing Firefox history",1,0,55178169,55178169,55178169,55178169,297709,297709,297709,297709
"parse authorized_keys format",1,0,37287176,37287176,37287176,37287176,297859,297859,297859,297859
"extract process handles",68,0,29741717,437378,212866,1741372,616447367047,9065402456,27763,25487822801
"parse TAR archive",1,0,22640736,22640736,22640736,22640736,620114,620114,620114,620114
"extract process environment variables",68,0,17100499,251477,110430,463976,616447367047,9065402456,27763,25487822801
"initialize process memory reader",68,0,14345379,210961,103647,353215,616447367047,9065402456,27763,25487822801
"parse system crontab",3,0,11621528,3873842,9939,7493360,893277,297759,297709,297859
"truncate long values",502,0,10234803,20388,711,1794294,1039534730502,2070786315,3887,25487822801
"enrich finding with file information",45,0,9787171,217492,13537,2009585,3188750248,70861116,5762,244613534
"parse OLE format",14,0,5238198,374157,56789,1016470,1958694676,139906762,297709,244613534
"schedule scan for executable",156,0,5187244,33251,18105,74562,413676444312,2651772078,18225,5358898544
"check for C2 IOCs",8,0,3020014,377501,71305,1963507,374899782,46862472,297709,157776660
"scan eBPF program with file YARA rules",1,0,1696829,1696829,1696829,1696829,14778,14778,14778,14778
"retrieve interesting process memory",68,0,1436595,21126,3737,73541,616447367047,9065402456,27763,25487822801
"truncate unimportant process memory sections",68,0,1041540,15316,3697,61027,616447367047,9065402456,27763,25487822801
"analyze process connection",68,0,999707,14701,1522,353534,616447367047,9065402456,27763,25487822801
"unpack UPX",3,0,910276,303425,242192,360127,489524927,163174975,297859,244613534
"log md5 to csv",38,0,480012,12631,140,50467,3187148646,83872332,25738,244613534
"check file mode",156,0,471218,3020,651,7575,413676444312,2651772078,18225,5358898544
"check for known evil services",156,0,270037,1731,1072,3397,413676444312,2651772078,18225,5358898544
"parse mail",5,0,103227,20645,8767,48973,254688512,50937702,297709,244613534
"scan dependent files",35,0,18275,522,250,1322,132950452,3798584,3887,8693450
"check for port 0",6,0,12866,2144,952,3136,374304364,62384060,8016778,157776660
"check if profile is recent",1,0,6161,6161,6161,6161,5762,5762,5762,5762
"check for network pipes",6,0,4031,671,282,1022,374304364,62384060,8016778,157776660
