Time;CPU
1089; 33.00
2152; 21.00
3213; 20.00
4272; 20.00
5330; 22.00
6391; 31.00
7451; 31.00
8515; 38.00
9577; 24.00
10632; 18.00
11689; 17.00
12748; 17.00
13805; 18.00
14863; 21.00
15923; 20.00
16982; 17.00
18042; 18.00
19104; 18.00
20165; 17.00
21225; 17.00
22284; 17.00
23344; 17.00
24402; 17.00
25461; 17.00
26518; 17.00
27577; 17.00
28635; 17.00
29689; 17.00
30747; 17.00
31803; 17.00
32860; 18.00
33918; 18.00
34979; 17.00
36037; 17.00
37097; 17.00
38157; 17.00
39216; 17.00
40275; 17.00
41334; 17.00
42393; 17.00
43450; 19.00
44509; 17.00
45568; 17.00
46626; 18.00
47685; 17.00
48743; 17.00
49802; 17.00
50861; 17.00
51919; 17.00
52980; 17.00
54039; 17.00
55099; 17.00
56161; 17.00
57219; 17.00
58279; 17.00
59340; 17.00
60401; 17.00
61460; 17.00
62521; 17.00
63580; 17.00
64640; 17.00
65700; 17.00
66757; 17.00
67815; 17.00
68875; 17.00
69933; 17.00
70990; 17.00
72049; 17.00
73110; 17.00
74168; 17.00
75226; 17.00
76287; 17.00
77350; 17.00
78407; 17.00
79468; 17.00
80527; 17.00
81588; 17.00
82650; 17.00
83711; 17.00
84771; 17.00
85832; 17.00
86890; 17.00
87953; 17.00
89009; 17.00
90066; 17.00
91125; 17.00
92186; 17.00
93246; 19.00
94306; 27.00
95367; 26.00
96428; 37.00
97490; 25.00
98548; 21.00
99609; 25.00
100667; 18.00
101724; 17.00
102781; 17.00
103840; 16.00
104899; 16.00
105957; 21.00
107016; 17.00
108076; 22.00
109133; 22.00
110190; 23.00
111245; 20.00
112303; 20.00
113360; 38.00
114429; 43.00
115492; 53.00
116556; 47.00
117616; 46.00
118680; 49.00
119742; 24.00
120798; 20.00
121856; 30.00
122912; 38.00
123976; 31.00
125034; 30.00
126090; 16.00
127148; 16.00
128207; 31.00
129267; 37.00
130325; 45.00
131383; 51.00
132444; 36.00
133507; 40.00
