Time_ms;Thor_WorkingSet_MB;Thor_Private_MB;Free_RAM_MB
2;111;111;10300
1031;210;210;10190
2054;248;248;10140
3076;292;292;10111
4099;316;316;10062
5121;325;325;10040
6141;447;447;9953
7163;501;501;9886
8185;392;392;10017
9207;421;421;9973
10228;461;461;9934
11249;430;430;9882
12268;436;436;9864
13288;429;429;9860
14309;464;464;9828
15330;510;510;9794
16351;679;679;9657
17373;680;680;9645
18394;724;724;9610
19416;756;756;9569
20437;796;796;9539
21458;831;831;9505
22478;849;849;9478
23500;933;933;9483
24521;992;992;9417
25543;1021;1021;9388
26564;1099;1099;9299
27586;957;957;9378
28609;997;997;9332
29630;786;786;9536
30649;783;783;9539
31669;801;801;9520
32690;779;779;9526
33710;797;797;9510
34731;807;807;9510
35752;832;832;9498
36773;829;829;9494
37793;820;820;9458
38814;876;876;9463
39835;821;821;9459
40856;841;841;9426
41877;873;873;9426
42898;850;850;9430
43918;911;911;9396
44939;870;870;9442
45960;862;862;9447
46981;838;838;9463
48000;858;858;9458
49021;839;839;9458
50041;847;847;9448
51061;847;847;9446
52082;900;900;9452
53104;842;842;9440
54125;846;846;9434
55146;881;881;9434
56166;860;860;9421
57186;861;861;9410
58207;848;848;9421
59228;856;856;9422
60250;848;848;9426
61271;846;846;9422
62292;877;877;9421
63313;855;855;9412
64334;874;874;9412
65355;861;861;9413
66376;871;871;9419
67397;873;873;9419
68418;936;936;9343
69440;856;856;9421
70460;885;885;9417
71481;877;877;9408
72502;884;884;9405
73524;909;909;9404
74544;878;878;9404
75566;899;899;9404
76587;879;879;9402
77608;865;865;9416
78628;871;871;9406
79649;840;840;9443
80669;833;833;9453
81690;830;830;9449
82711;857;857;9449
83732;844;844;9435
84752;863;863;9435
85773;857;857;9427
86794;869;869;9427
87815;865;865;9421
88836;865;865;9419
89857;847;847;9437
90878;851;851;9435
91898;830;830;9448
92918;832;832;9452
93938;832;832;9454
94958;779;779;9491
95979;779;779;9493
96998;777;777;9498
98018;786;786;9490
99040;791;791;9494
100061;794;794;9493
101079;788;788;9495
102097;787;787;9513
103116;764;764;9533
104134;761;761;9533
105154;774;774;9530
106172;774;774;9531
107190;750;750;9537
108211;750;750;9537
109235;743;743;9541
110254;743;743;9541
111273;743;743;9543
112292;743;743;9544
113310;743;743;9540
114329;748;748;9521
115350;748;748;9516
116372;748;748;9508
117392;748;748;9510
118412;748;748;9512
119433;748;748;9508
120454;748;748;9485
121475;748;748;9484
122497;748;748;9491
123518;748;748;9491
124539;748;748;9486
125559;748;748;9489
126580;748;748;9493
127601;748;748;9494
128622;748;748;9486
129643;748;748;9489
130663;748;748;9490
131683;748;748;9486
132704;748;748;9482
133726;748;748;9483
134746;784;784;9458
135768;785;785;9459
136787;787;787;9461
137807;842;842;9499
138826;842;842;9499
139845;855;855;9478
140863;881;881;9444
141882;881;881;9449
142903;885;885;9447
143923;869;869;9453
144943;888;888;9419
145962;870;870;9435
146980;883;883;9421
147998;883;883;9420
149017;903;903;9404
150036;903;903;9403
151054;898;898;9430
152072;926;926;9406
153092;978;978;9355
154115;994;994;9346
155136;995;995;9344
156157;995;995;9344
157177;995;995;9344
158197;1155;1155;9309
159219;1215;1215;9309
160239;1173;1173;9287
161260;1219;1219;9285
162282;1280;1280;9270
163302;1256;1256;9099
164324;1341;1341;9083
165347;1394;1394;9072
166368;1440;1440;9071
167388;1346;1346;9064
168409;1453;1453;9065
169430;1501;1501;9064
170451;1536;1536;9063
171472;1392;1392;9064
172493;1435;1435;9064
173514;1483;1483;9063
174536;1387;1387;9062
175558;1322;1322;9043
176578;1316;1316;9028
177600;1322;1322;9014
178621;1312;1312;9024
179643;1312;1312;9024
180664;1309;1309;9023
181686;1311;1311;9023
182706;1311;1311;9023
183726;1311;1311;9023
184748;1053;1053;9259
185769;1053;1053;9259
186789;1053;1053;9259
187809;1049;1049;9263
188832;1051;1051;9263
189853;1051;1051;9263
190874;1051;1051;9264
191895;1039;1039;9278
192917;1039;1039;9278
193939;1076;1076;9233
194959;1224;1224;9182
195983;1285;1285;9155
197008;1346;1346;9098
198030;1401;1401;9083
199051;1306;1306;9071
200071;1402;1402;9074
201092;1471;1471;9048
202114;1423;1423;9006
203135;1467;1467;9005
204156;1510;1510;9005
205176;1228;1228;9060
206196;1235;1235;9058
207217;1246;1246;9054
208238;1256;1256;9054
209260;1251;1251;9059
210280;1253;1253;9058
