hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",1273633,844180,881602311266,692194,0,56893589261,363339767422624,285278229,0,24457062503
"scan with file YARA rules",105882,0,297357065157,2808381,1232441,4113685058,149168995625943,1408822988,4429,24077289960
"scan with meta YARA rules",249132,0,87484489206,351157,83680,2499950302,292128242400346,1172584181,4429,24336294457
"scan object with YARA",49502,0,74449079934,1503961,344138,4121688382,147625748163788,2982217853,3887,24378239113
"scan with process YARA rules",68,0,61989470635,911609862,39971079,4169315781,730229891942,10738674881,25580,24378239113
"apply Sigma rules",994999,0,40961419879,41167,6893,18920667,2157988866041317,2168835210,3887,24378239113
"schedule scan for symlink target",59488,0,37717395125,634033,7605,6429269168,40092494240919,673959357,4429,24336294457
"parse GZIP archive",10164,0,32207499317,3168781,68881,1191559114,15992089871069,1573405142,4429,10219736781
"parse log file",135,0,32036840514,237309929,1473,2857693726,282081080471,2089489484,4429,9951772143
"parse ZIP archive",190,0,23730121605,124895376,197677,6363581826,461412435526,2428486502,4429,4273377946
"compare to ThorDB",156,0,20820705524,133466061,42084592,189361945,393089945235,2519807341,43823,5133968411
"scan process for malicious indicators",68,0,16708939693,245719701,108267,6397836525,730229891942,10738674881,25580,24378239113
"scan object's command line with YARA",68,0,13216396341,194358769,769439,3014808545,730229891942,10738674881,25580,24378239113
"parse file content",105882,0,9988153790,94332,1654,529405404,149168995625943,1408822988,4429,24077289960
"check file excludes",90342,0,4523327304,50068,110,124400058,127751758810020,1414090443,4429,24336294457
"check process excludes",207,0,3960012876,19130496,190,3445170639,1285505121103,6210169667,8416,24457062503
"parse journald format",5,0,3342664252,668532850,34677225,2392416693,5133351203,1026670240,774689157,1425592558
"extract process handles",68,0,2092893355,30777843,192517,1932436856,730229891942,10738674881,25580,24378239113
"add meta information",45139,0,1904065583,42182,1964,22725099,94179430001526,2086431467,4429,24336294457
"check file existence",308970,0,1772069539,5735,131,1715373,334083590526959,1081281647,4429,24336294457
"check with STIX IOCs",105882,0,1016511097,9600,633,536554,149168995625943,1408822988,4429,24077289960
"check if file was already scanned",308838,0,936843180,3033,100,30195223,333900718043495,1081151665,4429,24336294457
"check if object should be logged",994999,0,647666760,650,211,650322,2157988866041317,2168835210,3887,24378239113
"apply hash IOCs",105882,0,588107291,5554,2124,554527,149168995625943,1408822988,4429,24077289960
"search for Cobalt Strike beacons",179867,0,586612141,3261,731,1994696,239715448879554,1332737238,4429,24378239113
"apply false positive filters",994999,0,421635672,423,200,2208624,2157988866041317,2168835210,3887,24378239113
"limit frequent matches",994999,0,391686699,393,140,1684915,2157988866041317,2168835210,3887,24378239113
"deduplicate reasons",249132,0,383575368,1539,121,4553679,292128242400346,1172584181,4429,24336294457
"extract process environment variables",68,0,379146639,5575685,120008,27058187,730229891942,10738674881,25580,24378239113
"parse TARGZ archive",1,0,339630509,339630509,339630509,339630509,4429,4429,4429,4429
"store time information about deep scan",105882,0,314211449,2967,650,9763081,149168995625943,1408822988,4429,24077289960
"check if deep scan is needed",249132,0,259539473,1041,181,331492,292128242400346,1172584181,4429,24336294457
"check if maximum file size is exceeded",249132,0,136992279,549,140,394874,292128242400346,1172584181,4429,24336294457
"fill in interesting content",249132,0,106932727,429,170,273201,292128242400346,1172584181,4429,24336294457
"log object",502,0,84866221,169056,962,1445708,1202852593204,2396120703,3887,24378239113
"log file",249132,0,61572923,247,109,531585,292128242400346,1172584181,4429,24336294457
"parse TAR archive",1,0,31458553,31458553,31458553,31458553,4429,4429,4429,4429
"parse authorized_keys format",1,0,19549547,19549547,19549547,19549547,4429,4429,4429,4429
"parsing Firefox history",1,0,19094950,19094950,19094950,19094950,4429,4429,4429,4429
"truncate long values",502,0,13365053,26623,691,3008541,1202852593204,2396120703,3887,24378239113
"enrich finding with file information",45,0,12727172,282826,15740,5128507,55132064053,1225156978,3887,9476817661
"initialize process memory reader",68,0,11627214,170988,95272,319340,730229891942,10738674881,25580,24378239113
"parse OLE format",14,0,8421994,601571,56498,2676167,29687672260,2120548018,4429,3988534880
"parse system crontab",3,0,4895493,1631831,10831,4816221,938426671,312808890,181083669,495325226
"schedule scan for executable",156,0,4231933,27127,13366,99890,393089945235,2519807341,43823,5133968411
"analyze process connection",68,0,3984684,58598,1573,2340717,730229891942,10738674881,25580,24378239113
"scan eBPF program with file YARA rules",1,0,1984277,1984277,1984277,1984277,15790,15790,15790,15790
"check for C2 IOCs",8,0,1936669,242083,65826,925957,92106276614,11513284576,917968672,24085764934
"retrieve interesting process memory",68,0,1594754,23452,3066,112024,730229891942,10738674881,25580,24378239113
"truncate unimportant process memory sections",68,0,1069475,15727,6021,82788,730229891942,10738674881,25580,24378239113
"unpack UPX",3,0,884039,294679,273452,320773,12385999475,4128666491,3032774108,5374572224
"log md5 to csv",38,0,505996,13315,129,60646,30152816644,793495174,4429,4880065610
"check file mode",156,0,252458,1618,921,6212,393089945235,2519807341,43823,5133968411
"check for known evil services",156,0,235273,1508,1132,4499,393089945235,2519807341,43823,5133968411
"parse mail",5,0,113046,22609,8766,62609,17101379306,3420275861,1722450783,5668593394
"scan dependent files",35,0,17641,504,240,1352,139474995,3984999,23746,7646473
"check for port 0",6,0,9678,1613,821,2024,88249782172,14708297028,917968672,24085764934
"check if profile is recent",1,0,9167,9167,9167,9167,3887,3887,3887,3887
"check for network pipes",6,0,4749,791,311,1303,88249782172,14708297028,917968672,24085764934
