Time;CPU
1057; 34.00
2119; 21.00
3177; 20.00
4234; 19.00
5291; 22.00
6352; 32.00
7412; 30.00
8476; 39.00
9544; 26.00
10601; 18.00
11659; 17.00
12716; 16.00
13773; 18.00
14831; 20.00
15892; 22.00
16952; 17.00
18014; 19.00
19075; 18.00
20135; 17.00
21197; 17.00
22256; 18.00
23316; 17.00
24375; 17.00
25435; 17.00
26492; 17.00
27552; 17.00
28611; 17.00
29671; 17.00
30728; 17.00
31785; 17.00
32843; 18.00
33899; 18.00
34957; 18.00
36018; 17.00
37077; 17.00
38136; 17.00
39194; 17.00
40255; 17.00
41316; 17.00
42374; 17.00
43433; 19.00
44491; 17.00
45550; 17.00
46611; 17.00
47671; 17.00
48730; 17.00
49788; 17.00
50847; 17.00
51907; 17.00
52966; 16.00
54025; 17.00
55084; 17.00
56144; 17.00
57205; 17.00
58261; 17.00
59319; 17.00
60379; 17.00
61439; 17.00
62499; 17.00
63557; 17.00
64617; 17.00
65675; 17.00
66736; 17.00
67794; 17.00
68854; 17.00
69913; 17.00
70971; 17.00
72031; 17.00
73091; 17.00
74150; 17.00
75211; 17.00
76269; 17.00
77328; 17.00
78390; 16.00
79450; 17.00
80512; 16.00
81572; 17.00
82630; 16.00
83688; 17.00
84746; 17.00
85805; 17.00
86864; 17.00
87925; 17.00
88983; 17.00
90042; 17.00
91099; 17.00
92158; 16.00
93218; 17.00
94276; 17.00
95334; 20.00
96393; 27.00
97456; 26.00
98519; 35.00
99583; 25.00
100646; 21.00
101710; 24.00
102767; 17.00
103825; 17.00
104881; 16.00
105937; 18.00
106996; 17.00
108053; 20.00
109111; 17.00
110169; 23.00
111226; 22.00
112286; 23.00
113345; 20.00
114401; 21.00
115457; 63.00
116521; 87.00
117591; 97.00
118653; 50.00
119714; 20.00
120772; 29.00
121827; 36.00
122887; 73.00
123958; 64.00
125018; 77.00
126082; 88.00
127147; 86.00
128210; 89.00
129272; 83.00
130340; 37.00
131411; 31.00
132472; 26.00
133532; 19.00
134593; 19.00
135651; 17.00
136709; 16.00
137768; 16.00
138824; 16.00
139881; 16.00
140938; 16.00
141996; 16.00
143054; 24.00
144152; 35.00
145213; 24.00
146273; 55.00
147335; 75.00
148405; 83.00
149469; 89.00
150531; 91.00
151593; 88.00
152658; 96.00
153722; 92.00
154786; 93.00
155862; 89.00
156926; 82.00
157986; 80.00
159047; 83.00
160116; 83.00
161176; 90.00
162238; 97.00
163312; 77.00
164391; 32.00
165453; 16.00
166511; 17.00
167570; 16.00
168627; 16.00
169687; 16.00
170745; 16.00
171804; 36.00
172865; 44.00
173926; 30.00
174984; 16.00
176041; 18.00
177100; 17.00
178157; 16.00
179214; 16.00
180273; 16.00
181332; 16.00
182389; 39.00
183448; 48.00
184505; 58.00
185573; 81.00
186644; 84.00
187711; 87.00
188772; 90.00
189835; 87.00
190897; 88.00
191961; 90.00
193035; 99.00
194098; 91.00
195155; 47.00
196216; 45.00
197274; 45.00
198333; 44.00
199393; 27.00
200454; 38.00
201512; 44.00
202572; 35.00
203633; 36.00
204692; 36.00
205755; 45.00
206814; 38.00
207877; 34.00
208935; 36.00
209994; 43.00
211054; 48.00
212112; 49.00
213171; 50.00
214227; 51.00
215285; 51.00
216344; 51.00
217401; 50.00
218463; 50.00
219521; 51.00
220579; 49.00
221639; 28.00
222697; 30.00
223761; 35.00
224819; 28.00
225878; 26.00
226936; 26.00
227996; 26.00
229057; 26.00
230115; 26.00
231175; 26.00
232234; 27.00
233293; 26.00
234351; 26.00
235409; 27.00
236468; 26.00
237526; 27.00
238586; 26.00
239643; 27.00
240702; 27.00
241760; 25.00
242819; 25.00
243878; 27.00
244937; 27.00
245994; 26.00
247053; 26.00
248111; 27.00
249169; 26.00
250230; 31.00
251310; 48.00
252365; 58.00
