Time;CPU
1056; 17.00
2110; 27.00
3167; 25.00
4223; 37.00
5287; 26.00
6342; 16.00
7395; 15.00
8450; 15.00
9504; 17.00
10556; 19.00
11609; 15.00
12661; 18.00
13714; 19.00
14767; 18.00
15821; 17.00
16875; 26.00
17932; 21.00
18989; 27.00
20043; 24.00
21100; 33.00
22158; 25.00
23215; 16.00
24271; 14.00
25326; 15.00
26380; 15.00
27434; 19.00
28490; 16.00
29543; 14.00
30596; 16.00
31652; 16.00
32707; 15.00
33763; 15.00
34819; 15.00
35875; 14.00
36930; 15.00
37986; 15.00
39040; 15.00
40095; 15.00
41149; 14.00
42203; 15.00
43258; 16.00
44314; 14.00
45369; 15.00
46424; 15.00
47478; 15.00
48534; 14.00
49587; 15.00
50642; 15.00
51697; 14.00
52751; 14.00
53807; 15.00
54861; 15.00
55916; 14.00
56970; 15.00
58024; 16.00
59078; 16.00
60133; 14.00
61186; 15.00
62240; 14.00
63294; 15.00
64352; 15.00
65406; 14.00
66461; 15.00
67516; 15.00
68571; 15.00
69627; 14.00
70681; 15.00
71734; 15.00
72788; 15.00
73842; 14.00
74898; 15.00
75953; 14.00
77008; 15.00
78062; 15.00
79116; 15.00
80170; 15.00
81225; 16.00
82278; 15.00
83333; 14.00
84387; 15.00
85442; 14.00
86498; 15.00
87551; 14.00
88606; 15.00
89662; 16.00
90716; 16.00
91770; 15.00
92826; 13.00
93879; 12.00
94935; 11.00
95991; 11.00
97044; 11.00
98100; 10.00
99153; 38.00
100205; 58.00
101258; 61.00
102310; 54.00
103363; 64.00
104417; 65.00
105471; 66.00
106526; 60.00
107580; 60.00
108633; 54.00
109688; 60.00
110741; 47.00
111795; 41.00
112849; 33.00
113902; 17.00
114950; 20.00
116002; 20.00
117055; 20.00
118110; 19.00
119165; 22.00
120222; 23.00
121276; 23.00
122330; 23.00
123386; 21.00
124441; 21.00
125496; 20.00
126550; 19.00
127604; 19.00
128660; 19.00
129715; 19.00
130769; 19.00
131823; 19.00
132879; 18.00
133931; 19.00
134989; 20.00
136048; 21.00
137101; 20.00
138158; 31.00
139211; 33.00
140263; 30.00
141317; 30.00
142370; 53.00
143424; 54.00
144478; 54.00
145533; 55.00
146585; 53.00
147639; 56.00
148691; 56.00
149746; 56.00
150799; 46.00
151853; 16.00
152911; 23.00
153966; 18.00
155024; 19.00
156080; 22.00
157135; 23.00
158190; 15.00
159244; 15.00
160298; 16.00
161354; 14.00
162410; 18.00
163469; 18.00
164522; 15.00
165578; 15.00
166636; 14.00
167693; 16.00
168749; 14.00
169804; 15.00
170858; 15.00
171913; 15.00
172969; 15.00
174023; 15.00
175076; 15.00
176131; 16.00
177192; 17.00
178254; 17.00
179313; 19.00
180373; 20.00
181432; 17.00
182490; 17.00
183556; 16.00
184614; 19.00
185670; 18.00
186729; 17.00
187789; 17.00
188846; 17.00
189904; 19.00
190967; 17.00
192024; 18.00
193082; 17.00
194142; 19.00
195203; 15.00
196259; 15.00
197315; 16.00
198371; 14.00
199427; 15.00
200483; 14.00
201538; 15.00
202593; 15.00
203647; 14.00
204703; 25.00
205758; 16.00
206814; 16.00
207869; 16.00
208926; 16.00
209982; 19.00
211038; 18.00
212093; 19.00
213147; 17.00
214200; 17.00
215254; 16.00
216308; 15.00
217362; 15.00
218416; 22.00
219475; 17.00
220531; 34.00
221588; 33.00
222643; 36.00
223701; 33.00
224759; 35.00
225815; 36.00
226871; 35.00
227928; 19.00
228986; 17.00
230043; 17.00
231103; 17.00
232162; 17.00
233220; 17.00
234279; 17.00
235338; 17.00
236397; 17.00
237454; 17.00
238513; 17.00
239574; 17.00
240632; 19.00
241688; 17.00
242748; 17.00
243806; 17.00
244867; 17.00
245926; 17.00
246986; 16.00
248045; 17.00
249105; 17.00
250163; 18.00
251221; 18.00
252282; 18.00
253341; 17.00
254399; 17.00
255459; 19.00
256515; 17.00
257581; 16.00
258641; 17.00
259700; 17.00
260760; 18.00
261818; 20.00
262875; 17.00
263932; 17.00
264987; 17.00
266044; 16.00
267102; 17.00
268158; 20.00
269216; 19.00
270273; 19.00
271331; 39.00
272384; 37.00
273444; 20.00
274499; 27.00
275558; 22.00
276615; 19.00
277675; 32.00
278731; 23.00
279789; 18.00
280848; 19.00
281902; 17.00
282958; 16.00
284011; 16.00
285066; 18.00
286124; 16.00
287181; 17.00
288237; 17.00
289292; 17.00
290349; 17.00
291404; 16.00
292459; 17.00
293515; 17.00
294571; 16.00
295630; 16.00
296688; 16.00
297744; 17.00
298802; 17.00
299858; 16.00
300913; 16.00
301967; 17.00
303025; 20.00
304081; 19.00
305138; 16.00
306194; 17.00
307246; 20.00
308306; 20.00
309364; 19.00
310421; 16.00
311481; 17.00
312535; 17.00
313590; 16.00
314643; 17.00
315697; 23.00
316756; 25.00
317814; 31.00
318870; 18.00
319926; 21.00
320983; 18.00
322041; 20.00
323094; 20.00
324149; 22.00
325205; 29.00
326262; 30.00
327315; 32.00
328368; 26.00
329424; 34.00
330477; 32.00
331534; 26.00
332589; 25.00
333642; 27.00
334698; 32.00
335755; 30.00
336809; 39.00
337865; 38.00
338922; 29.00
339980; 22.00
341036; 37.00
342093; 21.00
343146; 43.00
344202; 29.00
345260; 27.00
346315; 28.00
347370; 28.00
348425; 21.00
349483; 29.00
350538; 34.00
351591; 23.00
352649; 24.00
353706; 24.00
354761; 26.00
355818; 30.00
356871; 26.00
357925; 32.00
358982; 29.00
360037; 21.00
361097; 31.00
362150; 46.00
363204; 37.00
364255; 35.00
365308; 24.00
366362; 33.00
367420; 19.00
368476; 21.00
369533; 17.00
370591; 19.00
371648; 18.00
372704; 20.00
373762; 18.00
374820; 20.00
375878; 22.00
376937; 17.00
377995; 18.00
379054; 22.00
380106; 19.00
381166; 25.00
382218; 34.00
383277; 20.00
384336; 51.00
385387; 54.00
386442; 56.00
387496; 53.00
388548; 56.00
389600; 50.00
390652; 55.00
391704; 56.00
392758; 55.00
393812; 52.00
394866; 17.00
395925; 25.00
396981; 23.00
398038; 19.00
399095; 21.00
400157; 19.00
401214; 21.00
402271; 23.00
403328; 23.00
404385; 25.00
405442; 24.00
406500; 24.00
407559; 25.00
408616; 27.00
409672; 27.00
410727; 25.00
411783; 26.00
412840; 20.00
413898; 28.00
414956; 21.00
416010; 24.00
417065; 24.00
418125; 21.00
419183; 22.00
420238; 24.00
421292; 21.00
422349; 23.00
423404; 21.00
424462; 21.00
425519; 22.00
426578; 21.00
427635; 20.00
428691; 23.00
429749; 24.00
430807; 25.00
431867; 27.00
432924; 27.00
433981; 29.00
435037; 24.00
436094; 24.00
437151; 22.00
438212; 27.00
439270; 26.00
440328; 18.00
441386; 18.00
442444; 18.00
443501; 21.00
444559; 26.00
445615; 26.00
446672; 24.00
447729; 24.00
448783; 21.00
449839; 20.00
450898; 21.00
451957; 21.00
453015; 22.00
454074; 21.00
455131; 19.00
456189; 22.00
457246; 25.00
458304; 24.00
459361; 26.00
460417; 26.00
461474; 27.00
462531; 26.00
463588; 28.00
464650; 19.00
465709; 25.00
466766; 22.00
467824; 18.00
468882; 18.00
469939; 18.00
470998; 18.00
472056; 25.00
473114; 23.00
474172; 19.00
475229; 21.00
476286; 19.00
477344; 20.00
478401; 21.00
479462; 20.00
