hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",3414314,2353756,3754329013900,1099585,0,157364330200,165211335292200,48387856,0,35884443800
"scan with file YARA rules",55742,0,1146049320000,20559888,0,10869084300,60999288361000,1094314670,0,34916655400
"scan with meta YARA rules",95828,0,508512013500,5306507,0,9435581800,93740347698200,978214589,0,34916655400
"scan object with YARA",104648,0,304251296400,2907378,0,16936727200,173349735550900,1656503091,0,35884443800
"scan with process YARA rules",119,0,221707732100,1863090185,0,16948988300,1069627679000,8988467890,0,34934615800
"parse CAB archive",26,0,148068793300,5694953588,0,110721557100,43237735300,1662989819,0,8794209000
"apply Sigma rules",2920039,0,80577184000,27594,0,21665600,1927014578638500,659927685,0,35884443800
"parse Shim database",21,0,79869679900,3803318090,0,20991691100,30188639000,1437554238,0,2996646100
"extract process handles",119,0,79687144300,669639868,8032800,16980606000,1069627679000,8988467890,0,34934615800
"parse registry hive",383,0,55586307600,145133962,0,20638078300,201380149900,525796736,0,5155539800
"parse GZIP archive",6632,0,54332917100,8192538,0,1055435800,2960651870300,446419160,0,5136509800
"parse ETL file",234,0,52286733400,223447578,5807400,23815969700,221074925700,944764639,0,5361389400
"parse log file",204,0,51748047200,253666898,0,17216771700,146753214000,719378500,0,8524404400
"parse file content",55742,0,51603647400,925758,0,1114020500,60999288361000,1094314670,0,34916655400
"parse SHIM cache",2,0,27047692700,13523846350,11818614800,15229077900,4156100,2078050,0,4156100
"apply handle IOCs",6414,0,23008635600,3587252,0,4283783600,59382368813000,9258242721,0,35884443800
"schedule scan for executed file",884,0,22910699700,25917081,0,4869561300,513333799700,580694343,0,4340063800
"parse ZIP archive",312,0,21713800900,69595515,0,6911041400,341883923100,1095781804,0,4898857500
"extract process environment variables",119,0,19782118400,166236289,0,3859588200,1069627679000,8988467890,0,34934615800
"scan process for malicious indicators",119,0,19174634800,161131384,1029200,7027987400,1069627679000,8988467890,0,34934615800
