Time_ms;Thor_WorkingSet_MB;Thor_Private_MB;Free_RAM_MB
1;112;112;10301
1030;210;210;10192
2051;241;241;10121
3073;288;288;10070
4096;318;318;10018
5119;325;325;10018
6140;468;468;9864
7164;543;543;9884
8189;394;394;10012
9210;452;452;9945
10231;478;478;9899
11254;430;430;9911
12275;448;448;9897
13295;456;456;9905
14317;476;476;9883
15339;495;495;9863
16360;671;671;9665
17382;662;662;9648
18404;735;735;9593
19426;748;748;9593
20448;817;817;9536
21476;819;819;9495
22499;861;861;9437
23520;817;817;9584
24541;895;895;9501
25563;926;926;9460
26584;987;987;9392
27605;936;936;9405
28627;1005;1005;9337
29646;833;833;9484
30666;812;812;9498
31687;827;827;9477
32708;834;834;9469
33730;839;839;9465
34751;832;832;9468
35772;838;838;9475
36793;829;829;9471
37816;828;828;9459
38837;887;887;9464
39859;827;827;9469
40880;835;835;9443
41902;859;859;9443
42923;817;817;9457
43943;891;891;9390
44964;845;845;9439
45985;837;837;9449
47006;827;827;9459
48028;848;848;9455
49050;839;839;9451
50071;841;841;9450
51092;841;841;9440
52113;909;909;9443
53134;853;853;9443
54159;860;860;9430
55179;892;892;9436
56200;976;976;9431
57221;879;879;9413
58242;865;865;9430
59263;867;867;9423
60285;899;899;9425
61307;882;882;9412
62327;903;903;9412
63349;895;895;9410
64371;888;888;9407
65393;891;891;9403
66413;906;906;9410
67436;938;938;9403
68457;925;925;9384
69478;979;979;9325
70498;927;927;9384
71519;918;918;9384
72540;934;934;9370
73562;956;956;9370
74584;933;933;9375
75605;946;946;9374
76625;933;933;9381
77646;916;916;9392
78667;895;895;9408
79688;894;894;9408
80709;897;897;9406
81730;885;885;9412
82752;904;904;9412
83773;898;898;9404
84794;905;905;9401
85815;904;904;9397
86836;910;910;9388
87857;942;942;9384
88878;926;926;9377
89899;909;909;9388
90920;887;887;9404
91940;889;889;9402
92960;885;885;9413
93981;901;901;9408
95002;864;864;9438
96022;864;864;9438
97041;870;870;9444
98061;870;870;9445
99082;870;870;9445
100102;864;864;9447
101120;856;856;9455
102138;857;857;9453
103159;837;837;9470
104178;802;802;9487
105197;800;800;9487
106216;788;788;9508
107235;794;794;9489
108254;727;727;9526
109273;727;727;9530
110291;696;696;9530
111310;696;696;9536
112328;690;690;9538
113348;690;690;9544
114367;701;701;9529
115388;701;701;9527
116409;701;701;9521
117430;701;701;9514
118451;701;701;9504
119473;701;701;9499
120494;701;701;9485
121516;701;701;9484
122537;701;701;9478
123559;701;701;9482
124581;701;701;9478
125602;701;701;9476
126624;701;701;9480
127646;701;701;9497
128669;701;701;9488
129690;701;701;9488
130711;701;701;9494
131732;701;701;9490
132753;701;701;9482
133773;701;701;9486
134795;701;701;9483
135816;736;736;9458
136837;736;736;9465
137862;791;791;9441
138882;791;791;9442
139902;799;799;9444
140920;829;829;9419
141938;829;829;9426
142958;836;836;9422
143977;858;858;9405
144996;863;863;9406
146016;875;875;9405
147036;894;894;9406
148055;913;913;9413
149074;941;941;9379
150096;985;985;9338
151117;996;996;9351
152139;1033;1033;9309
153161;1030;1030;9306
154182;1031;1031;9303
155203;1031;1031;9303
156224;1207;1207;9238
157245;1272;1272;9224
158267;1222;1222;9202
159288;1275;1275;9202
160309;1325;1325;9196
161331;1249;1249;9074
162352;1312;1312;9082
163375;1382;1382;9054
164395;1428;1428;9053
165416;1303;1303;9042
166437;1448;1448;9041
167458;1495;1495;9037
168480;1545;1545;9024
169501;1386;1386;9010
170523;1457;1457;9008
171544;1501;1501;9007
172565;1412;1412;9005
173586;1448;1448;9004
174607;1263;1263;9043
175628;1260;1260;9039
176650;1262;1262;9039
177672;1262;1262;9039
178694;1258;1258;9039
179715;1258;1258;9038
180736;1258;1258;9038
181757;1268;1268;9036
182779;1279;1279;9031
183801;1291;1291;9025
184823;1291;1291;9026
185845;1115;1115;9185
186867;1115;1115;9185
187888;1115;1115;9185
188910;1115;1115;9185
189932;1115;1115;9185
190954;1115;1115;9185
191975;1115;1115;9185
192997;1260;1260;9094
194018;1324;1324;9091
195039;1349;1349;8997
196060;1446;1446;8999
197081;1524;1524;8957
198103;1440;1440;8958
199125;1496;1496;8957
200147;1382;1382;8927
201167;1458;1458;8951
202189;1500;1500;8946
203210;1391;1391;8924
204232;1371;1371;8939
205253;1374;1374;8938
206275;1370;1370;8941
