Time;CPU
1059; 34.00
2120; 21.00
3177; 20.00
4233; 20.00
5290; 22.00
6355; 30.00
7420; 29.00
8481; 39.00
9545; 25.00
10602; 17.00
11659; 17.00
12717; 16.00
13775; 18.00
14831; 22.00
15894; 20.00
16951; 17.00
18012; 18.00
19074; 18.00
20139; 17.00
21198; 17.00
22258; 17.00
23317; 17.00
24376; 17.00
25435; 17.00
26497; 17.00
27556; 17.00
28615; 17.00
29674; 17.00
30730; 17.00
31789; 17.00
32847; 18.00
33905; 18.00
34964; 17.00
36024; 17.00
37082; 17.00
38140; 17.00
39200; 17.00
40261; 17.00
41320; 17.00
42378; 17.00
43437; 19.00
44497; 17.00
45555; 17.00
46616; 17.00
47675; 17.00
48734; 17.00
49793; 17.00
50852; 17.00
51911; 17.00
52973; 16.00
54031; 17.00
55091; 17.00
56149; 17.00
57211; 17.00
58269; 17.00
59328; 17.00
60387; 17.00
61446; 17.00
62506; 17.00
63563; 17.00
64622; 17.00
65681; 17.00
66738; 17.00
67799; 17.00
68859; 17.00
69918; 17.00
70979; 16.00
72039; 16.00
73099; 17.00
74160; 17.00
75220; 17.00
76278; 17.00
77339; 17.00
78400; 17.00
79460; 17.00
80520; 17.00
81580; 16.00
82638; 17.00
83698; 17.00
84758; 17.00
85818; 16.00
86875; 17.00
87935; 17.00
88994; 17.00
90054; 17.00
91113; 17.00
92172; 17.00
93232; 17.00
94291; 17.00
95350; 19.00
96414; 28.00
97478; 25.00
98542; 35.00
99606; 24.00
100663; 21.00
101725; 24.00
102783; 17.00
103841; 16.00
104898; 16.00
105957; 16.00
107016; 17.00
108073; 21.00
109132; 17.00
110190; 23.00
111249; 20.00
112305; 22.00
113362; 20.00
114419; 20.00
115477; 18.00
116537; 19.00
117599; 18.00
118658; 17.00
119718; 18.00
120775; 18.00
121834; 18.00
122893; 18.00
123952; 18.00
125015; 18.00
126073; 17.00
127130; 18.00
128191; 17.00
129250; 18.00
130309; 17.00
131369; 18.00
132429; 19.00
133488; 19.00
134551; 28.00
135609; 30.00
136668; 20.00
137727; 16.00
138786; 17.00
139842; 16.00
140900; 17.00
141959; 16.00
143019; 17.00
144078; 17.00
145141; 16.00
146199; 16.00
147256; 24.00
148310; 25.00
149368; 24.00
150425; 21.00
151483; 24.00
152544; 17.00
153602; 16.00
154661; 17.00
155719; 16.00
156777; 16.00
157838; 17.00
158896; 16.00
159954; 17.00
161011; 16.00
162069; 22.00
163127; 27.00
164185; 25.00
165246; 17.00
166305; 18.00
167363; 16.00
168424; 17.00
169481; 16.00
170541; 18.00
171599; 18.00
172657; 18.00
173719; 17.00
174777; 16.00
175835; 16.00
176895; 16.00
177954; 16.00
179014; 16.00
180074; 16.00
181132; 19.00
182192; 21.00
183251; 17.00
184309; 17.00
185369; 17.00
