Time;CPU
1058; 17.00
2115; 26.00
3174; 26.00
4230; 36.00
5290; 26.00
6344; 16.00
7400; 14.00
8455; 15.00
9510; 17.00
10567; 20.00
11619; 15.00
12673; 16.00
13728; 15.00
14783; 19.00
15836; 17.00
16891; 23.00
17951; 27.00
19007; 26.00
20065; 33.00
21123; 20.00
22178; 24.00
23235; 22.00
24292; 15.00
25347; 15.00
26403; 15.00
27458; 15.00
28511; 19.00
29568; 17.00
30623; 25.00
31679; 36.00
32733; 38.00
33788; 29.00
34842; 37.00
35897; 31.00
36953; 38.00
38008; 29.00
39065; 29.00
40121; 38.00
41176; 37.00
42231; 29.00
43286; 32.00
44342; 36.00
45398; 43.00
46455; 35.00
47511; 38.00
48565; 29.00
49620; 30.00
50675; 29.00
51728; 32.00
52783; 32.00
53838; 32.00
54893; 41.00
55948; 29.00
57003; 31.00
58059; 32.00
59116; 37.00
60171; 21.00
61226; 11.00
62281; 10.00
63335; 10.00
64388; 11.00
65445; 10.00
66500; 11.00
67554; 36.00
68608; 58.00
69661; 56.00
70714; 52.00
71771; 61.00
72824; 64.00
73876; 63.00
74930; 63.00
75984; 64.00
77037; 63.00
78092; 66.00
79145; 51.00
80199; 58.00
81252; 42.00
82306; 18.00
83363; 20.00
84419; 20.00
85475; 20.00
86532; 19.00
87587; 23.00
88643; 23.00
89699; 23.00
90756; 23.00
91812; 21.00
92867; 20.00
93922; 20.00
94976; 19.00
96032; 20.00
97086; 19.00
98143; 19.00
99200; 19.00
100254; 19.00
101308; 18.00
102362; 19.00
103419; 20.00
104474; 24.00
105530; 38.00
106597; 64.00
107655; 95.00
108711; 92.00
109770; 93.00
110828; 93.00
111883; 92.00
112946; 91.00
114004; 94.00
115062; 94.00
116126; 94.00
117182; 91.00
118239; 64.00
119305; 70.00
120375; 74.00
121432; 44.00
122489; 43.00
123546; 48.00
124603; 43.00
125660; 41.00
126722; 66.00
127784; 51.00
128850; 52.00
129917; 56.00
130984; 48.00
132044; 68.00
133106; 68.00
134169; 57.00
135236; 58.00
136304; 74.00
137375; 66.00
138436; 38.00
139493; 40.00
140551; 35.00
141613; 42.00
142670; 61.00
143733; 60.00
144794; 61.00
145862; 74.00
146937; 60.00
147995; 62.00
149083; 54.00
150152; 63.00
151209; 71.00
152281; 69.00
153344; 74.00
154405; 58.00
155470; 64.00
156537; 67.00
157602; 61.00
158671; 68.00
159743; 63.00
160804; 53.00
161865; 64.00
162928; 72.00
163991; 70.00
165052; 67.00
166114; 70.00
167176; 50.00
168237; 58.00
169297; 58.00
170355; 54.00
171414; 49.00
172478; 56.00
173558; 74.00
174632; 68.00
175697; 76.00
176774; 85.00
177846; 80.00
178910; 81.00
179974; 82.00
181037; 86.00
182103; 91.00
183177; 88.00
184246; 75.00
185302; 91.00
186364; 86.00
187431; 84.00
188501; 84.00
189572; 87.00
190633; 91.00
191697; 85.00
192763; 89.00
193822; 93.00
194892; 86.00
195954; 83.00
197027; 77.00
198096; 87.00
199174; 76.00
200250; 81.00
201329; 80.00
202409; 81.00
203481; 83.00
204556; 84.00
205631; 82.00
206711; 81.00
207784; 82.00
208869; 81.00
209940; 82.00
211011; 79.00
212090; 80.00
213166; 82.00
214245; 79.00
215326; 80.00
216407; 85.00
217490; 77.00
218567; 77.00
219641; 78.00
220715; 78.00
221786; 79.00
222862; 84.00
223933; 79.00
225015; 75.00
226087; 79.00
227182; 79.00
228254; 84.00
229326; 77.00
230400; 77.00
231470; 78.00
232549; 80.00
233623; 84.00
234692; 75.00
235777; 79.00
236848; 80.00
237932; 80.00
239007; 78.00
240083; 78.00
241163; 78.00
242227; 89.00
243288; 83.00
244352; 68.00
245426; 68.00
246499; 72.00
247572; 70.00
248654; 72.00
249724; 89.00
250786; 84.00
251862; 78.00
252942; 76.00
254015; 79.00
255086; 77.00
256167; 76.00
257240; 68.00
258315; 81.00
259381; 83.00
260457; 84.00
261524; 81.00
262580; 66.00
263637; 43.00
264693; 31.00
Overall; 55.00
