Time_ms;Thor_WorkingSet_MB;Thor_Private_MB;Free_RAM_MB
2;118;118;10296
1032;200;200;10196
2054;244;244;10134
3077;297;297;10062
4100;338;338;10006
5122;349;349;9986
6146;412;412;9876
7167;497;497;9907
8189;410;410;10023
9210;451;451;9940
10231;509;509;9893
11253;512;512;9852
12275;478;478;9865
13295;489;489;9868
14316;505;505;9835
15337;541;541;9826
16358;692;692;9692
17380;754;754;9637
18408;760;760;9605
19430;786;786;9579
20451;818;818;9548
21473;885;885;9484
22495;876;876;9482
23516;918;918;9509
24539;987;987;9440
25561;1018;1018;9407
26583;1054;1054;9363
27605;1119;1119;9297
28627;901;901;9470
29647;872;872;9489
30669;797;797;9538
31690;896;896;9463
32713;985;985;9475
33734;1010;1010;9455
34754;991;991;9347
35774;956;956;9400
36795;942;942;9400
37817;903;903;9418
38837;1024;1024;9413
39858;964;964;9395
40881;1053;1053;9349
41902;1097;1097;9380
42922;982;982;9358
43944;994;994;9329
44965;1049;1049;9324
45987;1015;1015;9360
47008;1003;1003;9330
48029;1007;1007;9327
49050;997;997;9335
50069;999;999;9336
51089;993;993;9342
52110;994;994;9342
53130;968;968;9370
54149;922;922;9414
55167;914;914;9416
56186;920;920;9407
57205;914;914;9404
58224;891;891;9428
59243;895;895;9428
60261;854;854;9445
61281;854;854;9448
62299;790;790;9492
63318;790;790;9494
64337;790;790;9496
65356;790;790;9492
66375;790;790;9496
67394;790;790;9499
68413;795;795;9484
69434;795;795;9478
70456;795;795;9471
71477;795;795;9476
72498;795;795;9485
73520;795;795;9479
74541;795;795;9454
75563;795;795;9448
76585;795;795;9448
77606;795;795;9453
78627;795;795;9454
79650;795;795;9446
80672;795;795;9446
81692;795;795;9448
82713;795;795;9449
83734;795;795;9444
84756;795;795;9449
85778;795;795;9447
86799;795;795;9452
87820;795;795;9450
88842;795;795;9450
89862;883;883;9452
90882;889;889;9468
91903;1116;1116;9204
92923;1139;1139;9196
93944;1310;1310;9030
94967;1442;1442;8889
95988;1466;1466;8862
97007;1515;1515;8828
98027;1562;1562;8765
99047;1581;1581;8750
100068;1625;1625;8712
101089;1770;1770;8563
102109;1839;1839;8501
103129;1843;1843;8499
104149;1975;1975;8367
105171;1991;1991;8361
106193;2120;2120;8237
107233;2142;2142;8224
108259;2195;2195;8151
109291;2316;2316;8015
110320;2327;2327;8001
111349;2290;2290;8005
112378;2230;2230;8055
113408;2194;2194;8095
114435;2195;2195;8096
115461;2199;2199;8098
116488;2258;2258;8086
117512;2333;2333;7994
118538;2727;2727;7810
119573;2816;2816;7805
120609;2897;2897;7774
121637;2807;2807;7731
122664;2826;2826;7733
123692;2856;2856;7724
124720;2562;2562;7760
125753;2644;2644;7659
126780;2713;2713;7585
127805;2696;2696;7601
128835;2697;2697;7601
129863;2703;2703;7595
130897;2700;2700;7619
131928;2514;2514;7783
132957;2453;2453;7840
133986;2453;2453;7840
135015;2464;2464;7835
136051;2477;2477;7827
137077;2520;2520;7754
138104;2693;2693;7719
139131;2720;2720;7719
140169;2748;2748;7710
141202;2801;2801;7691
142233;2624;2624;7686
143259;2591;2591;7726
144290;2585;2585;7725
145329;2528;2528;7773
146362;2767;2767;7539
147386;2785;2785;7523
148415;2777;2777;7522
149441;2777;2777;7522
150472;2826;2826;7485
151501;2921;2921;7404
152529;2923;2923;7394
153553;2942;2942;7377
154584;2973;2973;7381
155614;3142;3142;7362
156637;3153;3153;7315
157661;3024;3024;7338
158689;3003;3003;7335
159716;2968;2968;7343
160743;3100;3100;7225
161781;3099;3099;7216
162807;2970;2970;7287
163833;2791;2791;7461
164858;2722;2722;7538
165890;2725;2725;7577
166920;2718;2718;7612
167956;2797;2797;7614
169000;2834;2834;7608
170024;2913;2913;7552
171047;2832;2832;7459
172075;2833;2833;7458
173106;2847;2847;7452
174139;2906;2906;7395
175172;2930;2930;7374
176198;2956;2956;7346
177218;2923;2923;7443
178239;3061;3061;7444
179260;3194;3194;7417
180285;2862;2862;7413
181312;2826;2826;7452
182338;3046;3046;7258
183364;3037;3037;7257
184396;3036;3036;7256
185423;3036;3036;7256
186452;3038;3038;7256
187480;3045;3045;7250
188508;3077;3077;7305
189545;3158;3158;7289
190568;3199;3199;7258
191590;3125;3125;7127
192618;3132;3132;7114
193648;3132;3132;7115
194678;3132;3132;7116
195706;3136;3136;7119
196729;3146;3146;7117
197760;3085;3085;7252
198791;3106;3106;7262
199815;3189;3189;7212
200846;3046;3046;7190
201872;3010;3010;7218
202900;3010;3010;7218
203928;2994;2994;7236
204959;3003;3003;7224
205988;2740;2740;7470
207011;2657;2657;7540
208037;2836;2836;7401
209064;2819;2819;7405
210090;2819;2819;7405
211115;2819;2819;7408
212144;2898;2898;7353
213167;2556;2556;7549
214192;2817;2817;7381
215230;2936;2936;7406
216254;3133;3133;7240
217283;3289;3289;7109
218308;3041;3041;7143
219341;2960;2960;7210
220367;2880;2880;7288
221401;2928;2928;7288
222429;2565;2565;7633
223452;2677;2677;7509
224474;2664;2664;7523
225498;0;0;10406
