hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",1273559,395889,1392506818343,1093397,3366,21714199241,55767762008185,43788911,0,4542414517
"scan with file YARA rules",105881,0,493966162883,4665295,1404970,4702362121,25212608426570,238122122,7244,1178916998
"scan with meta YARA rules",249150,0,225264552370,904132,94901,4689115313,51242424156533,205668971,7244,1801840444
"scan object with YARA",50038,0,128969642467,2577433,360238,3011354924,16088220700832,321520058,7244,4542414517
"scan with process YARA rules",68,0,73644110257,1083001621,42332816,5119717845,42498658927,624980278,18185,3510025052
"apply Sigma rules",994924,0,66885546444,67226,7114,61769898,206902506652352,207958101,963,4542414517
"compare to ThorDB",156,0,45862284279,293989001,44304208,366333498,338880610364,2172311604,13627,4542414517
"parse log file",135,0,42539117171,315104571,3787,3309533458,43303678043,320767985,7244,1043979813
"parse GZIP archive",10164,0,33979011408,3343074,48222,2842048771,2809582970226,276424928,7244,1160046818
"schedule scan for symlink target",59506,0,30380176805,510539,7514,2757722136,8084431020705,135859090,7244,1801840444
"parse ZIP archive",190,0,22101128005,116321726,191055,8690681541,93386157521,491506092,7244,1162656167
"check file excludes",90360,0,20083572819,222261,120,329793476,21440132212669,237274592,7244,1801840444
"parse file content",105881,0,19982170189,188722,2264,654627258,25212608426570,238122122,7244,1178916998
"scan object's command line with YARA",68,0,8473011065,124603103,825004,2926056605,42498658927,624980278,18185,3510025052
"check process excludes",207,0,6522581710,31510056,210,3705337714,118491655138,572423454,9859,3514133303
"add meta information",45674,0,5378326152,117754,1813,42332535,15258048994381,334064215,7244,1801840444
"scan process for malicious indicators",68,0,3824704929,56245660,84571,2904804881,42498658927,624980278,18185,3510025052
"check if file was already scanned",308856,0,3721622521,12049,110,36648467,59248028811976,191830590,7244,1801840444
"parse journald format",5,0,3342335747,668467149,27430397,2665457216,436456835,87291367,62249643,132223928
"check file existence",308989,0,2430070723,7864,120,5511579,59298529179022,191911456,7244,1801840444
"check with STIX IOCs",105881,0,1541164067,14555,752,6800366,25212608426570,238122122,7244,1178916998
"apply hash IOCs",105881,0,818338694,7728,2053,4524264,25212608426570,238122122,7244,1178916998
"search for Cobalt Strike beacons",179867,0,796008905,4425,791,3586243,41097492192323,228488228,7244,3510025052
"store time information about deep scan",105881,0,781972153,7385,601,16109943,25212608426570,238122122,7244,1178916998
"check if object should be logged",994924,0,766511185,770,210,2916416,206902506652352,207958101,963,4542414517
"apply false positive filters",994924,0,542521471,545,200,5312728,206902506652352,207958101,963,4542414517
"limit frequent matches",994924,0,496923179,499,130,13723639,206902506652352,207958101,963,4542414517
"deduplicate reasons",249150,0,486753838,1953,110,3027758,51242424156533,205668971,7244,1801840444
"check if deep scan is needed",249150,0,366636907,1471,180,3165290,51242424156533,205668971,7244,1801840444
"log object",502,0,351528111,700255,1222,6689667,392759616086,782389673,7244,4542414517
"check for C2 IOCs",8,0,320977296,40122162,64263,318802202,3278196,409774,8096,1124145
"parse TARGZ archive",1,0,180111252,180111252,180111252,180111252,64833755,64833755,64833755,64833755
"check if maximum file size is exceeded",249150,0,170353777,683,111,2931776,51242424156533,205668971,7244,1801840444
"fill in interesting content",249150,0,119874316,481,160,2974807,51242424156533,205668971,7244,1801840444
"log file",249150,0,90886933,364,109,3484098,51242424156533,205668971,7244,1801840444
"enrich finding with file information",45,0,40477645,899503,20369,20577860,6172575197,137168337,7244,655684326
"extract process handles",68,0,34851308,512519,210682,3272205,42498658927,624980278,18185,3510025052
"parsing Firefox history",1,0,28554441,28554441,28554441,28554441,304849916,304849916,304849916,304849916
"parse authorized_keys format",1,0,23605026,23605026,23605026,23605026,448131876,448131876,448131876,448131876
"extract process environment variables",68,0,19515588,286993,114589,1338986,42498658927,624980278,18185,3510025052
"initialize process memory reader",68,0,14014653,206097,97136,1490414,42498658927,624980278,18185,3510025052
"truncate long values",502,0,12776355,25450,561,3747621,392759616086,782389673,7244,4542414517
"parse OLE format",14,0,9137428,652673,64372,3194065,6314315352,451022525,7244,1062248506
"parse TAR archive",1,0,5252783,5252783,5252783,5252783,7244,7244,7244,7244
"schedule scan for executable",156,0,4739463,30381,11852,71397,338880610364,2172311604,13627,4542414517
"parse system crontab",3,0,3910213,1303404,25700,3802317,154934107,51644702,25496206,65115442
"truncate unimportant process memory sections",68,0,2731626,40170,4870,1702509,42498658927,624980278,18185,3510025052
"log md5 to csv",38,0,2154935,56708,130,1579284,5194760068,136704212,7244,655684326
"scan eBPF program with file YARA rules",1,0,2026577,2026577,2026577,2026577,15890,15890,15890,15890
"retrieve interesting process memory",68,0,1600233,23532,2305,164163,42498658927,624980278,18185,3510025052
"analyze process connection",68,0,1176599,17302,1724,454748,42498658927,624980278,18185,3510025052
"unpack UPX",3,0,889426,296475,265275,322125,876509234,292169744,7244,655684326
"check file mode",156,0,397501,2548,551,5992,338880610364,2172311604,13627,4542414517
"check for known evil services",156,0,277903,1781,1112,3967,338880610364,2172311604,13627,4542414517
"parse mail",5,0,108667,21733,13445,45026,1753207296,350641459,212717717,645721583
"scan dependent files",35,0,20959,598,220,1753,48731185,1392319,13667,5079814
"check for port 0",6,0,12275,2045,1243,2986,1411595,235265,8096,1050164
"check if profile is recent",1,0,7323,7323,7323,7323,10300,10300,10300,10300
"check for network pipes",6,0,4111,685,331,1283,1411595,235265,8096,1050164
