Time;CPU
1054; 17.00
2112; 26.00
3173; 25.00
4231; 37.00
5291; 26.00
6348; 17.00
7403; 14.00
8455; 15.00
9509; 16.00
10561; 21.00
11613; 15.00
12667; 17.00
13722; 18.00
14775; 19.00
15832; 17.00
16887; 22.00
17943; 24.00
19003; 25.00
20060; 25.00
21117; 28.00
22175; 30.00
23234; 18.00
24288; 17.00
25342; 14.00
26397; 15.00
27453; 15.00
28508; 19.00
29564; 15.00
30620; 19.00
31675; 40.00
32731; 37.00
33787; 33.00
34842; 32.00
35899; 29.00
36955; 33.00
38011; 34.00
39067; 28.00
40120; 34.00
41173; 37.00
42229; 34.00
43283; 29.00
44338; 36.00
45397; 58.00
46453; 58.00
47508; 41.00
48563; 29.00
49617; 29.00
50673; 30.00
51728; 32.00
52783; 39.00
53839; 45.00
54897; 46.00
55953; 42.00
57008; 36.00
58070; 30.00
59125; 17.00
60178; 14.00
61235; 17.00
62287; 14.00
63341; 21.00
64394; 60.00
65448; 56.00
66501; 57.00
67557; 51.00
68611; 64.00
69664; 62.00
70717; 60.00
71772; 63.00
72826; 62.00
73878; 57.00
74930; 52.00
75985; 57.00
77039; 63.00
78093; 19.00
79148; 19.00
80203; 21.00
81260; 19.00
82315; 19.00
83369; 19.00
84424; 22.00
85480; 23.00
86534; 23.00
87589; 23.00
88646; 20.00
89702; 20.00
90757; 19.00
91811; 19.00
92865; 19.00
93920; 20.00
94975; 19.00
96029; 20.00
97084; 19.00
98139; 18.00
99196; 20.00
100251; 19.00
101303; 30.00
102359; 26.00
103423; 79.00
104479; 88.00
105537; 96.00
106595; 97.00
107656; 97.00
108715; 96.00
109775; 93.00
110835; 97.00
111901; 98.00
112961; 98.00
114018; 99.00
115074; 73.00
116129; 48.00
117194; 47.00
118249; 44.00
119306; 53.00
120382; 69.00
121441; 44.00
122504; 39.00
123561; 57.00
124628; 79.00
125697; 76.00
126760; 59.00
127824; 53.00
128884; 50.00
129947; 43.00
131004; 61.00
132066; 75.00
133126; 90.00
134190; 84.00
135251; 81.00
136321; 77.00
137387; 77.00
138462; 78.00
139532; 79.00
140603; 77.00
141682; 78.00
142767; 76.00
143840; 78.00
144913; 76.00
145987; 80.00
147061; 75.00
148138; 76.00
149209; 76.00
150280; 77.00
151352; 77.00
152420; 79.00
153491; 78.00
154554; 77.00
155635; 77.00
156697; 77.00
157767; 76.00
158846; 75.00
159922; 74.00
160999; 79.00
162070; 75.00
163134; 68.00
164199; 66.00
165265; 52.00
166342; 72.00
167419; 51.00
168477; 29.00
169535; 33.00
170598; 56.00
171680; 74.00
172753; 72.00
173823; 58.00
174889; 53.00
175951; 62.00
177013; 60.00
178076; 64.00
179158; 68.00
180227; 66.00
181295; 75.00
182363; 85.00
183422; 90.00
184484; 80.00
185560; 79.00
186631; 83.00
187713; 79.00
188782; 79.00
189864; 79.00
190940; 79.00
192013; 80.00
193083; 79.00
194155; 79.00
195227; 77.00
196297; 85.00
197364; 67.00
198439; 79.00
199514; 79.00
200581; 80.00
201645; 63.00
202707; 62.00
203764; 29.00
204820; 29.00
205879; 66.00
206953; 68.00
208016; 62.00
209078; 74.00
210138; 50.00
211196; 57.00
212258; 78.00
213325; 80.00
214381; 88.00
215440; 82.00
216502; 80.00
217574; 90.00
218639; 84.00
219706; 82.00
220771; 80.00
221845; 81.00
222923; 80.00
224003; 81.00
225072; 81.00
226156; 79.00
227226; 79.00
228291; 74.00
229366; 81.00
230442; 76.00
231522; 84.00
232580; 55.00
233645; 60.00
234711; 51.00
235773; 37.00
236828; 29.00
237884; 56.00
238942; 53.00
240000; 85.00
241068; 80.00
242134; 71.00
243203; 74.00
244267; 81.00
245324; 85.00
246386; 87.00
247450; 82.00
248522; 81.00
249590; 85.00
250674; 80.00
251742; 82.00
252814; 79.00
253885; 80.00
254953; 80.00
256018; 77.00
257091; 78.00
258154; 77.00
259231; 75.00
260293; 78.00
261363; 66.00
262419; 66.00
263495; 30.00
264550; 5.00
Overall; 55.00
