hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",3413809,1830298,3663433854000,1073122,0,109836075400,156266865181800,45774929,0,58884541900
"scan with file YARA rules",55744,0,1158232520700,20777707,0,10285474000,77287683620200,1386475380,0,57526537500
"scan with meta YARA rules",95830,0,549861322300,5737882,0,10272267500,114607662811600,1195947644,0,57526537500
"scan object with YARA",99738,0,285973880500,2867251,0,10656138300,217694232525600,2182660896,0,58884541900
"scan with process YARA rules",119,0,218035962100,1832234975,0,16760129400,3280116714500,27564006004,0,58884541900
"parse CAB archive",26,0,156741346400,6028513323,0,116891300500,60482924300,2326266319,0,13393447500
"apply Sigma rules",2919536,0,82836916600,28373,0,52882300,1617093396831100,553887123,0,58884541900
"parse Shim database",21,0,75011079800,3571956180,2013100,25846837300,66744843200,3178325866,0,13323497600
"parse GZIP archive",6632,0,61029749400,9202314,0,3889655500,5641179887800,850600103,0,11732698200
"parse file content",55744,0,51521754400,924256,0,1509440900,77287683620200,1386475380,0,57526537500
"parse registry hive",383,0,50014651500,130586557,0,18884988500,366333255600,956483696,0,10102728700
"parse ETL file",234,0,44046914500,188234677,3761200,21342630300,411311868000,1757743025,0,13278763200
"parse log file",205,0,43682000100,213082927,0,14128150100,215590342100,1051660205,0,14335208400
"parse ZIP archive",312,0,36317971500,116403754,0,20619373800,560023549100,1794947272,0,7121130900
"scan object's command line with YARA",119,0,28215960900,237108915,0,16728941800,3280116714500,27564006004,0,58884541900
"parse SHIM cache",2,0,27268314800,13634157400,9438015200,17830299600,10293300,5146650,0,10293300
"schedule scan for executed file",884,0,27005674800,30549405,0,5017605800,1929419023300,2182600705,0,11132545600
"extract process environment variables",119,0,23901581000,200853621,0,10658647400,3280116714500,27564006004,0,58884541900
"extract process handles",119,0,19974640600,167854122,8068900,8441566100,3280116714500,27564006004,0,58884541900
"parse Amcache",4,0,18665720000,4666430000,0,18665720000,3939936400,984984100,846095600,1387361100
"parsing Chrome history",5,0,14917967900,2983593580,8633700,14846007200,3106499600,621299920,0,2313150400
"scan process for malicious indicators",119,0,13704116500,115160642,1047600,1624194800,3280116714500,27564006004,0,58884541900
"check file existence",107715,0,13602294300,126280,0,6731800,124768247585800,1158318224,0,57526537500
"parse CHM file",23,0,13231351600,575276156,70110200,1620183800,14997107800,652048165,0,2860940800
"check file excludes",24782,0,10385897300,419090,0,3919507900,30661625730100,1237253883,0,57526537500
"scan entry",726,0,10142707300,13970671,0,975564600,1756091941800,2418859423,1387361100,18624008200
"add meta information",21144,0,8137290500,384851,0,1263663100,27515442071200,1301335701,0,57526537500
"check if file was already scanned",106543,0,7114277800,66773,0,6721800,124063912000300,1164449208,0,57526537500
"enrich finding with file information",336,0,5503515500,16379510,0,3921656100,126627832200,376868548,0,11562915300
"parse OLE format",22,0,5219626100,237255731,0,4625312600,14113972200,641544190,0,4390511000
"analyze prefetch file",343,0,4658925200,13582872,0,1474719400,386425604500,1126605260,0,2216361700
"parse RAR archive",15,0,3355685100,223712340,0,2831550100,45826915200,3055127680,10293300,19703020400
"check process excludes",133,0,2935691500,22072868,0,2164841100,3660508089500,27522617214,0,58884541900
"check with STIX IOCs",1149956,0,1681575800,1462,0,16279800,525180977558600,456696584,0,57526537500
"check if object should be logged",2919536,0,1501754900,514,0,2538500,1617093396831100,553887123,0,58884541900
"apply false positive filters",2919536,0,1213912700,415,0,2519900,1617093396831100,553887123,0,58884541900
"log object",73762,0,1208745300,16387,0,13778100,92853057228800,1258819679,0,58884541900
"parse PowerShell module cache",1,0,1196067100,1196067100,1196067100,1196067100,1499581100,1499581100,1499581100,1499581100
"scan SHIM cache entry for executed file",884,0,1106963900,1252221,0,343129700,1929419023300,2182600705,0,11132545600
"limit frequent matches",2919536,0,925294800,316,0,2545100,1617093396831100,553887123,0,58884541900
"check for suspicious locations",885,0,904238500,1021738,0,458447800,1929419023300,2180134489,0,11132545600
"parse Atjobs file",237,0,864310000,3646877,0,143374700,340741182000,1437726506,0,2991929600
"parse SRUM database",1,0,765852400,765852400,765852400,765852400,2462301300,2462301300,2462301300,2462301300
"apply hash IOCs",55744,0,510981800,9166,0,5831900,77287683620200,1386475380,0,57526537500
"parse ESE database",8,0,470318000,58789750,0,362787300,17009780300,2126222537,0,5759015800
"check size",1094212,0,427031300,390,0,2523600,447893293938400,409329539,0,6025370400
"search for Cobalt Strike beacons",81176,0,414798700,5109,0,2514300,105430936379900,1298794426,0,58884541900
"store time information about deep scan",55744,0,377312300,6768,0,2516000,77287683620200,1386475380,0,57526537500
"apply handle IOCs",6414,0,309665700,48279,0,6610300,50559236508800,7882637435,0,58884541900
"check for suspicious event ID",297510,0,304402800,1023,0,5287700,292614698587900,983545758,0,13278763200
"deduplicate reasons",95830,0,291024300,3036,0,2513100,114607662811600,1195947644,0,57526537500
"scan scheduled task image",180,0,242287200,1346040,0,40451600,46125885300,256254918,0,579933900
"check if deep scan is needed",95830,0,176614700,1843,0,5476000,114607662811600,1195947644,0,57526537500
"parse WMI persistence file",1,0,108972300,108972300,108972300,108972300,0,0,0,0
"check if maximum file size is exceeded",95830,0,95888500,1000,0,2077900,114607662811600,1195947644,0,57526537500
"truncate long values",2477,0,77381700,31240,0,2508000,5496581942900,2219048018,0,58884541900
"fill in interesting content",95830,0,44479300,464,0,2111500,114607662811600,1195947644,0,57526537500
"log found WER report",12,0,42436700,3536391,1064600,7410100,12939179000,1078264916,0,2296285900
"parse jumplist file",11,0,34022400,3092945,0,15095500,6643380600,603943690,0,2257009900
"log file",95830,0,30870400,322,0,2066200,114607662811600,1195947644,0,57526537500
"parse LNK format",184,0,23340100,126848,0,3771000,165464826900,899265363,0,3895642900
"compare to ThorDB",1,0,15844700,15844700,15844700,15844700,0,0,0,0
"compare cache to last scan",2,0,13193800,6596900,6017800,7176000,10293300,5146650,0,10293300
"check for webserver directory",6414,0,11728400,1828,0,2013000,50559236508800,7882637435,0,58884541900
"scan with pipe IOCs",41,0,8421700,205407,0,532100,376815700,9190626,0,16891800
"check for service overlap",683,0,4623600,6769,0,2005100,13726153700,20096857,0,143564400
"WER",12,0,4221800,351816,0,544500,12939179000,1078264916,0,2296285900
"truncate unimportant process memory sections",110,0,4191800,38107,0,2054600,3198788769200,29079897901,0,58884541900
"initialize process memory reader",119,0,3708700,31165,0,567800,3280116714500,27564006004,0,58884541900
