Time;CPU
1062; 34.00
2122; 21.00
3179; 20.00
4238; 19.00
5294; 21.00
6365; 30.00
7428; 29.00
8490; 40.00
9551; 26.00
10609; 17.00
11664; 17.00
12723; 16.00
13779; 18.00
14840; 20.00
15905; 22.00
16962; 17.00
18022; 18.00
19083; 18.00
20143; 18.00
21204; 17.00
22263; 17.00
23323; 17.00
24382; 17.00
25442; 17.00
26502; 17.00
27562; 17.00
28623; 17.00
29683; 17.00
30743; 17.00
31800; 17.00
32857; 18.00
33915; 18.00
34975; 17.00
36036; 17.00
37096; 17.00
38155; 17.00
39216; 17.00
40275; 17.00
41335; 17.00
42395; 18.00
43454; 19.00
44513; 17.00
45574; 17.00
46633; 17.00
47693; 17.00
48751; 17.00
49812; 17.00
50871; 17.00
51931; 17.00
52991; 16.00
54053; 17.00
55111; 17.00
56171; 17.00
57229; 17.00
58290; 17.00
59349; 17.00
60408; 17.00
61469; 17.00
62530; 17.00
63589; 17.00
64648; 17.00
65707; 17.00
66766; 17.00
67824; 17.00
68886; 17.00
69944; 17.00
71004; 17.00
72064; 17.00
73125; 17.00
74183; 16.00
75242; 17.00
76302; 17.00
77363; 17.00
78423; 17.00
79483; 17.00
80542; 17.00
81602; 17.00
82661; 17.00
83718; 17.00
84778; 17.00
85839; 17.00
86899; 17.00
87958; 17.00
89015; 17.00
90074; 17.00
91135; 17.00
92196; 17.00
93255; 17.00
94315; 17.00
95375; 20.00
96436; 25.00
97493; 25.00
98553; 25.00
99613; 29.00
100681; 32.00
101742; 20.00
102800; 19.00
103857; 16.00
104915; 16.00
105972; 16.00
107029; 17.00
108087; 20.00
109147; 17.00
110204; 20.00
111264; 22.00
112324; 22.00
113381; 20.00
114436; 20.00
115493; 30.00
116557; 50.00
117624; 50.00
118691; 50.00
119762; 50.00
120824; 45.00
121889; 28.00
122946; 20.00
124004; 30.00
125062; 37.00
126123; 22.00
127182; 22.00
128244; 31.00
129305; 32.00
130367; 30.00
131427; 32.00
132488; 53.00
133546; 36.00
134604; 41.00
135662; 31.00
136724; 31.00
137786; 30.00
138845; 49.00
139903; 40.00
140962; 34.00
142024; 31.00
143083; 32.00
144143; 36.00
145203; 34.00
146263; 34.00
147328; 34.00
148386; 33.00
149446; 36.00
150506; 30.00
151564; 36.00
152621; 33.00
153680; 34.00
154741; 35.00
155800; 31.00
156861; 41.00
157922; 32.00
158983; 49.00
160044; 40.00
161104; 40.00
162167; 37.00
163225; 61.00
164287; 53.00
165345; 33.00
166407; 54.00
167469; 41.00
168531; 30.00
169593; 42.00
170652; 53.00
171717; 36.00
172775; 44.00
173832; 34.00
174889; 52.00
175949; 52.00
177012; 42.00
178070; 50.00
179131; 33.00
180189; 32.00
181252; 44.00
182313; 48.00
183371; 47.00
184439; 44.00
185502; 46.00
186565; 44.00
187626; 41.00
188686; 37.00
189742; 51.00
190802; 42.00
191863; 45.00
192926; 31.00
193988; 31.00
195049; 42.00
196110; 44.00
197169; 45.00
198233; 47.00
199292; 47.00
200353; 46.00
201413; 44.00
202472; 31.00
203533; 32.00
204607; 48.00
205670; 44.00
206730; 42.00
207792; 40.00
208851; 32.00
209911; 33.00
210971; 45.00
212031; 48.00
213089; 40.00
214148; 33.00
215206; 33.00
216269; 35.00
217329; 37.00
218387; 64.00
219445; 50.00
220505; 65.00
221564; 48.00
222627; 59.00
223693; 47.00
224755; 44.00
225816; 30.00
226875; 17.00
227935; 16.00
228994; 34.00
230059; 39.00
231124; 35.00
232183; 35.00
233244; 42.00
234304; 36.00
235363; 24.00
236424; 39.00
237484; 35.00
238545; 34.00
239602; 28.00
240665; 40.00
241726; 42.00
242783; 49.00
243841; 48.00
244899; 49.00
245957; 50.00
247015; 51.00
248073; 50.00
249131; 50.00
250187; 49.00
251245; 50.00
252305; 37.00
253364; 26.00
254421; 29.00
255482; 26.00
256540; 26.00
257598; 26.00
258656; 26.00
259712; 26.00
260770; 26.00
261829; 25.00
262886; 27.00
263943; 27.00
264999; 26.00
266054; 26.00
267111; 27.00
268167; 29.00
269225; 27.00
270282; 28.00
271339; 26.00
272397; 26.00
273457; 26.00
274514; 26.00
275574; 27.00
276632; 25.00
277688; 27.00
278747; 27.00
279809; 27.00
280865; 26.00
281924; 32.00
282994; 45.00
284052; 57.00
285109; 58.00
286167; 70.00
287229; 55.00
288287; 55.00
289345; 52.00
290403; 74.00
291465; 96.00
292525; 90.00
293586; 99.00
294642; 91.00
295703; 94.00
296762; 96.00
297824; 76.00
298887; 58.00
299950; 66.00
301011; 83.00
302076; 78.00
303135; 73.00
304193; 74.00
305256; 76.00
306323; 92.00
307386; 56.00
308451; 88.00
309513; 65.00
310579; 63.00
311649; 86.00
312716; 89.00
313782; 83.00
314858; 83.00
315923; 98.00
316988; 78.00
318058; 72.00
319121; 73.00
320184; 33.00
321245; 16.00
322303; 50.00
323366; 90.00
324428; 57.00
325489; 89.00
326550; 99.00
327610; 58.00
328671; 30.00
329731; 30.00
330791; 36.00
331854; 70.00
332917; 77.00
333977; 60.00
335045; 62.00
336115; 54.00
337187; 65.00
338256; 52.00
339316; 16.00
340374; 16.00
341431; 17.00
342489; 56.00
343549; 66.00
344610; 16.00
345668; 36.00
346728; 16.00
347785; 16.00
348843; 32.00
349908; 80.00
350967; 50.00
352024; 68.00
353084; 72.00
354142; 45.00
355198; 17.00
356259; 17.00
357317; 76.00
358382; 27.00
359439; 26.00
360496; 36.00
361553; 52.00
362609; 67.00
363670; 67.00
364735; 75.00
365800; 74.00
366866; 64.00
367928; 65.00
368989; 64.00
370056; 64.00
371121; 64.00
372183; 64.00
373248; 64.00
374310; 65.00
375370; 66.00
376431; 64.00
377491; 64.00
378553; 64.00
379617; 64.00
380691; 63.00
381752; 64.00
382814; 67.00
383879; 76.00
384945; 93.00
386012; 94.00
387079; 87.00
388142; 66.00
389205; 73.00
390274; 97.00
391347; 78.00
392411; 98.00
393480; 91.00
394542; 75.00
395612; 93.00
396684; 91.00
397754; 92.00
398821; 79.00
399885; 75.00
400948; 76.00
402015; 69.00
403078; 66.00
404147; 89.00
405216; 94.00
406288; 85.00
407353; 69.00
408419; 68.00
409482; 72.00
410555; 68.00
411615; 68.00
412679; 67.00
413744; 66.00
414809; 76.00
415877; 76.00
416945; 65.00
418014; 74.00
419080; 71.00
420147; 85.00
421219; 70.00
422282; 68.00
423348; 69.00
424413; 74.00
425481; 72.00
426549; 68.00
427615; 66.00
428680; 66.00
429745; 68.00
430819; 75.00
431888; 74.00
432952; 69.00
434019; 74.00
435087; 86.00
436152; 68.00
437218; 65.00
438292; 56.00
439349; 60.00
440417; 69.00
441479; 71.00
442551; 81.00
443617; 81.00
444687; 80.00
445754; 67.00
446820; 65.00
447888; 67.00
448951; 75.00
450020; 71.00
451087; 79.00
452156; 68.00
453219; 74.00
454285; 90.00
455356; 90.00
456426; 84.00
457494; 87.00
458561; 72.00
459627; 69.00
460692; 68.00
461754; 70.00
462824; 70.00
463889; 68.00
464953; 68.00
466019; 70.00
467103; 76.00
468173; 82.00
469239; 74.00
470302; 68.00
471370; 76.00
472442; 69.00
473508; 69.00
474574; 70.00
475639; 73.00
476709; 80.00
477775; 75.00
478843; 76.00
479919; 75.00
480984; 66.00
482050; 69.00
483116; 65.00
484184; 68.00
485249; 74.00
486315; 64.00
487379; 65.00
488443; 68.00
489516; 61.00
490583; 65.00
491647; 73.00
492712; 68.00
493777; 66.00
494852; 66.00
495925; 78.00
496989; 72.00
498057; 71.00
499124; 68.00
500193; 64.00
501256; 63.00
502316; 31.00
503378; 38.00
504440; 39.00
505507; 32.00
506570; 36.00
507631; 32.00
508694; 37.00
509759; 32.00
510824; 37.00
511885; 42.00
512948; 39.00
514014; 40.00
515076; 40.00
516143; 38.00
517215; 43.00
518282; 34.00
519348; 46.00
520411; 40.00
521472; 37.00
522534; 39.00
523596; 47.00
524657; 44.00
525720; 44.00
526779; 41.00
527838; 38.00
528900; 39.00
529960; 35.00
531019; 39.00
532082; 37.00
533143; 42.00
534205; 39.00
535269; 38.00
536334; 47.00
537404; 46.00
538465; 43.00
539526; 36.00
540583; 37.00
541649; 51.00
542708; 59.00
543769; 34.00
544832; 33.00
545893; 35.00
546954; 39.00
548017; 47.00
549083; 39.00
550146; 60.00
551214; 41.00
552275; 46.00
553332; 34.00
554392; 41.00
555457; 43.00
556524; 50.00
557589; 42.00
558653; 41.00
559715; 36.00
560781; 44.00
561843; 34.00
562906; 45.00
563970; 70.00
565034; 66.00
566110; 61.00
567177; 40.00
568246; 56.00
569313; 33.00
570374; 33.00
571439; 36.00
572500; 33.00
573561; 35.00
574621; 40.00
575685; 41.00
576758; 40.00
577820; 43.00
578884; 47.00
579951; 48.00
581013; 34.00
582077; 40.00
583141; 40.00
584199; 38.00
585263; 38.00
586328; 40.00
587389; 37.00
588452; 34.00
589511; 36.00
590573; 44.00
591636; 35.00
592696; 39.00
593756; 40.00
594816; 40.00
595875; 36.00
596936; 38.00
597995; 39.00
599059; 36.00
600121; 43.00
601185; 42.00
602252; 40.00
603313; 33.00
604373; 36.00
605437; 37.00
606500; 34.00
607560; 36.00
608624; 41.00
609683; 54.00
610741; 30.00
611803; 64.00
612863; 23.00
613920; 25.00
614987; 60.00
616046; 23.00
617104; 41.00
618166; 46.00
619224; 17.00
620282; 62.00
621348; 18.00
622408; 48.00
623469; 45.00
624530; 57.00
625591; 61.00
626656; 49.00
627718; 33.00
628782; 69.00
629847; 57.00
630910; 43.00
631973; 76.00
633037; 45.00
634099; 50.00
635164; 69.00
636225; 41.00
637285; 38.00
638344; 68.00
639406; 63.00
640470; 48.00
641529; 36.00
642590; 64.00
643651; 73.00
644716; 47.00
645779; 37.00
646842; 39.00
647907; 42.00
648975; 40.00
650036; 48.00
651107; 61.00
652176; 61.00
653246; 62.00
654311; 45.00
655379; 68.00
656458; 66.00
657530; 54.00
658593; 56.00
659670; 55.00
660732; 59.00
661800; 69.00
662870; 70.00
663939; 61.00
665000; 44.00
666063; 51.00
667127; 49.00
668190; 55.00
669250; 46.00
670310; 47.00
671374; 57.00
672435; 52.00
673501; 71.00
674564; 50.00
675631; 61.00
676694; 64.00
677757; 48.00
678818; 41.00
679887; 39.00
680952; 47.00
682013; 59.00
683092; 61.00
684176; 54.00
685243; 57.00
686319; 63.00
687385; 40.00
688447; 54.00
689508; 86.00
690580; 42.00
691639; 46.00
692701; 44.00
693763; 40.00
694823; 44.00
695887; 42.00
696950; 60.00
698011; 49.00
699077; 65.00
700142; 61.00
701205; 46.00
702267; 46.00
703329; 47.00
704392; 46.00
705452; 40.00
706513; 46.00
707574; 47.00
708641; 57.00
709707; 41.00
710769; 48.00
711831; 47.00
712892; 47.00
713954; 44.00
715014; 42.00
716079; 50.00
717137; 42.00
718199; 46.00
719265; 46.00
720328; 54.00
721399; 52.00
722463; 47.00
723524; 46.00
724585; 45.00
725652; 43.00
726715; 23.00
727775; 16.00
728833; 17.00
729892; 22.00
730952; 54.00
732014; 29.00
733074; 37.00
734137; 57.00
735200; 62.00
736263; 47.00
737325; 45.00
738386; 41.00
739446; 42.00
740507; 40.00
741567; 29.00
742624; 27.00
743684; 31.00
744749; 37.00
745815; 52.00
746880; 47.00
747950; 41.00
749010; 38.00
750068; 44.00
751131; 43.00
752192; 41.00
753257; 34.00
754316; 50.00
755377; 44.00
756436; 48.00
757496; 52.00
758561; 38.00
759621; 40.00
760682; 44.00
761746; 37.00
762807; 35.00
763867; 41.00
764928; 44.00
765990; 35.00
767048; 17.00
768108; 16.00
769167; 16.00
770228; 17.00
771287; 49.00
772352; 58.00
773427; 52.00
774495; 67.00
775578; 57.00
776645; 38.00
777706; 34.00
778768; 35.00
779828; 63.00
780893; 66.00
781963; 64.00
783026; 57.00
784089; 52.00
785152; 50.00
786214; 56.00
787289; 61.00
788358; 68.00
789417; 53.00
790485; 60.00
791555; 66.00
792620; 57.00
793680; 56.00
794747; 59.00
795811; 48.00
796877; 55.00
797947; 58.00
799008; 49.00
800073; 50.00
801133; 54.00
802195; 52.00
803256; 50.00
804320; 43.00
805382; 50.00
806443; 63.00
807511; 43.00
808575; 69.00
809645; 55.00
810706; 57.00
811767; 62.00
812827; 61.00
813891; 64.00
814954; 37.00
816017; 55.00
817077; 75.00
818141; 49.00
819203; 38.00
820265; 42.00
821326; 45.00
822386; 46.00
823450; 61.00
824508; 31.00
825568; 33.00
826626; 80.00
827686; 78.00
828746; 46.00
829804; 34.00
830865; 76.00
831927; 72.00
832989; 34.00
834051; 42.00
835112; 63.00
836175; 87.00
837238; 63.00
838300; 51.00
839362; 44.00
840425; 52.00
841484; 50.00
842548; 49.00
843615; 44.00
844684; 54.00
845744; 52.00
846803; 45.00
847864; 53.00
848926; 44.00
849991; 51.00
851049; 44.00
852109; 43.00
853171; 46.00
854233; 52.00
855302; 51.00
856366; 48.00
857426; 44.00
858493; 53.00
859555; 55.00
860619; 44.00
861681; 48.00
862747; 42.00
863809; 47.00
864873; 44.00
865936; 40.00
867000; 46.00
868067; 53.00
869138; 45.00
870198; 39.00
871260; 54.00
872330; 73.00
873414; 60.00
874474; 44.00
875537; 56.00
876605; 56.00
877674; 58.00
878742; 66.00
879803; 66.00
880869; 42.00
881931; 45.00
882991; 39.00
884057; 46.00
885119; 63.00
886188; 64.00
887257; 58.00
888332; 63.00
889402; 55.00
890467; 55.00
891545; 62.00
892618; 65.00
893698; 57.00
894768; 65.00
895842; 67.00
896914; 72.00
897987; 64.00
899057; 55.00
900121; 48.00
901183; 49.00
902246; 49.00
903310; 55.00
904371; 54.00
905435; 49.00
906498; 47.00
907558; 51.00
908623; 50.00
909686; 50.00
910749; 54.00
911815; 72.00
912887; 58.00
913953; 66.00
915026; 75.00
916102; 48.00
917164; 69.00
918226; 53.00
919288; 43.00
920347; 49.00
921413; 47.00
922473; 58.00
923533; 41.00
924597; 60.00
925667; 72.00
926738; 60.00
927806; 58.00
928875; 57.00
929944; 61.00
931018; 72.00
932082; 40.00
933142; 35.00
934207; 83.00
935271; 76.00
936339; 47.00
937403; 81.00
938473; 87.00
939535; 48.00
940595; 43.00
941653; 43.00
942712; 82.00
943775; 55.00
944839; 68.00
945901; 53.00
946964; 54.00
948026; 55.00
949091; 51.00
950158; 54.00
951219; 49.00
952281; 48.00
953343; 51.00
954403; 45.00
955463; 50.00
956523; 45.00
957583; 48.00
958646; 48.00
959709; 53.00
960775; 54.00
961841; 47.00
962902; 55.00
963966; 62.00
965027; 45.00
966090; 45.00
967151; 44.00
968213; 51.00
969274; 54.00
970338; 58.00
971400; 59.00
972461; 53.00
973526; 52.00
974587; 52.00
975650; 43.00
976715; 38.00
977778; 44.00
978835; 17.00
979894; 39.00
980961; 57.00
982024; 54.00
983084; 60.00
984147; 58.00
985211; 50.00
986278; 55.00
987366; 59.00
988427; 45.00
989488; 27.00
990548; 17.00
991606; 36.00
992674; 48.00
993733; 46.00
994792; 59.00
995851; 61.00
996910; 60.00
997975; 64.00
999039; 56.00
1000105; 63.00
1001173; 65.00
1002243; 60.00
1003308; 50.00
1004369; 54.00
1005436; 51.00
1006495; 57.00
1007561; 58.00
1008625; 58.00
1009696; 51.00
1010760; 50.00
1011821; 50.00
1012883; 49.00
1013956; 48.00
1015019; 61.00
1016095; 72.00
1017168; 61.00
1018237; 67.00
1019308; 77.00
1020372; 40.00
1021436; 67.00
1022501; 47.00
1023565; 41.00
1024626; 58.00
1025688; 59.00
1026749; 64.00
1027810; 58.00
1028875; 57.00
1029939; 62.00
1031004; 53.00
1032072; 77.00
1033140; 80.00
1034200; 55.00
1035265; 74.00
1036331; 49.00
1037394; 58.00
1038456; 56.00
1039521; 59.00
1040584; 66.00
1041644; 67.00
1042710; 59.00
1043771; 57.00
1044832; 58.00
1045895; 53.00
1046958; 56.00
1048021; 52.00
1049082; 58.00
1050143; 55.00
1051209; 57.00
1052275; 60.00
1053343; 58.00
1054409; 92.00
1055480; 102.00
1056549; 101.00
1057622; 100.00
1058692; 97.00
1059759; 87.00
1060829; 82.00
1061893; 58.00
1062957; 58.00
1064024; 60.00
1065092; 54.00
1066155; 58.00
1067218; 52.00
1068281; 56.00
1069348; 59.00
1070408; 57.00
1071470; 51.00
1072532; 55.00
1073602; 70.00
1074669; 55.00
1075733; 56.00
1076800; 61.00
1077863; 53.00
1078926; 58.00
1079990; 57.00
1081052; 59.00
1082114; 70.00
1083177; 68.00
1084243; 67.00
1085306; 96.00
1086372; 94.00
1087443; 73.00
1088507; 59.00
1089568; 51.00
1090630; 58.00
1091696; 49.00
1092757; 51.00
1093819; 58.00
1094883; 60.00
1095946; 59.00
1097009; 42.00
1098071; 39.00
1099130; 43.00
1100192; 68.00
1101256; 70.00
1102329; 69.00
1103395; 66.00
1104486; 82.00
1105569; 78.00
1106653; 84.00
1107732; 81.00
1108814; 81.00
1109893; 73.00
1110957; 55.00
1112024; 57.00
1113086; 39.00
1114146; 44.00
1115211; 61.00
1116270; 51.00
1117334; 57.00
1118398; 53.00
1119467; 59.00
1120532; 30.00
1121593; 18.00
1122653; 18.00
1123712; 23.00
1124772; 18.00
1125833; 23.00
1126892; 17.00
1127950; 24.00
1129010; 36.00
1130070; 31.00
1131134; 40.00
1132192; 27.00
1133262; 49.00
1134328; 25.00
1135391; 21.00
1136461; 22.00
1137521; 17.00
1138583; 17.00
1139642; 22.00
1140700; 17.00
1141760; 23.00
1142821; 17.00
1143879; 17.00
1144938; 20.00
1145999; 21.00
1147060; 17.00
Overall; 48.00
