Time;CPU
1059; 34.00
2121; 21.00
3180; 20.00
4238; 19.00
5294; 22.00
6356; 30.00
7414; 30.00
8475; 39.00
9535; 25.00
10591; 18.00
11648; 17.00
12705; 16.00
13762; 18.00
14820; 21.00
15878; 21.00
16938; 18.00
17996; 18.00
19055; 18.00
20114; 17.00
21175; 17.00
22237; 17.00
23294; 17.00
24353; 17.00
25413; 17.00
26474; 17.00
27533; 17.00
28593; 17.00
29653; 17.00
30712; 17.00
31770; 17.00
32826; 18.00
33884; 17.00
34944; 18.00
36005; 17.00
37065; 17.00
38123; 17.00
39186; 17.00
40246; 17.00
41306; 17.00
42367; 17.00
43426; 18.00
44484; 18.00
45544; 17.00
46603; 17.00
47665; 17.00
48724; 17.00
49783; 17.00
50842; 17.00
51903; 17.00
52962; 17.00
54021; 17.00
55080; 17.00
56141; 17.00
57200; 17.00
58261; 17.00
59321; 17.00
60381; 17.00
61439; 17.00
62498; 17.00
63558; 17.00
64618; 17.00
65677; 17.00
66737; 17.00
67795; 17.00
68855; 17.00
69913; 16.00
70973; 17.00
72032; 16.00
73090; 17.00
74149; 17.00
75208; 17.00
76266; 17.00
77326; 17.00
78388; 17.00
79448; 17.00
80508; 17.00
81567; 17.00
82627; 17.00
83686; 17.00
84746; 17.00
85806; 17.00
86864; 17.00
87922; 17.00
88983; 17.00
90042; 17.00
91101; 16.00
92161; 17.00
93222; 17.00
94282; 17.00
95341; 18.00
96400; 26.00
97463; 22.00
98526; 27.00
99586; 25.00
100647; 34.00
101710; 23.00
102767; 17.00
103824; 17.00
104880; 17.00
105937; 17.00
106994; 17.00
108052; 21.00
109110; 17.00
110167; 22.00
111225; 21.00
112282; 23.00
113338; 20.00
114394; 20.00
115452; 20.00
116508; 19.00
117564; 17.00
118621; 18.00
119681; 18.00
120741; 18.00
121801; 17.00
122859; 18.00
123919; 18.00
124977; 17.00
126034; 18.00
127091; 17.00
128150; 18.00
129209; 17.00
130266; 18.00
131324; 19.00
132382; 17.00
133442; 20.00
134500; 20.00
135557; 29.00
136614; 26.00
137675; 21.00
138732; 22.00
139788; 24.00
140846; 19.00
141905; 17.00
142965; 17.00
144025; 17.00
145084; 17.00
146142; 17.00
147202; 17.00
148259; 21.00
149318; 17.00
150376; 17.00
151432; 31.00
152488; 24.00
153546; 16.00
154604; 17.00
155660; 16.00
156717; 17.00
157773; 21.00
158831; 18.00
159888; 18.00
160943; 18.00
161999; 18.00
163056; 29.00
164112; 41.00
165167; 31.00
166224; 23.00
167282; 16.00
168342; 19.00
169401; 17.00
170462; 16.00
171522; 16.00
172580; 16.00
173638; 17.00
174696; 17.00
175755; 16.00
176814; 18.00
177877; 16.00
178934; 17.00
179991; 16.00
181050; 18.00
182111; 27.00
183169; 16.00
184227; 18.00
185287; 18.00
186346; 18.00
187406; 16.00
188466; 17.00
189523; 16.00
190581; 19.00
191640; 25.00
192696; 17.00
193755; 21.00
194811; 16.00
195870; 17.00
196926; 16.00
197983; 18.00
199040; 16.00
200098; 17.00
201159; 17.00
202218; 18.00
203278; 19.00
204337; 18.00
205395; 17.00
206454; 17.00
207513; 17.00
208573; 16.00
209631; 16.00
210690; 16.00
211748; 16.00
212806; 19.00
213870; 20.00
214930; 17.00
215988; 19.00
217046; 16.00
218107; 17.00
219165; 16.00
220224; 16.00
221284; 18.00
222343; 17.00
223400; 31.00
224458; 18.00
225517; 19.00
226574; 22.00
227631; 17.00
228689; 16.00
229745; 19.00
230804; 23.00
231861; 16.00
232920; 17.00
233980; 17.00
235041; 16.00
236098; 17.00
237156; 17.00
238215; 16.00
239274; 17.00
240332; 17.00
241390; 17.00
242448; 16.00
243504; 17.00
244562; 17.00
245621; 18.00
246678; 17.00
247735; 16.00
248797; 17.00
249856; 16.00
250913; 17.00
251970; 17.00
253028; 17.00
254086; 25.00
255145; 21.00
256203; 16.00
257262; 17.00
258324; 25.00
259383; 23.00
260441; 23.00
261500; 17.00
262559; 17.00
263618; 16.00
264674; 17.00
265732; 16.00
266789; 17.00
267847; 17.00
268905; 17.00
269961; 16.00
271018; 17.00
272076; 17.00
273134; 16.00
274190; 18.00
275244; 18.00
276300; 18.00
277356; 24.00
278413; 31.00
279470; 22.00
280526; 16.00
281585; 18.00
282641; 18.00
283700; 18.00
284757; 16.00
285815; 17.00
286874; 17.00
287932; 16.00
288991; 17.00
290049; 17.00
291109; 17.00
292167; 23.00
293225; 24.00
294283; 16.00
295340; 16.00
296398; 16.00
297456; 17.00
298514; 16.00
299574; 17.00
300632; 16.00
301689; 16.00
302747; 17.00
303805; 17.00
304863; 27.00
305921; 16.00
306978; 17.00
308036; 17.00
309096; 16.00
310156; 16.00
311213; 17.00
312274; 17.00
313334; 17.00
314395; 17.00
315458; 17.00
316518; 18.00
317576; 17.00
318633; 16.00
319693; 16.00
320750; 16.00
321808; 16.00
322866; 18.00
