Time_ms;Thor_WorkingSet_MB;Thor_Private_MB;Free_RAM_MB
1;111;111;10286
1030;205;205;10178
2052;256;256;10105
3075;299;299;10075
4096;329;329;10021
5118;320;320;10015
6140;406;406;9897
7162;477;477;9929
8184;330;330;10044
9206;429;429;9954
10228;458;458;9936
11249;464;464;9887
12270;447;447;9879
13291;460;460;9892
14312;477;477;9877
15332;525;525;9815
16354;690;690;9667
17375;724;724;9613
18397;751;751;9569
19422;776;776;9523
20444;798;798;9516
21467;827;827;9483
22490;827;827;9468
23512;896;896;9511
24534;971;971;9455
25556;997;997;9425
26578;1059;1059;9351
27599;1019;1019;9352
28620;969;969;9379
29642;845;845;9497
30665;841;841;9493
31686;884;884;9467
32707;923;923;9433
33727;943;943;9448
34748;985;985;9371
35769;927;927;9412
36791;997;997;9338
37813;953;953;9396
38835;964;964;9397
39857;958;958;9387
40878;958;958;9399
41899;960;960;9384
42919;950;950;9371
43939;946;946;9380
44960;971;971;9370
45982;973;973;9357
47003;981;981;9354
48023;1027;1027;9344
49045;1007;1007;9334
50066;1035;1035;9312
51087;998;998;9318
52107;985;985;9326
53133;987;987;9311
54154;1033;1033;9311
55175;1011;1011;9297
56196;1039;1039;9287
57217;1034;1034;9281
58237;1035;1035;9272
59258;1035;1035;9267
60279;1035;1035;9270
61299;1042;1042;9268
62319;1022;1022;9280
63340;1026;1026;9277
64360;1026;1026;9279
65379;1024;1024;9280
66398;1015;1015;9288
67416;1012;1012;9283
68434;1013;1013;9281
69453;1020;1020;9284
70473;1021;1021;9286
71492;987;987;9316
72510;987;987;9319
73528;990;990;9313
74547;990;990;9315
75565;990;990;9299
76584;910;910;9353
77603;910;910;9355
78621;910;910;9362
79640;823;823;9454
80661;823;823;9441
81682;823;823;9437
82703;823;823;9439
83724;823;823;9445
84746;823;823;9443
85767;823;823;9413
86790;823;823;9405
87812;823;823;9398
88833;823;823;9409
89854;823;823;9405
90876;823;823;9403
91897;823;823;9404
92918;823;823;9407
93940;823;823;9407
94961;823;823;9400
95983;823;823;9401
97004;823;823;9406
98026;823;823;9397
99050;823;823;9393
100071;823;823;9393
101095;880;880;9463
102113;880;880;9448
103133;1047;1047;9293
104153;1048;1048;9293
105173;1129;1129;9205
106193;1310;1310;9057
107213;1322;1322;9039
108232;1370;1370;8992
109253;1405;1405;8948
110273;1430;1430;8926
111293;1471;1471;8886
112312;1482;1482;8869
113332;1530;1530;8822
114352;1545;1545;8806
115372;1637;1637;8709
116393;1692;1692;8673
117418;1713;1713;8656
118442;1937;1937;8680
119463;2119;2119;8678
120485;2299;2299;8612
121505;2061;2061;8515
122526;2218;2218;8509
123548;2078;2078;8440
124570;2133;2133;8414
125590;2231;2231;8401
126610;2005;2005;8377
127632;1893;1893;8430
128654;1892;1892;8427
129680;1874;1874;8450
130703;1912;1912;8427
131729;1932;1932;8410
132752;2164;2164;8358
133774;2240;2240;8358
134795;2281;2281;8307
135820;2187;2187;8290
136869;2219;2219;8283
137891;2112;2112;8285
138913;2198;2198;8284
139934;2248;2248;8275
140956;2079;2079;8259
141977;2070;2070;8262
143000;2098;2098;8254
144020;2093;2093;8249
145042;1960;1960;8326
146063;1893;1893;8382
147085;1872;1872;8411
148108;1878;1878;8415
149130;1878;1878;8415
150152;1882;1882;8416
151175;1882;1882;8416
152196;1904;1904;8410
153218;1937;1937;8378
154242;1864;1864;8409
155265;1860;1860;8413
156289;1860;1860;8416
157312;1859;1859;8422
158334;1859;1859;8425
159356;1862;1862;8427
160379;1863;1863;8430
161399;1865;1865;8430
162421;1853;1853;8442
163442;1846;1846;8446
164464;1847;1847;8445
165485;1842;1842;8465
166506;1845;1845;8465
167528;1834;1834;8464
168548;1836;1836;8462
169569;1831;1831;8461
170590;1832;1832;8461
171611;1842;1842;8461
172633;1831;1831;8465
173653;1862;1862;8465
174672;1856;1856;8458
175693;1858;1858;8457
176714;1850;1850;8465
177736;1846;1846;8463
178757;1837;1837;8463
179779;1842;1842;8459
180799;1861;1861;8455
181820;1889;1889;8450
182841;1845;1845;8449
183868;1845;1845;8449
184889;1850;1850;8444
185910;1842;1842;8459
186931;1840;1840;8459
187952;1941;1941;8364
188973;2072;2072;8225
189993;2135;2135;8163
191014;2115;2115;8178
192035;2228;2228;8082
193056;2276;2276;8023
194076;2138;2138;8107
195095;2013;2013;8246
196116;2109;2109;8168
197137;2228;2228;8054
198156;2260;2260;8040
199176;2255;2255;8042
200197;2172;2172;8083
201217;2174;2174;8124
202239;2078;2078;8166
203261;2101;2101;8166
204281;2006;2006;8225
205303;2032;2032;8219
206330;2049;2049;8214
207352;2039;2039;8177
208374;2078;2078;8120
209395;2044;2044;8132
210414;2051;2051;8147
211436;2080;2080;8140
212458;2103;2103;8147
213481;2115;2115;8146
214504;2117;2117;8146
215530;1976;1976;8258
216552;1968;1968;8270
217578;1966;1966;8277
218600;1947;1947;8301
219622;1950;1950;8303
220645;1924;1924;8337
221667;1922;1922;8344
222688;1925;1925;8345
223710;1928;1928;8343
224733;1928;1928;8344
225758;1929;1929;8344
226779;1891;1891;8382
227802;1891;1891;8382
228826;1891;1891;8382
229849;1891;1891;8380
230872;1891;1891;8379
231895;1892;1892;8379
232918;1892;1892;8379
233942;1879;1879;8393
234964;1876;1876;8396
235986;1876;1876;8396
237007;1876;1876;8395
238030;1876;1876;8395
239053;1877;1877;8394
240076;1877;1877;8394
241099;1890;1890;8385
242121;1890;1890;8384
243143;1890;1890;8385
244166;1890;1890;8384
245190;1889;1889;8388
246213;1884;1884;8399
247236;1885;1885;8399
248258;1893;1893;8391
249282;1891;1891;8393
250306;1891;1891;8393
251329;1891;1891;8393
252352;1892;1892;8393
253375;1892;1892;8393
254397;1892;1892;8392
255419;1896;1896;8391
256442;1895;1895;8392
257467;1895;1895;8392
258492;1895;1895;8392
259515;1895;1895;8392
260539;1895;1895;8392
261561;1895;1895;8392
262584;1879;1879;8403
263607;1879;1879;8402
264630;1879;1879;8402
265652;1879;1879;8402
266675;1881;1881;8401
267695;1891;1891;8395
268716;2061;2061;8231
269738;2061;2061;8230
270760;2062;2062;8230
271781;2062;2062;8230
272803;2062;2062;8229
273825;2016;2016;8251
274848;2028;2028;8232
275871;2018;2018;8248
276897;2026;2026;8247
277918;2026;2026;8247
278941;2002;2002;8256
279968;2029;2029;8248
280993;2041;2041;8234
282019;2002;2002;8255
283043;2000;2000;8257
284067;1981;1981;8289
285090;1966;1966;8299
286118;1969;1969;8300
287140;1959;1959;8314
288163;1960;1960;8314
289191;2257;2257;8012
290215;2382;2382;7880
291236;2439;2439;7843
292258;0;0;10422
