Time;CPU
1058; 17.00
2113; 26.00
3175; 25.00
4231; 36.00
5286; 26.00
6341; 16.00
7395; 15.00
8451; 15.00
9504; 16.00
10560; 21.00
11614; 15.00
12669; 17.00
13724; 19.00
14777; 19.00
15835; 16.00
16889; 25.00
17945; 22.00
19002; 26.00
20059; 25.00
21112; 30.00
22174; 28.00
23230; 18.00
24285; 14.00
25340; 14.00
26392; 15.00
27446; 15.00
28502; 19.00
29557; 18.00
30610; 24.00
31666; 44.00
32723; 29.00
33780; 38.00
34838; 32.00
35894; 34.00
36953; 33.00
38008; 39.00
39077; 38.00
40134; 43.00
41194; 33.00
42250; 39.00
43307; 29.00
44361; 40.00
45418; 40.00
46474; 29.00
47530; 30.00
48584; 31.00
49641; 29.00
50697; 29.00
51752; 38.00
52808; 42.00
53865; 29.00
54922; 28.00
55978; 34.00
57035; 38.00
58091; 32.00
59144; 25.00
60200; 15.00
61254; 16.00
62308; 13.00
63360; 14.00
64414; 13.00
65468; 14.00
66520; 40.00
67574; 56.00
68627; 61.00
69679; 52.00
70732; 59.00
71786; 57.00
72840; 63.00
73895; 61.00
74947; 60.00
75999; 62.00
77053; 59.00
78106; 39.00
79160; 40.00
80212; 46.00
81266; 17.00
82319; 19.00
83373; 21.00
84428; 19.00
85481; 19.00
86536; 21.00
87589; 23.00
88643; 23.00
89698; 23.00
90753; 22.00
91807; 21.00
92862; 19.00
93918; 20.00
94971; 19.00
96027; 19.00
97083; 19.00
98136; 20.00
99192; 19.00
100250; 18.00
101308; 20.00
102363; 20.00
103420; 23.00
104474; 24.00
105529; 83.00
106601; 64.00
107660; 95.00
108717; 99.00
109779; 97.00
110838; 98.00
111894; 98.00
112950; 98.00
114006; 99.00
115063; 95.00
116117; 45.00
117181; 59.00
118245; 86.00
119317; 51.00
120373; 29.00
121428; 59.00
122488; 74.00
123543; 44.00
124598; 34.00
125654; 43.00
126712; 69.00
127772; 84.00
128839; 84.00
129912; 89.00
130989; 86.00
132060; 75.00
133125; 49.00
134189; 58.00
135250; 59.00
136311; 45.00
137370; 44.00
138429; 48.00
139485; 65.00
140550; 56.00
141616; 67.00
142681; 49.00
143752; 63.00
144817; 67.00
145887; 64.00
146956; 58.00
148020; 60.00
149091; 59.00
150161; 65.00
151233; 52.00
152300; 52.00
153362; 54.00
154435; 61.00
155499; 60.00
156563; 55.00
157632; 53.00
158698; 50.00
159763; 42.00
160821; 39.00
161881; 45.00
162942; 45.00
164001; 43.00
165063; 51.00
166122; 47.00
167188; 48.00
168251; 45.00
169313; 41.00
170371; 42.00
171428; 37.00
172488; 44.00
173547; 51.00
174605; 49.00
175664; 56.00
176730; 49.00
177789; 45.00
178846; 48.00
179904; 50.00
180965; 61.00
182027; 63.00
183093; 70.00
184151; 70.00
185219; 74.00
186286; 73.00
187347; 74.00
188407; 75.00
189462; 74.00
190525; 69.00
191585; 78.00
192643; 73.00
193703; 77.00
194775; 72.00
195837; 66.00
196894; 77.00
197953; 72.00
199018; 75.00
200079; 75.00
201159; 67.00
202216; 76.00
203290; 80.00
204358; 78.00
205430; 67.00
206494; 67.00
207556; 68.00
208627; 73.00
209690; 72.00
210752; 68.00
211823; 68.00
212895; 73.00
213960; 72.00
215027; 70.00
216097; 68.00
217171; 67.00
218243; 67.00
219310; 74.00
220382; 72.00
221449; 68.00
222520; 61.00
223591; 68.00
224661; 71.00
225725; 66.00
226792; 66.00
227857; 67.00
228925; 73.00
229999; 69.00
231068; 68.00
232136; 64.00
233206; 63.00
234271; 66.00
235336; 68.00
236406; 71.00
237477; 73.00
238550; 61.00
239620; 63.00
240685; 65.00
241751; 67.00
242816; 71.00
243897; 71.00
244962; 66.00
246028; 62.00
247102; 66.00
248175; 67.00
249248; 70.00
250316; 72.00
251389; 61.00
252461; 71.00
253530; 67.00
254598; 68.00
255672; 67.00
256737; 68.00
257800; 67.00
258881; 69.00
259948; 81.00
261006; 83.00
262074; 52.00
263142; 53.00
264207; 53.00
265276; 59.00
266343; 59.00
267415; 61.00
268477; 62.00
269549; 53.00
270612; 68.00
271669; 80.00
272736; 27.00
273792; 35.00
274859; 79.00
275935; 78.00
277025; 77.00
278110; 79.00
279190; 77.00
280260; 73.00
281337; 74.00
282412; 86.00
283472; 77.00
284535; 86.00
285597; 69.00
286654; 48.00
287710; 34.00
288765; 5.00
Overall; 51.00
