hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",1273244,1024297,1169279648606,918346,0,152161181531,74665806647369,58642182,0,159168401809
"scan with file YARA rules",105728,0,293291209012,2774016,1207655,3760976924,17373808543365,164325519,14879,157440180303
"schedule scan for symlink target",59488,0,126392464995,2124671,8897,20510281705,1046174934805,17586318,14879,157102557196
"scan object with YARA",50111,0,81576158967,1627909,343185,3576764605,1741574768765,34754340,5150,27151712030
"scan with meta YARA rules",248884,0,74739802366,300299,90443,2474076025,21661230506726,87033439,14879,157440180303
"scan with process YARA rules",68,0,69271924168,1018704767,40050439,4406449161,689853424685,10144903304,26601,27151712030
"parse ZIP archive",190,0,58514110603,307969003,2221890,20437787442,292910533,1541634,14879,35633790
"parse GZIP archive",10164,0,49317295014,4852154,64372,3176362544,90052192269,8859916,14879,6484653228
"apply Sigma rules",994662,0,39966346723,40180,7234,42085063,36056188842032,36249689,1993,157440180303
"parse log file",135,0,32480281726,240594679,1743,2949356650,18836163251,139527135,14879,1964654528
"compare to ThorDB",156,0,19989081785,128135139,44824851,189807868,410303542122,2630150911,15419,5326729643
"scan object's command line with YARA",68,0,12377171788,182017232,755833,2787388982,689853424685,10144903304,26601,27151712030
"parse file content",105728,0,9922279581,93847,2404,508923307,17373808543365,164325519,14879,157440180303
"scan process for malicious indicators",68,0,7713174695,113429039,103677,2382255371,689853424685,10144903304,26601,27151712030
"check file excludes",90342,0,4418093178,48904,130,238387654,501716384420,5553523,14879,156930289592
"parse journald format",5,0,2850087581,570017516,49156447,1886223736,930712080,186142416,16643732,385493822
"add meta information",45743,0,2033614497,44457,2434,42878015,122777704728,2684076,14879,6488134881
"check file existence",308670,0,1633173985,5291,150,391156,22890262552760,74157717,13175,157440180303
"check with STIX IOCs",105728,0,944256123,8930,782,4131305,17373808543365,164325519,14879,157440180303
"check if file was already scanned",308538,0,838963032,2719,121,31527454,22890103934489,74188929,13175,157440180303
"check if object should be logged",994662,0,608685248,611,220,341312,36056188842032,36249689,1993,157440180303
"search for Cobalt Strike beacons",179620,0,579987967,3228,862,764699,20887806464660,116288867,14879,157440180303
"apply hash IOCs",105728,0,550623653,5207,1684,64103,17373808543365,164325519,14879,157440180303
"parse TARGZ archive",1,0,427287399,427287399,427287399,427287399,3801243,3801243,3801243,3801243
"apply false positive filters",994662,0,405243167,407,200,1113896,36056188842032,36249689,1993,157440180303
"deduplicate reasons",248884,0,378588238,1521,130,224799,21661230506726,87033439,14879,157440180303
"limit frequent matches",994662,0,364968534,366,140,3709609,36056188842032,36249689,1993,157440180303
"store time information about deep scan",105728,0,272837492,2580,722,618781,17373808543365,164325519,14879,157440180303
"check if deep scan is needed",248884,0,245254177,985,160,189632,21661230506726,87033439,14879,157440180303
"check if maximum file size is exceeded",248884,0,132823888,533,140,107857,21661230506726,87033439,14879,157440180303
"fill in interesting content",248884,0,105741328,424,170,161478,21661230506726,87033439,14879,157440180303
"log object",502,0,94954518,189152,811,1736294,1106984771493,2205148947,5150,27151712030
"log file",248884,0,58947380,236,121,127353,21661230506726,87033439,14879,157440180303
"parsing Firefox history",1,0,42699846,42699846,42699846,42699846,237192,237192,237192,237192
"parse TAR archive",1,0,39475132,39475132,39475132,39475132,340491,340491,340491,340491
"parse authorized_keys format",1,0,29232946,29232946,29232946,29232946,237192,237192,237192,237192
"extract process handles",68,0,28848957,424249,211695,1687290,689853424685,10144903304,26601,27151712030
"extract process environment variables",68,0,16262974,239161,115230,526937,689853424685,10144903304,26601,27151712030
"initialize process memory reader",68,0,13798952,202925,97868,433457,689853424685,10144903304,26601,27151712030
"parse system crontab",3,0,9545547,3181849,10721,6800938,3529795,1176598,217695,3074908
"truncate long values",502,0,8695815,17322,802,473484,1106984771493,2205148947,5150,27151712030
"enrich finding with file information",45,0,7862465,174721,13775,320222,32555018,723444,5150,3074908
"parse OLE format",14,0,6386435,456173,57850,2130324,184711105,13193650,217695,178906875
"schedule scan for executable",156,0,5717475,36650,14518,112235,410303542122,2630150911,15419,5326729643
"check process excludes",207,0,4883190,23590,220,362682,739123673917,3570645767,13737,27151712030
"scan eBPF program with file YARA rules",1,0,1938768,1938768,1938768,1938768,17564,17564,17564,17564
"retrieve interesting process memory",68,0,1483032,21809,3306,85454,689853424685,10144903304,26601,27151712030
"truncate unimportant process memory sections",68,0,1085657,15965,4559,47250,689853424685,10144903304,26601,27151712030
"analyze process connection",68,0,943325,13872,1162,319299,689853424685,10144903304,26601,27151712030
"unpack UPX",3,0,923030,307676,253002,343866,16878562605,5626187535,237192,16878088221
"check for C2 IOCs",8,0,782252,97781,40337,148173,2431236472,303904559,237192,2376219634
"check file mode",156,0,505622,3241,722,13285,410303542122,2630150911,15419,5326729643
"log md5 to csv",38,0,410974,10815,130,39465,25592052,673475,23616,3074908
"check for known evil services",156,0,304609,1952,1133,20008,410303542122,2630150911,15419,5326729643
"parse mail",5,0,115089,23017,9608,57841,6368812,1273762,217695,3074908
"scan dependent files",35,0,21931,626,240,2013,140124993,4003571,8907,8978153
"check for port 0",6,0,10850,1808,741,2675,2430762088,405127014,6324580,2376219634
"check if profile is recent",1,0,7735,7735,7735,7735,5150,5150,5150,5150
"check for network pipes",6,0,3716,619,361,821,2430762088,405127014,6324580,2376219634
