hook_name,count,channel_full_count,total_exec_time_ns,avg_exec_time_ns,min_exec_time_ns,max_exec_time_ns,total_queue_time_ns,avg_queue_time_ns,min_queue_time_ns,max_queue_time_ns
"_OVERALL",3412582,1782848,3723379357600,1091073,0,162232893100,307632267481000,90146483,0,269477854500
"scan with file YARA rules",55749,0,1164049210700,20880181,0,16624958300,110042198115900,1973886493,0,222959910000
"scan with meta YARA rules",95831,0,459193515000,4791701,0,16573437000,180755722768600,1886192597,0,222959910000
"scan object with YARA",109654,0,311249457100,2838468,0,16014602800,240820842228900,2196188394,0,200253090400
"scan with process YARA rules",119,0,222040018100,1865882505,0,16513391100,5157061942900,43336654982,0,98885973400
"parse CAB archive",26,0,159208022800,6123385492,524700,116742173900,161716601500,6219869288,0,66049022200
"apply Sigma rules",2918310,0,78545395300,26914,0,42772600,7401030109732100,2536067144,0,222959910000
"parse file content",55749,0,59570370600,1068545,0,4158474500,110042198115900,1973886493,0,222959910000
"parse Shim database",21,0,58506979000,2786046619,0,17463026200,86508969200,4119474723,0,22693245900
"parse GZIP archive",6632,0,46268184700,6976505,0,3983245800,26264145528100,3960214946,0,222889779000
"parse registry hive",383,0,45954486700,119985604,0,19280603700,715163171500,1867266766,0,79015620000
"parse ETL file",234,0,42172115400,180222715,6024300,20624400300,2752971260900,11764834448,0,145426039000
"parse log file",206,0,41597635600,201930269,0,14366626100,1225165870600,5947407138,0,185832783000
"parse ZIP archive",312,0,33658834900,107880881,0,15876382200,628122924400,2013214501,0,220274415100
"scan process for malicious indicators",119,0,24386926000,204932151,1018200,6500431000,5157061942900,43336654982,0,98885973400
"schedule scan for executed file",884,0,24054981000,27211516,0,5905251900,2784878897500,3150315494,0,12445371000
"parse SHIM cache",2,0,21850089100,10925044550,4300459700,17549629400,0,0,0,0
"scan object's command line with YARA",119,0,18959596000,159324336,0,3033597500,5157061942900,43336654982,0,98885973400
"parsing Chrome history",5,0,14935244800,2987048960,8073100,14840410600,3162076100,632415220,0,2494342700
"check file excludes",24782,0,14411322500,581523,0,2365059400,26111086767000,1053631134,0,200253090400
"apply handle IOCs",6414,0,13205228200,2058813,0,1800318800,22833924290700,3560013141,0,79628723300
"check file existence",107715,0,12295925900,114152,0,42835900,195290338038300,1813028250,0,224081022400
"parse CHM file",23,0,11009907600,478691634,32283800,1376110700,109488716800,4760378991,0,54238146300
"parse Amcache",4,0,10582570400,2645642600,0,10582570400,4337668300,1084417075,0,4337668300
"parse OLE format",22,0,7414986600,337044845,0,6827997900,94718295000,4305377045,0,29993865000
"check if file was already scanned",106543,0,7281147500,68339,0,26517000,195034358308600,1830569425,0,224081022400
"add meta information",21031,0,6312770100,300164,0,806334600,25105291034700,1193727879,0,200253090400
"analyze prefetch file",343,0,5185320800,15117553,0,1420600100,2633212052500,7677003068,0,52729321200
"parse RAR archive",15,0,4357571000,290504733,0,2433061300,319845448600,21323029906,0,219223005300
"scan SHIM cache entry for executed file",884,0,4326092600,4893769,0,2367087800,2784878897500,3150315494,0,12445371000
"enrich finding with file information",335,0,3378466900,10084975,0,2031400500,680035911000,2029957943,0,219278058800
"parse Atjobs file",237,0,2995476300,12639140,0,1950697000,1405095635700,5928673568,0,74648988700
"check for suspicious locations",885,0,2540725800,2870876,0,1527883100,2784878897500,3146755816,0,12445371000
"check process excludes",133,0,2120007700,15939907,0,1984973400,5458811683300,41043696866,0,98885973400
"parse PowerShell module cache",1,0,2037040800,2037040800,2037040800,2037040800,0,0,0,0
"extract process handles",119,0,1890242500,15884390,7590800,272105900,5157061942900,43336654982,0,98885973400
"check with STIX IOCs",1148519,0,1668414800,1452,0,3016400,411149571071700,357982385,0,222959910000
"check if object should be logged",2918310,0,1395447400,478,0,3377500,7401030109732100,2536067144,0,222959910000
"log object",73764,0,1371464500,18592,0,42239300,163667805112700,2218803279,0,222959910000
